95.69s of 114.65s total (83.46%)
Dropped 1326 nodes (cum <= 0.57s)
      flat  flat%   sum%        cum   cum%
    15.23s 13.28% 13.28%     15.72s 13.71%  syscall.Syscall
    13.60s 11.86% 25.15%     24.08s 21.00%  runtime.scanobject
     5.81s  5.07% 30.21%      5.82s  5.08%  runtime.greyobject
     5.43s  4.74% 34.95%      5.43s  4.74%  runtime.heapBitsForObject
     4.81s  4.20% 39.15%      4.81s  4.20%  runtime.memclrNoHeapPointers
     4.57s  3.99% 43.13%      4.64s  4.05%  encoding/json.stateInString
     4.56s  3.98% 47.11%     16.95s 14.78%  runtime.mallocgc
     4.07s  3.55% 50.66%      4.15s  3.62%  syscall.Syscall6
     2.97s  2.59% 53.25%      6.48s  5.65%  encoding/json.(*Decoder).readValue
     2.84s  2.48% 55.73%      6.18s  5.39%  encoding/json.(*decodeState).scanWhile
     2.48s  2.16% 57.89%      2.48s  2.16%  runtime.memmove
     1.87s  1.63% 59.52%      7.44s  6.49%  runtime.mapassign
     1.75s  1.53% 61.05%      1.86s  1.62%  encoding/json.unquoteBytes
     1.71s  1.49% 62.54%     24.95s 21.76%  encoding/json.(*decodeState).object
     1.60s  1.40% 63.93%      1.86s  1.62%  runtime.mapiternext
     1.48s  1.29% 65.22%      1.48s  1.29%  runtime.heapBitsSetType
     1.22s  1.06% 66.29%      1.22s  1.06%  runtime.futex
     1.11s  0.97% 67.26%      1.11s  0.97%  runtime.aeshashbody
     0.81s  0.71% 67.96%      0.81s  0.71%  runtime.(*mSpanList).remove
     0.73s  0.64% 68.60%      1.81s  1.58%  runtime.evacuate
     0.71s  0.62% 69.22%      0.75s  0.65%  encoding/json.stateEndValue
     0.62s  0.54% 69.76%      0.62s  0.54%  runtime.memeqbody
     0.61s  0.53% 70.29%      0.63s  0.55%  runtime.unlock
     0.57s   0.5% 70.79%      0.77s  0.67%  path.Clean
     0.55s  0.48% 71.27%      0.60s  0.52%  runtime.lock
     0.55s  0.48% 71.75%      1.82s  1.59%  runtime.typedmemmove
     0.54s  0.47% 72.22%     21.75s 18.97%  runtime.gcDrain
     0.50s  0.44% 72.66%      2.84s  2.48%  runtime.gentraceback
     0.45s  0.39% 73.05%      0.74s  0.65%  runtime.mapaccess2_faststr
     0.44s  0.38% 73.43%      2.21s  1.93%  encoding/json.(*decodeState).indirect
