101.78MB of 109.86MB total (92.64%)
Dropped 1706 nodes (cum <= 0.55MB)
      flat  flat%   sum%        cum   cum%
   25.50MB 23.21% 23.21%    25.50MB 23.21%  runtime.rawstringtmp
   15.94MB 14.51% 37.72%    15.94MB 14.51%  runtime.hashGrow
      11MB 10.02% 47.74%    26.94MB 24.53%  runtime.mapassign
   10.01MB  9.11% 56.85%    11.01MB 10.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    8.09MB  7.37% 64.22%     8.09MB  7.37%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    6.54MB  5.95% 70.17%     6.54MB  5.95%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    6.16MB  5.60% 75.77%     6.16MB  5.60%  bytes.makeSlice
       5MB  4.55% 80.32%        5MB  4.55%  runtime.makemap
    2.05MB  1.87% 82.19%     2.05MB  1.87%  regexp.(*bitState).reset
       2MB  1.82% 84.01%        2MB  1.82%  reflect.unsafe_New
    1.50MB  1.37% 85.38%     2.52MB  2.29%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    1.16MB  1.05% 86.43%     1.16MB  1.05%  encoding/json.(*Decoder).refill
    1.03MB  0.94% 87.37%     1.03MB  0.94%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.newFramer
       1MB  0.91% 88.28%    12.01MB 10.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
    0.79MB  0.72% 89.00%     0.79MB  0.72%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.50MB  0.46% 89.46%     8.60MB  7.82%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.46% 89.91%     1.50MB  1.37%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*persistentVolumes).Get
    0.50MB  0.46% 90.37%        1MB  0.91%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodStatus).Unmarshal
