99.90MB of 99.90MB total (  100%)
Dropped 1452 nodes (cum <= 0.50MB)
      flat  flat%   sum%        cum   cum%
   23.50MB 23.52% 23.52%    23.50MB 23.52%  runtime.rawstringtmp
   12.20MB 12.21% 35.74%    12.20MB 12.21%  runtime.hashGrow
   10.51MB 10.52% 46.26%    11.51MB 11.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
      10MB 10.01% 56.27%    22.21MB 22.23%  runtime.mapassign
    8.16MB  8.17% 64.44%     8.16MB  8.17%  bytes.makeSlice
    8.09MB  8.10% 72.54%     8.09MB  8.10%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.53MB  4.53% 77.07%     4.53MB  4.53%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    2.05MB  2.05% 79.13%     2.05MB  2.05%  regexp.(*bitState).reset
    1.50MB  1.50% 80.63%     1.50MB  1.50%  reflect.unsafe_New
    1.50MB  1.50% 82.13%     1.50MB  1.50%  syscall.ByteSliceFromString
    1.50MB  1.50% 83.63%     1.50MB  1.50%  runtime.makemap
    1.03MB  1.03% 84.66%     1.03MB  1.03%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.newFramer
       1MB  1.00% 85.67%        3MB  3.01%  io/ioutil.readAll
       1MB  1.00% 86.67%     2.02MB  2.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
       1MB  1.00% 87.67%     5.50MB  5.51%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
    0.79MB  0.79% 88.46%     0.79MB  0.79%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.52MB  0.52% 88.98%     0.52MB  0.52%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.51MB  0.51% 89.48%     0.51MB  0.51%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB   0.5% 89.99%     8.60MB  8.60%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB   0.5% 90.49%     0.50MB   0.5%  regexp/syntax.(*compiler).rune
    0.50MB   0.5% 90.99%     0.50MB   0.5%  regexp.progMachine
    0.50MB   0.5% 91.49%     0.50MB   0.5%  crypto/x509.parseCertificate
    0.50MB   0.5% 91.99%        1MB  1.00%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodStatus).Unmarshal
    0.50MB   0.5% 92.49%     0.50MB   0.5%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.New
    0.50MB   0.5% 92.99%     0.50MB   0.5%  runtime.malg
    0.50MB   0.5% 93.49%        1MB  1.00%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    0.50MB   0.5% 93.99%     0.50MB   0.5%  github.com/openshift/origin/vendor/golang.org/x/net/trace.(*histogram).Add
    0.50MB   0.5% 94.49%     1.50MB  1.50%  os.Stat
    0.50MB   0.5% 94.99%     0.50MB   0.5%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
