3925.92kB of 3925.92kB total (  100%)
Dropped 251 nodes (cum <= 19.63kB)
      flat  flat%   sum%        cum   cum%
 1834.90kB 46.74% 46.74%  1834.90kB 46.74%  bytes.makeSlice
  548.84kB 13.98% 60.72%   548.84kB 13.98%  runtime.hashGrow
  518.02kB 13.19% 73.91%   518.02kB 13.19%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
  512.14kB 13.05% 86.96%  1060.98kB 27.03%  runtime.mapassign
  512.02kB 13.04%   100%   512.02kB 13.04%  runtime.makemap
         0     0%   100%  1834.90kB 46.74%  bytes.(*Buffer).ReadFrom
         0     0%   100%   548.84kB 13.98%  github.com/openshift/origin/pkg/build/apis/build/v1.init
         0     0%   100%   548.84kB 13.98%  github.com/openshift/origin/pkg/build/apis/build/v1.init.1
         0     0%   100%   548.84kB 13.98%  github.com/openshift/origin/pkg/build/apis/build/validation.init
         0     0%   100%   548.84kB 13.98%  github.com/openshift/origin/pkg/build/builder/cmd.init
         0     0%   100%  1066.87kB 27.17%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%  3925.92kB   100%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%   518.02kB 13.19%  github.com/openshift/origin/pkg/cmd/util/docker.init
         0     0%   100%   518.02kB 13.19%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0%   100%   548.84kB 13.98%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.RegisterType
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.Asset
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.bindataRead
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.init
         0     0%   100%  1184.27kB 30.17%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.pagesAssetsJsGchartsJs
         0     0%   100%  1184.27kB 30.17%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.pagesAssetsJsGchartsJsBytes
         0     0%   100%   650.62kB 16.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.pagesAssetsStylesContainersCss
         0     0%   100%   650.62kB 16.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.pagesAssetsStylesContainersCssBytes
         0     0%   100%   518.02kB 13.19%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*summary).newStream
         0     0%   100%   518.02kB 13.19%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummary
         0     0%   100%   518.02kB 13.19%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0%   100%  1024.16kB 26.09%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kube-proxy/app.init
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kubelet/app.init
         0     0%   100%   512.14kB 13.05%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.init
         0     0%   100%   512.02kB 13.04%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/apis/apps/v1beta1.init
         0     0%   100%   512.14kB 13.05%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/apis/componentconfig.init
         0     0%   100%   512.02kB 13.04%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/apis/componentconfig/v1alpha1.init
         0     0%   100%   512.02kB 13.04%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/scheme.init
         0     0%   100%   512.02kB 13.04%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.init
         0     0%   100%   512.02kB 13.04%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/leaderelection/resourcelock.init
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cadvisor.init
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.init
         0     0%   100%   518.02kB 13.19%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/libdocker.init
         0     0%   100%   518.02kB 13.19%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/metrics.init
         0     0%   100%  1834.90kB 46.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server.init
         0     0%   100%  1834.90kB 46.74%  io.Copy
         0     0%   100%  1834.90kB 46.74%  io.copyBuffer
         0     0%   100%  3925.92kB   100%  main.init
         0     0%   100%  3925.92kB   100%  runtime.goexit
         0     0%   100%  3925.92kB   100%  runtime.main
