105.01s of 125.24s total (83.85%)
Dropped 1342 nodes (cum <= 0.63s)
      flat  flat%   sum%        cum   cum%
    16.58s 13.24% 13.24%     17.32s 13.83%  syscall.Syscall
    14.57s 11.63% 24.87%     25.63s 20.46%  runtime.scanobject
     5.95s  4.75% 29.62%      5.95s  4.75%  runtime.heapBitsForObject
     5.94s  4.74% 34.37%      5.97s  4.77%  runtime.greyobject
     5.43s  4.34% 38.70%     20.14s 16.08%  runtime.mallocgc
     5.18s  4.14% 42.84%      5.18s  4.14%  runtime.memclrNoHeapPointers
     4.56s  3.64% 46.48%      4.60s  3.67%  encoding/json.stateInString
     4.42s  3.53% 50.01%      4.50s  3.59%  syscall.Syscall6
     3.47s  2.77% 52.78%      6.74s  5.38%  encoding/json.(*decodeState).scanWhile
     3.05s  2.44% 55.21%      7.41s  5.92%  encoding/json.(*Decoder).readValue
     3.01s  2.40% 57.62%      3.01s  2.40%  runtime.memmove
     2.23s  1.78% 59.40%      8.41s  6.72%  runtime.mapassign
     2.10s  1.68% 61.07%      2.25s  1.80%  encoding/json.unquoteBytes
     1.94s  1.55% 62.62%      1.94s  1.55%  runtime.heapBitsSetType
     1.88s  1.50% 64.12%      2.15s  1.72%  runtime.mapiternext
     1.64s  1.31% 65.43%     27.18s 21.70%  encoding/json.(*decodeState).object
     1.32s  1.05% 66.49%      1.32s  1.05%  runtime.futex
     1.25s     1% 67.49%      1.25s     1%  runtime.aeshashbody
     0.99s  0.79% 68.28%      0.99s  0.79%  runtime.(*mSpanList).remove
     0.67s  0.53% 68.81%      0.67s  0.53%  runtime.memeqbody
     0.67s  0.53% 69.35%      2.08s  1.66%  runtime.typedmemmove
     0.65s  0.52% 69.87%      1.78s  1.42%  runtime.evacuate
     0.60s  0.48% 70.34%      0.68s  0.54%  encoding/json.stateEndValue
     0.58s  0.46% 70.81%      0.95s  0.76%  path.Clean
     0.58s  0.46% 71.27%     39.05s 31.18%  runtime.systemstack
     0.57s  0.46% 71.73%      0.88s   0.7%  runtime.mapaccess2_faststr
     0.55s  0.44% 72.17%      3.16s  2.52%  runtime.gentraceback
     0.54s  0.43% 72.60%      1.33s  1.06%  reflect.(*rtype).Name
     0.51s  0.41% 73.00%      4.58s  3.66%  runtime.rawstring
     0.49s  0.39% 73.40%      1.36s  1.09%  runtime.pcvalue
     0.48s  0.38% 73.78%     22.23s 17.75%  runtime.gcDrain
     0.46s  0.37% 74.15%      2.59s  2.07%  encoding/json.(*decodeState).indirect
     0.46s  0.37% 74.51%      0.81s  0.65%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.46s  0.37% 74.88%      0.87s  0.69%  runtime.mapaccess1
     0.46s  0.37% 75.25%      1.44s  1.15%  runtime.sweepone
     0.45s  0.36% 75.61%      0.79s  0.63%  reflect.(*rtype).String
     0.44s  0.35% 75.96%      1.58s  1.26%  runtime.writebarrierptr_prewrite1
     0.42s  0.34% 76.29%      1.10s  0.88%  runtime.mapiterinit
     0.39s  0.31% 76.60%      0.94s  0.75%  runtime.bulkBarrierPreWrite
     0.39s  0.31% 76.92%      0.81s  0.65%  runtime.scanblock
     0.39s  0.31% 77.23%      5.37s  4.29%  runtime.slicebytetostring
     0.38s   0.3% 77.53%      1.31s  1.05%  syscall.ByteSliceFromString
     0.34s  0.27% 77.80%      0.75s   0.6%  runtime.step
     0.31s  0.25% 78.05%      3.37s  2.69%  runtime.(*mcentral).cacheSpan
     0.31s  0.25% 78.30%      4.89s  3.90%  runtime.rawstringtmp
     0.31s  0.25% 78.55%      0.76s  0.61%  runtime.shade
     0.27s  0.22% 78.76%      2.42s  1.93%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.27s  0.22% 78.98%      1.03s  0.82%  runtime.gcmarkwb_m
     0.27s  0.22% 79.19%      5.63s  4.50%  runtime.newobject
     0.26s  0.21% 79.40%      1.28s  1.02%  runtime.convT2E
     0.24s  0.19% 79.59%      7.28s  5.81%  runtime.makeslice
     0.21s  0.17% 79.76%      5.68s  4.54%  encoding/json.(*decodeState).literalStore
     0.19s  0.15% 79.91%      0.69s  0.55%  syscall.ParseDirent
     0.18s  0.14% 80.05%      3.07s  2.45%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
