80.64MB of 80.64MB total (  100%)
Dropped 1401 nodes (cum <= 0.40MB)
      flat  flat%   sum%        cum   cum%
   15.50MB 19.22% 19.22%    15.50MB 19.22%  runtime.rawstringtmp
   11.71MB 14.52% 33.75%    11.71MB 14.52%  runtime.hashGrow
      11MB 13.64% 47.39%    22.72MB 28.17%  runtime.mapassign
    8.09MB 10.04% 57.43%     8.09MB 10.04%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    7.01MB  8.69% 66.12%     7.01MB  8.69%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    4.49MB  5.56% 71.68%     4.49MB  5.56%  bytes.makeSlice
    3.01MB  3.74% 75.42%     3.01MB  3.74%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    2.05MB  2.54% 77.96%     2.05MB  2.54%  regexp.(*bitState).reset
    1.50MB  1.86% 79.82%     1.50MB  1.86%  reflect.unsafe_New
    1.50MB  1.86% 81.68%     1.50MB  1.86%  runtime.makemap
    1.03MB  1.28% 82.96%     1.03MB  1.28%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.newFramer
       1MB  1.24% 84.20%     2.02MB  2.50%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
       1MB  1.24% 85.44%        2MB  2.48%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.toRuntimeAPIContainer
    0.79MB  0.98% 86.42%     0.79MB  0.98%  encoding/json.(*Decoder).refill
    0.79MB  0.98% 87.40%     0.79MB  0.98%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.63MB  0.78% 88.18%     0.63MB  0.78%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListPodSandboxResponse).Marshal
    0.52MB  0.64% 88.82%     0.52MB  0.64%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.51MB  0.63% 89.45%     0.51MB  0.63%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB  0.62% 90.07%     8.60MB 10.66%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.62% 90.70%     0.50MB  0.62%  regexp/syntax.(*compiler).rune
    0.50MB  0.62% 91.32%     0.50MB  0.62%  regexp.progMachine
    0.50MB  0.62% 91.94%     0.50MB  0.62%  crypto/x509.parseCertificate
    0.50MB  0.62% 92.56%     0.50MB  0.62%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
    0.50MB  0.62% 93.18%        1MB  1.24%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodStatus).Unmarshal
    0.50MB  0.62% 93.80%     0.50MB  0.62%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.New
    0.50MB  0.62% 94.42%     0.50MB  0.62%  runtime.malg
    0.50MB  0.62% 95.04%        1MB  1.24%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    0.50MB  0.62% 95.66%     0.50MB  0.62%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.62% 96.28%        1MB  1.24%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
