34.87s of 42.57s total (81.91%)
Dropped 1123 nodes (cum <= 0.21s)
      flat  flat%   sum%        cum   cum%
     6.14s 14.42% 14.42%      6.49s 15.25%  syscall.Syscall
     5.63s 13.23% 27.65%      8.71s 20.46%  runtime.scanobject
     1.78s  4.18% 31.83%      1.78s  4.18%  runtime.greyobject
     1.76s  4.13% 35.96%      5.63s 13.23%  runtime.mallocgc
     1.76s  4.13% 40.10%      1.76s  4.13%  runtime.memclrNoHeapPointers
     1.54s  3.62% 43.72%      1.54s  3.62%  runtime.heapBitsForObject
     1.54s  3.62% 47.33%      1.57s  3.69%  syscall.Syscall6
     1.50s  3.52% 50.86%      1.53s  3.59%  encoding/json.stateInString
     1.20s  2.82% 53.68%      2.44s  5.73%  encoding/json.(*Decoder).readValue
     1.08s  2.54% 56.21%      2.09s  4.91%  encoding/json.(*decodeState).scanWhile
        1s  2.35% 58.56%         1s  2.35%  runtime.memmove
     0.65s  1.53% 60.09%      2.54s  5.97%  runtime.mapassign
     0.61s  1.43% 61.52%      0.61s  1.43%  runtime.heapBitsSetType
     0.58s  1.36% 62.88%      0.62s  1.46%  encoding/json.unquoteBytes
     0.47s  1.10% 63.99%      7.67s 18.02%  encoding/json.(*decodeState).object
     0.44s  1.03% 65.02%      0.44s  1.03%  runtime.aeshashbody
     0.44s  1.03% 66.06%      0.52s  1.22%  runtime.mapiternext
     0.41s  0.96% 67.02%      0.41s  0.96%  runtime.futex
     0.26s  0.61% 67.63%      0.27s  0.63%  encoding/json.stateEndValue
     0.25s  0.59% 68.22%      0.25s  0.59%  runtime.lock
     0.23s  0.54% 68.76%      0.27s  0.63%  path.Clean
     0.23s  0.54% 69.30%      0.61s  1.43%  runtime.typedmemmove
     0.22s  0.52% 69.81%      0.54s  1.27%  runtime.evacuate
     0.22s  0.52% 70.33%      0.70s  1.64%  runtime.pcvalue
     0.21s  0.49% 70.82%      8.53s 20.04%  runtime.gcDrain
     0.21s  0.49% 71.32%      1.23s  2.89%  runtime.gentraceback
     0.21s  0.49% 71.81%      0.39s  0.92%  runtime.step
     0.20s  0.47% 72.28%      0.35s  0.82%  runtime.scanblock
     0.20s  0.47% 72.75%      0.45s  1.06%  syscall.ByteSliceFromString
     0.19s  0.45% 73.20%      0.45s  1.06%  reflect.(*rtype).Name
     0.16s  0.38% 73.57%      0.26s  0.61%  runtime.mapaccess2_faststr
     0.13s  0.31% 73.88%      0.26s  0.61%  reflect.(*rtype).String
     0.12s  0.28% 74.16%      0.29s  0.68%  runtime.mapaccess1
     0.12s  0.28% 74.44%      1.41s  3.31%  runtime.slicebytetostring
     0.12s  0.28% 74.72%     12.96s 30.44%  runtime.systemstack
     0.11s  0.26% 74.98%      0.25s  0.59%  runtime.bulkBarrierPreWrite
     0.11s  0.26% 75.24%      0.30s   0.7%  syscall.ParseDirent
     0.10s  0.23% 75.48%      0.27s  0.63%  runtime.gcmarkwb_m
     0.10s  0.23% 75.71%      1.67s  3.92%  runtime.newobject
     0.10s  0.23% 75.95%      1.18s  2.77%  runtime.rawstringtmp
     0.09s  0.21% 76.16%      0.36s  0.85%  runtime.convT2E
     0.09s  0.21% 76.37%      1.96s  4.60%  runtime.makeslice
     0.09s  0.21% 76.58%      1.08s  2.54%  runtime.rawstring
     0.09s  0.21% 76.79%      0.40s  0.94%  runtime.writebarrierptr_prewrite1
     0.08s  0.19% 76.98%      0.67s  1.57%  encoding/json.(*decodeState).indirect
     0.07s  0.16% 77.14%      2.87s  6.74%  encoding/json.(*decodeState).literal
     0.07s  0.16% 77.31%      0.64s  1.50%  reflect.deepValueEqual
     0.07s  0.16% 77.47%      0.44s  1.03%  runtime.sweepone
     0.06s  0.14% 77.61%      0.77s  1.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.06s  0.14% 77.75%      0.31s  0.73%  reflect.(*rtype).ptrTo
     0.06s  0.14% 77.90%      0.40s  0.94%  runtime.concatstrings
     0.06s  0.14% 78.04%      0.23s  0.54%  runtime.mapiterinit
     0.06s  0.14% 78.18%      1.15s  2.70%  runtime.newarray
     0.06s  0.14% 78.32%      0.22s  0.52%  strings.genSplit
     0.05s  0.12% 78.44%      0.22s  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Size
     0.05s  0.12% 78.55%      0.32s  0.75%  runtime.selectgoImpl
     0.04s 0.094% 78.65%      1.60s  3.76%  encoding/json.(*decodeState).literalStore
     0.04s 0.094% 78.74%      0.28s  0.66%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.04s 0.094% 78.83%      1.08s  2.54%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.04s 0.094% 78.93%      0.90s  2.11%  reflect.Value.SetMapIndex
     0.04s 0.094% 79.02%      0.22s  0.52%  reflect.Zero
     0.04s 0.094% 79.12%      0.35s  0.82%  runtime.(*mspan).sweep
     0.04s 0.094% 79.21%      0.51s  1.20%  runtime.schedule
     0.04s 0.094% 79.30%      0.31s  0.73%  runtime.writebarrierptr_prewrite1.func1
     0.03s  0.07% 79.38%     12.56s 29.50%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).processUnaryRPC
     0.03s  0.07% 79.45%      0.34s   0.8%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.03s  0.07% 79.52%      0.40s  0.94%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.03s  0.07% 79.59%      1.71s  4.02%  os.OpenFile
     0.03s  0.07% 79.66%      0.25s  0.59%  reflect.(*rtype).typeOff
     0.03s  0.07% 79.73%      1.20s  2.82%  runtime.(*mcache).nextFree
     0.03s  0.07% 79.80%      0.84s  1.97%  runtime.(*mheap).alloc
     0.03s  0.07% 79.87%      0.43s  1.01%  runtime.findrunnable
     0.03s  0.07% 79.94%      0.40s  0.94%  runtime.funcspdelta
     0.03s  0.07% 80.01%      0.59s  1.39%  runtime.mcall
     0.03s  0.07% 80.08%      0.48s  1.13%  syscall.BytePtrFromString
     0.03s  0.07% 80.15%      1.60s  3.76%  syscall.Stat
     0.02s 0.047% 80.20%      7.75s 18.21%  encoding/json.(*decodeState).array
     0.02s 0.047% 80.24%      7.88s 18.51%  encoding/json.(*decodeState).value
     0.02s 0.047% 80.29%      2.57s  6.04%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.02s 0.047% 80.34%      2.56s  6.01%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
     0.02s 0.047% 80.39%      1.41s  3.31%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/pleg.(*GenericPLEG).relist
     0.02s 0.047% 80.43%      0.61s  1.43%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/reconciler.(*reconciler).reconcile
