16.51s of 20.56s total (80.30%)
Dropped 847 nodes (cum <= 0.10s)
      flat  flat%   sum%        cum   cum%
     3.20s 15.56% 15.56%      3.37s 16.39%  syscall.Syscall
     2.67s 12.99% 28.55%      4.03s 19.60%  runtime.scanobject
     0.87s  4.23% 32.78%      0.90s  4.38%  syscall.Syscall6
     0.80s  3.89% 36.67%      0.80s  3.89%  runtime.greyobject
     0.80s  3.89% 40.56%      2.38s 11.58%  runtime.mallocgc
     0.69s  3.36% 43.92%      0.70s  3.40%  encoding/json.stateInString
     0.68s  3.31% 47.23%      0.68s  3.31%  runtime.memclrNoHeapPointers
     0.67s  3.26% 50.49%      0.67s  3.26%  runtime.heapBitsForObject
     0.53s  2.58% 53.06%      1.13s  5.50%  encoding/json.(*Decoder).readValue
     0.53s  2.58% 55.64%      0.98s  4.77%  encoding/json.(*decodeState).scanWhile
     0.47s  2.29% 57.93%      0.47s  2.29%  runtime.futex
     0.36s  1.75% 59.68%      0.36s  1.75%  runtime.memmove
     0.31s  1.51% 61.19%      0.32s  1.56%  encoding/json.unquoteBytes
     0.27s  1.31% 62.50%      1.05s  5.11%  runtime.mapassign
     0.26s  1.26% 63.76%      3.54s 17.22%  encoding/json.(*decodeState).object
     0.25s  1.22% 64.98%      0.25s  1.22%  runtime.heapBitsSetType
     0.19s  0.92% 65.90%      0.19s  0.92%  runtime.aeshashbody
     0.17s  0.83% 66.73%      0.17s  0.83%  runtime.readvarint
     0.16s  0.78% 67.51%      0.19s  0.92%  runtime.mapiternext
     0.15s  0.73% 68.24%      0.41s  1.99%  runtime.pcvalue
     0.11s  0.54% 68.77%      0.13s  0.63%  path.Clean
     0.11s  0.54% 69.31%      0.11s  0.54%  runtime.usleep
     0.10s  0.49% 69.80%      0.70s  3.40%  runtime.gentraceback
     0.09s  0.44% 70.23%      0.28s  1.36%  runtime.typedmemmove
     0.08s  0.39% 70.62%      0.32s  1.56%  encoding/json.(*decodeState).indirect
     0.08s  0.39% 71.01%      0.28s  1.36%  runtime.evacuate
     0.07s  0.34% 71.35%      0.17s  0.83%  runtime.makemap
     0.07s  0.34% 71.69%      0.13s  0.63%  runtime.mapaccess1
     0.07s  0.34% 72.03%      0.75s  3.65%  runtime.newobject
     0.07s  0.34% 72.37%      0.16s  0.78%  strings.genSplit
     0.07s  0.34% 72.71%      0.20s  0.97%  syscall.ByteSliceFromString
     0.06s  0.29% 73.01%      0.45s  2.19%  runtime.(*mcentral).cacheSpan
     0.06s  0.29% 73.30%      0.22s  1.07%  runtime.concatstrings
     0.06s  0.29% 73.59%      0.55s  2.68%  runtime.rawstring
     0.06s  0.29% 73.88%      0.12s  0.58%  runtime.scanblock
     0.06s  0.29% 74.17%      0.18s  0.88%  runtime.sweepone
     0.05s  0.24% 74.42%      0.11s  0.54%  reflect.(*rtype).String
     0.05s  0.24% 74.66%      0.15s  0.73%  runtime.convT2E
     0.05s  0.24% 74.90%      3.95s 19.21%  runtime.gcDrain
     0.05s  0.24% 75.15%      0.56s  2.72%  runtime.schedule
     0.05s  0.24% 75.39%      0.22s  1.07%  runtime.step
     0.04s  0.19% 75.58%      0.71s  3.45%  encoding/json.(*decodeState).literalStore
     0.04s  0.19% 75.78%      0.14s  0.68%  reflect.(*rtype).Name
     0.04s  0.19% 75.97%      0.89s  4.33%  runtime.makeslice
