125.59s of 150.86s total (83.25%)
Dropped 1463 nodes (cum <= 0.75s)
      flat  flat%   sum%        cum   cum%
    18.75s 12.43% 12.43%     19.83s 13.14%  syscall.Syscall
    16.74s 11.10% 23.53%     30.56s 20.26%  runtime.scanobject
     7.63s  5.06% 28.58%      7.67s  5.08%  runtime.greyobject
     7.41s  4.91% 33.49%      7.41s  4.91%  runtime.heapBitsForObject
     7.09s  4.70% 38.19%      7.09s  4.70%  runtime.memclrNoHeapPointers
     6.41s  4.25% 42.44%     26.06s 17.27%  runtime.mallocgc
     5.45s  3.61% 46.06%      5.57s  3.69%  syscall.Syscall6
     4.99s  3.31% 49.36%      5.06s  3.35%  encoding/json.stateInString
     4.11s  2.72% 52.09%      7.96s  5.28%  encoding/json.(*decodeState).scanWhile
     3.59s  2.38% 54.47%      9.14s  6.06%  encoding/json.(*Decoder).readValue
     3.50s  2.32% 56.79%      3.50s  2.32%  runtime.memmove
     2.43s  1.61% 58.40%      9.84s  6.52%  runtime.mapassign
     2.14s  1.42% 59.82%      2.14s  1.42%  runtime.heapBitsSetType
     2.11s  1.40% 61.22%      2.20s  1.46%  encoding/json.unquoteBytes
     2.09s  1.39% 62.60%      2.77s  1.84%  runtime.mapiternext
     1.98s  1.31% 63.91%     32.23s 21.36%  encoding/json.(*decodeState).object
     1.81s  1.20% 65.11%      1.81s  1.20%  runtime.futex
     1.60s  1.06% 66.17%      1.60s  1.06%  runtime.aeshashbody
     1.49s  0.99% 67.16%      1.49s  0.99%  runtime.(*mSpanList).remove
     0.90s   0.6% 67.76%      2.45s  1.62%  runtime.typedmemmove
     0.84s  0.56% 68.31%      0.84s  0.56%  runtime.memeqbody
     0.83s  0.55% 68.87%      0.93s  0.62%  encoding/json.stateEndValue
     0.82s  0.54% 69.41%      1.41s  0.93%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.82s  0.54% 69.95%      2.55s  1.69%  runtime.evacuate
     0.81s  0.54% 70.49%      0.81s  0.54%  runtime.readvarint
     0.75s   0.5% 70.99%     47.88s 31.74%  runtime.systemstack
     0.74s  0.49% 71.48%      4.02s  2.66%  runtime.gentraceback
     0.62s  0.41% 71.89%      0.95s  0.63%  path.Clean
     0.62s  0.41% 72.30%      2.04s  1.35%  runtime.writebarrierptr_prewrite1
     0.59s  0.39% 72.69%      6.93s  4.59%  runtime.slicebytetostring
     0.57s  0.38% 73.07%      2.15s  1.43%  runtime.sweepone
     0.56s  0.37% 73.44%      1.01s  0.67%  reflect.(*rtype).String
     0.55s  0.36% 73.80%      2.67s  1.77%  encoding/json.(*decodeState).indirect
     0.55s  0.36% 74.17%      1.56s  1.03%  reflect.(*rtype).Name
