5.01s of 6.27s total (79.90%)
Dropped 525 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.58s 25.20% 25.20%      1.61s 25.68%  syscall.Syscall
     0.54s  8.61% 33.81%      0.83s 13.24%  runtime.scanobject
     0.35s  5.58% 39.39%      0.36s  5.74%  syscall.Syscall6
     0.22s  3.51% 42.90%      0.22s  3.51%  runtime.memclrNoHeapPointers
     0.19s  3.03% 45.93%      0.19s  3.03%  runtime.memmove
     0.16s  2.55% 48.48%      0.16s  2.55%  runtime.futex
     0.15s  2.39% 50.88%      0.15s  2.39%  runtime.greyobject
     0.15s  2.39% 53.27%      0.52s  8.29%  runtime.mallocgc
     0.14s  2.23% 55.50%      0.14s  2.23%  runtime.heapBitsForObject
     0.11s  1.75% 57.26%      0.11s  1.75%  runtime.readvarint
     0.08s  1.28% 58.53%      0.19s  3.03%  encoding/json.(*Decoder).readValue
     0.08s  1.28% 59.81%      0.08s  1.28%  encoding/json.stateInString
     0.08s  1.28% 61.08%      0.08s  1.28%  runtime._ExternalCode
     0.08s  1.28% 62.36%      0.20s  3.19%  runtime.pcvalue
     0.07s  1.12% 63.48%      0.07s  1.12%  runtime.epollwait
     0.06s  0.96% 64.43%      0.06s  0.96%  runtime.getitab
     0.05s   0.8% 65.23%      0.11s  1.75%  encoding/json.(*decodeState).scanWhile
     0.05s   0.8% 66.03%      0.05s   0.8%  runtime.heapBitsSetType
     0.05s   0.8% 66.83%      0.05s   0.8%  runtime.usleep
     0.04s  0.64% 67.46%      0.04s  0.64%  path.Clean
     0.04s  0.64% 68.10%      0.04s  0.64%  path/filepath.Clean
     0.04s  0.64% 68.74%      0.88s 14.04%  runtime.gcDrain
     0.04s  0.64% 69.38%      0.04s  0.64%  runtime.scanblock
     0.04s  0.64% 70.02%      0.07s  1.12%  strings.FieldsFunc
     0.03s  0.48% 70.49%      0.45s  7.18%  encoding/json.(*decodeState).object
     0.03s  0.48% 70.97%      0.06s  0.96%  runtime.convT2E
     0.03s  0.48% 71.45%      0.05s   0.8%  runtime.evacuate
     0.03s  0.48% 71.93%      0.04s  0.64%  runtime.growslice
     0.03s  0.48% 72.41%      0.16s  2.55%  runtime.selectgoImpl
     0.02s  0.32% 72.73%      0.05s   0.8%  encoding/json.(*decodeState).indirect
     0.02s  0.32% 73.05%      0.46s  7.34%  encoding/json.(*decodeState).value
     0.02s  0.32% 73.37%      0.15s  2.39%  net/http.send
     0.02s  0.32% 73.68%      0.09s  1.44%  runtime.adjustframe
     0.02s  0.32% 74.00%      0.08s  1.28%  runtime.concatstrings
     0.02s  0.32% 74.32%      0.28s  4.47%  runtime.findrunnable
     0.02s  0.32% 74.64%      0.28s  4.47%  runtime.gentraceback
     0.02s  0.32% 74.96%      0.16s  2.55%  runtime.mapassign
     0.02s  0.32% 75.28%      0.11s  1.75%  runtime.newobject
     0.02s  0.32% 75.60%      0.08s  1.28%  runtime.rawstring
     0.02s  0.32% 75.92%      0.10s  1.59%  runtime.rawstringtmp
     0.02s  0.32% 76.24%      0.07s  1.12%  syscall.ByteSliceFromString
     0.02s  0.32% 76.56%      0.08s  1.28%  syscall.ParseDirent
     0.01s  0.16% 76.71%      0.43s  6.86%  encoding/json.(*decodeState).array
     0.01s  0.16% 76.87%      0.04s  0.64%  fmt.(*pp).printArg
     0.01s  0.16% 77.03%      0.41s  6.54%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.01s  0.16% 77.19%      0.06s  0.96%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuGroup).GetStats
     0.01s  0.16% 77.35%      0.05s   0.8%  github.com/openshift/origin/vendor/google.golang.org/grpc.encode
     0.01s  0.16% 77.51%      0.05s   0.8%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Server).Write
     0.01s  0.16% 77.67%      0.04s  0.64%  net/http.(*persistConn).Read
     0.01s  0.16% 77.83%      0.07s  1.12%  os.(*file).close
     0.01s  0.16% 77.99%      0.07s  1.12%  path/filepath.join
     0.01s  0.16% 78.15%      0.13s  2.07%  runtime.(*mcentral).cacheSpan
     0.01s  0.16% 78.31%      0.04s  0.64%  runtime.(*mheap).alloc_m
     0.01s  0.16% 78.47%      0.11s  1.75%  runtime.blockevent
     0.01s  0.16% 78.63%      0.05s   0.8%  runtime.chansend
     0.01s  0.16% 78.79%      0.28s  4.47%  runtime.makeslice
     0.01s  0.16% 78.95%      0.07s  1.12%  runtime.newarray
     0.01s  0.16% 79.11%      0.12s  1.91%  runtime.notesleep
     0.01s  0.16% 79.27%      0.09s  1.44%  runtime.scanstack
     0.01s  0.16% 79.43%      0.12s  1.91%  runtime.step
     0.01s  0.16% 79.59%      0.04s  0.64%  runtime.tracebackdefers
     0.01s  0.16% 79.74%      0.05s   0.8%  runtime.typedmemmove
     0.01s  0.16% 79.90%      0.04s  0.64%  strings.genSplit
         0     0% 79.90%      0.04s  0.64%  bufio.(*Reader).Read
         0     0% 79.90%      0.14s  2.23%  bufio.(*Scanner).Scan
         0     0% 79.90%      0.14s  2.23%  bufio.(*Writer).Flush
         0     0% 79.90%      0.21s  3.35%  bytes.(*Buffer).ReadFrom
         0     0% 79.90%      0.09s  1.44%  bytes.makeSlice
         0     0% 79.90%      0.05s   0.8%  crypto/tls.(*Conn).Write
         0     0% 79.90%      0.05s   0.8%  crypto/tls.(*Conn).write
         0     0% 79.90%      0.05s   0.8%  crypto/tls.(*Conn).writeRecordLocked
         0     0% 79.90%      0.64s 10.21%  encoding/json.(*Decoder).Decode
         0     0% 79.90%      0.05s   0.8%  encoding/json.(*Decoder).refill
         0     0% 79.90%      0.13s  2.07%  encoding/json.(*decodeState).literal
         0     0% 79.90%      0.05s   0.8%  encoding/json.(*decodeState).literalStore
         0     0% 79.90%      0.46s  7.34%  encoding/json.(*decodeState).unmarshal
         0     0% 79.90%      0.07s  1.12%  encoding/json.(*encodeState).marshal
         0     0% 79.90%      0.07s  1.12%  encoding/json.(*encodeState).reflectValue
         0     0% 79.90%      0.05s   0.8%  encoding/json.(*mapEncoder).(encoding/json.encode)-fm
         0     0% 79.90%      0.05s   0.8%  encoding/json.(*mapEncoder).encode
         0     0% 79.90%      0.07s  1.12%  encoding/json.Marshal
         0     0% 79.90%      0.04s  0.64%  fmt.(*pp).doPrintf
         0     0% 79.90%      0.56s  8.93%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 79.90%      0.13s  2.07%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerInspect
         0     0% 79.90%      0.56s  8.93%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0% 79.90%      0.13s  2.07%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ImageList
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ServerVersion
         0     0% 79.90%      0.10s  1.59%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
         0     0% 79.90%      0.10s  1.59%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
         0     0% 79.90%      0.10s  1.59%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendRequest
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.(*notifyingReader).Read
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do
         0     0% 79.90%      0.08s  1.28%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/docker/engine-api/types/filters.ToParamWithVersion
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/github.com/docker/go-connections/sockets.ConfigureTransport.func1
         0     0% 79.90%      0.44s  7.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListContainers
         0     0% 79.90%      0.44s  7.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListDirectories
         0     0% 79.90%      0.27s  4.31%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readString
         0     0% 79.90%      0.19s  3.03%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetSpec
         0     0% 79.90%      0.83s 13.24%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 79.90%      0.39s  6.22%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
         0     0% 79.90%      0.81s 12.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 79.90%      0.44s  7.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).ListContainers
         0     0% 79.90%      0.43s  6.86%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
         0     0% 79.90%      0.89s 14.19%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 79.90%      0.85s 13.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).nextHousekeeping
         0     0% 79.90%      0.43s  6.86%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateSpec
         0     0% 79.90%      0.85s 13.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 79.90%      0.44s  7.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).GetContainerInfoV2
         0     0% 79.90%      0.44s  7.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).detectSubcontainers
         0     0% 79.90%      0.44s  7.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).getContainersDiff
         0     0% 79.90%      0.44s  7.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).globalHousekeeping
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager/watcher/raw.(*rawContainerWatcher).Start.func1
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager/watcher/raw.(*rawContainerWatcher).processEvent
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager/watcher/raw.(*rawContainerWatcher).watchDirectory
         0     0% 79.90%      0.15s  2.39%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.FileExists
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups.FindCgroupMountpoint
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups.PathExists
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 79.90%      0.07s  1.12%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuacctGroup).GetStats
         0     0% 79.90%      0.80s 12.76%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 79.90%      0.58s  9.25%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamKeyValue
         0     0% 79.90%      0.45s  7.18%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamUint
         0     0% 79.90%      0.42s  6.70%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getMemoryData
         0     0% 79.90%      0.07s  1.12%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd.(*Manager).Apply
         0     0% 79.90%      0.07s  1.12%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd.getSubsystemPath
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd.join
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd.joinCgroups
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).RoundTrip
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).readLoop
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).writeHeaders
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).ReadFrame
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Transport).RoundTrip
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Transport).RoundTripOpt
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*clientConnReadLoop).run
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*stickyErrWriter).Write
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/golang.org/x/net/http2.noDialH2RoundTripper.RoundTrip
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/golang.org/x/net/http2.stickyErrWriter.Write
         0     0% 79.90%      0.05s   0.8%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).WriteField
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).handleRawConn
         0     0% 79.90%         1s 15.95%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).handleStream
         0     0% 79.90%      0.99s 15.79%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).processUnaryRPC
         0     0% 79.90%      0.10s  1.59%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).sendResponse
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).serveNewHTTP2Transport
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).serveStreams
         0     0% 79.90%         1s 15.95%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).serveStreams.func1.1
         0     0% 79.90%      0.11s  1.75%  github.com/openshift/origin/vendor/google.golang.org/grpc.Invoke
         0     0% 79.90%      0.11s  1.75%  github.com/openshift/origin/vendor/google.golang.org/grpc.invoke
         0     0% 79.90%      0.07s  1.12%  github.com/openshift/origin/vendor/google.golang.org/grpc.sendRequest
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).NewStream
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Server).HandleStreams
         0     0% 79.90%      1.12s 17.86%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil
         0     0% 79.90%      1.10s 17.54%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
         0     0% 79.90%      1.12s 17.86%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Until
         0     0% 79.90%      0.07s  1.12%  github.com/openshift/origin/vendor/k8s.io/client-go/rest.(*Request).Do
         0     0% 79.90%      0.07s  1.12%  github.com/openshift/origin/vendor/k8s.io/client-go/rest.(*Request).request
         0     0% 79.90%      0.06s  0.96%  github.com/openshift/origin/vendor/k8s.io/client-go/transport.(*userAgentRoundTripper).RoundTrip
         0     0% 79.90%      0.82s 13.08%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kubelet/app.startKubelet.func1
         0     0% 79.90%      0.04s  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*nodes).Patch
         0     0% 79.90%      0.10s  1.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet.(*Kubelet).(github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet.syncNodeStatus)-fm
