81.60s of 98.66s total (82.71%)
Dropped 1309 nodes (cum <= 0.49s)
      flat  flat%   sum%        cum   cum%
    12.89s 13.07% 13.07%     13.35s 13.53%  syscall.Syscall
    12.56s 12.73% 25.80%     21.01s 21.30%  runtime.scanobject
     4.76s  4.82% 30.62%      4.76s  4.82%  runtime.greyobject
     4.47s  4.53% 35.15%      4.47s  4.53%  runtime.heapBitsForObject
     4.30s  4.36% 39.51%      4.30s  4.36%  runtime.memclrNoHeapPointers
     4.06s  4.12% 43.62%     14.44s 14.64%  runtime.mallocgc
     3.31s  3.35% 46.98%      3.36s  3.41%  encoding/json.stateInString
     3.08s  3.12% 50.10%      3.16s  3.20%  syscall.Syscall6
     2.64s  2.68% 52.78%      2.64s  2.68%  runtime.memmove
     2.52s  2.55% 55.33%      5.70s  5.78%  encoding/json.(*Decoder).readValue
     2.47s  2.50% 57.83%      4.80s  4.87%  encoding/json.(*decodeState).scanWhile
        2s  2.03% 59.86%      6.59s  6.68%  runtime.mapassign
     1.52s  1.54% 61.40%      1.57s  1.59%  encoding/json.unquoteBytes
     1.31s  1.33% 62.73%      1.52s  1.54%  runtime.mapiternext
     1.26s  1.28% 64.01%     21.39s 21.68%  encoding/json.(*decodeState).object
     1.19s  1.21% 65.21%      1.19s  1.21%  runtime.heapBitsSetType
     1.04s  1.05% 66.27%      1.04s  1.05%  runtime.aeshashbody
     0.95s  0.96% 67.23%      0.95s  0.96%  runtime.futex
     0.59s   0.6% 67.83%      1.61s  1.63%  runtime.evacuate
     0.56s  0.57% 68.40%      0.56s  0.57%  runtime.(*mSpanList).remove
     0.55s  0.56% 68.95%      0.77s  0.78%  path.Clean
     0.50s  0.51% 69.46%      0.55s  0.56%  encoding/json.stateEndValue
     0.50s  0.51% 69.97%      2.65s  2.69%  runtime.gentraceback
     0.47s  0.48% 70.44%      1.19s  1.21%  runtime.sweepone
     0.44s  0.45% 70.89%      1.11s  1.13%  runtime.pcvalue
     0.38s  0.39% 71.28%     19.01s 19.27%  runtime.gcDrain
     0.38s  0.39% 71.66%      1.07s  1.08%  syscall.ByteSliceFromString
     0.37s  0.38% 72.04%      0.62s  0.63%  reflect.(*rtype).String
     0.37s  0.38% 72.41%      1.10s  1.11%  runtime.writebarrierptr_prewrite1
     0.36s  0.36% 72.78%      0.71s  0.72%  runtime.mapaccess1
     0.35s  0.35% 73.13%      1.51s  1.53%  runtime.typedmemmove
     0.34s  0.34% 73.47%      0.96s  0.97%  reflect.(*rtype).Name
     0.34s  0.34% 73.82%      0.64s  0.65%  runtime.bulkBarrierPreWrite
     0.33s  0.33% 74.15%      3.78s  3.83%  runtime.slicebytetostring
     0.32s  0.32% 74.48%      1.91s  1.94%  encoding/json.(*decodeState).indirect
     0.31s  0.31% 74.79%      4.29s  4.35%  runtime.newobject
     0.30s   0.3% 75.10%      0.55s  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.30s   0.3% 75.40%      0.71s  0.72%  runtime.mapiterinit
     0.30s   0.3% 75.70%     31.02s 31.44%  runtime.systemstack
     0.28s  0.28% 75.99%      0.54s  0.55%  runtime.mapaccess2_faststr
     0.25s  0.25% 76.24%      2.88s  2.92%  runtime.rawstring
     0.25s  0.25% 76.50%      0.69s   0.7%  runtime.scanblock
     0.23s  0.23% 76.73%      0.58s  0.59%  runtime.step
     0.23s  0.23% 76.96%      0.51s  0.52%  strings.genSplit
     0.21s  0.21% 77.17%      4.52s  4.58%  encoding/json.(*decodeState).literalStore
     0.19s  0.19% 77.37%      1.05s  1.06%  runtime.convT2E
     0.19s  0.19% 77.56%      0.66s  0.67%  runtime.gcmarkwb_m
     0.18s  0.18% 77.74%      2.20s  2.23%  runtime.(*mcentral).cacheSpan
     0.17s  0.17% 77.91%      1.08s  1.09%  runtime.concatstrings
     0.16s  0.16% 78.08%      2.26s  2.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.16s  0.16% 78.24%      0.65s  0.66%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.16s  0.16% 78.40%      5.27s  5.34%  runtime.makeslice
     0.16s  0.16% 78.56%      3.04s  3.08%  runtime.rawstringtmp
     0.15s  0.15% 78.71%      0.83s  0.84%  reflect.(*rtype).ptrTo
     0.15s  0.15% 78.87%      0.53s  0.54%  syscall.ParseDirent
     0.13s  0.13% 79.00%      2.01s  2.04%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.12s  0.12% 79.12%      2.14s  2.17%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.12s  0.12% 79.24%      2.98s  3.02%  reflect.Value.SetMapIndex
