89.56MB of 89.56MB total (  100%)
Dropped 1484 nodes (cum <= 0.45MB)
      flat  flat%   sum%        cum   cum%
   18.50MB 20.66% 20.66%    18.50MB 20.66%  runtime.rawstringtmp
   13.46MB 15.03% 35.69%    13.46MB 15.03%  runtime.hashGrow
       9MB 10.05% 45.74%    22.46MB 25.08%  runtime.mapassign
    8.09MB  9.04% 54.78%     8.09MB  9.04%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    7.51MB  8.38% 63.16%     7.51MB  8.38%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    6.16MB  6.88% 70.03%     6.16MB  6.88%  bytes.makeSlice
    4.53MB  5.06% 75.09%     4.53MB  5.06%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    2.05MB  2.29% 77.38%     2.05MB  2.29%  regexp.(*bitState).reset
    1.50MB  1.68% 79.06%     1.50MB  1.68%  reflect.unsafe_New
    1.50MB  1.68% 80.73%     2.52MB  2.81%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    1.50MB  1.68% 82.41%     1.50MB  1.68%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    1.03MB  1.15% 83.56%     1.03MB  1.15%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.newFramer
       1MB  1.12% 84.68%        1MB  1.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
       1MB  1.12% 85.80%        1MB  1.12%  runtime.makemap
    0.79MB  0.88% 86.68%     0.79MB  0.88%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.70MB  0.78% 87.46%     0.70MB  0.78%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*parser).recvMsg
    0.70MB  0.78% 88.23%     0.70MB  0.78%  github.com/openshift/origin/vendor/google.golang.org/grpc.encode
    0.52MB  0.58% 88.81%     0.52MB  0.58%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.51MB  0.57% 89.38%     0.51MB  0.57%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.51MB  0.57% 89.94%     0.51MB  0.57%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).handleData
    0.50MB  0.56% 90.50%     8.60MB  9.60%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.56% 91.06%     0.50MB  0.56%  regexp/syntax.(*compiler).rune
    0.50MB  0.56% 91.62%     0.50MB  0.56%  regexp.progMachine
    0.50MB  0.56% 92.18%     0.50MB  0.56%  crypto/x509.parseCertificate
    0.50MB  0.56% 92.74%        1MB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodStatus).Unmarshal
    0.50MB  0.56% 93.30%     0.50MB  0.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.New
    0.50MB  0.56% 93.86%     0.50MB  0.56%  runtime.malg
    0.50MB  0.56% 94.42%        1MB  1.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    0.50MB  0.56% 94.97%     0.50MB  0.56%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.56% 95.53%        1MB  1.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
    0.50MB  0.56% 96.09%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).sandboxToKubeContainer
    0.50MB  0.56% 96.65%        3MB  3.35%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListContainersResponse).Unmarshal
    0.50MB  0.56% 97.21%     1.50MB  1.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.56% 97.77%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB  0.56% 98.33%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.parseSandboxName
    0.50MB  0.56% 98.88%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet.(*Kubelet).dispatchWork
    0.50MB  0.56% 99.44%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_ContainerState
    0.50MB  0.56%   100%     0.50MB  0.56%  github.com/openshift/origin/vendor/golang.org/x/exp/inotify.(*Watcher).AddWatch
         0     0%   100%     3.83MB  4.28%  bytes.(*Buffer).ReadFrom
