3.77s of 4.44s total (84.91%)
Dropped 293 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     1.33s 29.95% 29.95%      1.40s 31.53%  syscall.Syscall
     0.39s  8.78% 38.74%      0.51s 11.49%  runtime.scanobject
     0.33s  7.43% 46.17%      0.34s  7.66%  syscall.Syscall6
     0.15s  3.38% 49.55%      0.15s  3.38%  runtime.futex
     0.13s  2.93% 52.48%      0.13s  2.93%  runtime.memclrNoHeapPointers
     0.11s  2.48% 54.95%      0.46s 10.36%  runtime.mallocgc
     0.10s  2.25% 57.21%      0.10s  2.25%  runtime.readvarint
     0.09s  2.03% 59.23%      0.09s  2.03%  runtime.heapBitsSetType
     0.08s  1.80% 61.04%      0.08s  1.80%  runtime.heapBitsForObject
     0.05s  1.13% 62.16%      0.05s  1.13%  runtime.greyobject
     0.05s  1.13% 63.29%      0.15s  3.38%  runtime.pcvalue
     0.04s   0.9% 64.19%      0.04s   0.9%  path.Clean
     0.04s   0.9% 65.09%      0.04s   0.9%  runtime.(*mSpanList).remove
     0.04s   0.9% 65.99%      0.04s   0.9%  runtime.findfunc
     0.04s   0.9% 66.89%      0.16s  3.60%  runtime.selectgoImpl
     0.04s   0.9% 67.79%      0.04s   0.9%  runtime.usleep
     0.04s   0.9% 68.69%      0.08s  1.80%  strings.FieldsFunc
     0.03s  0.68% 69.37%      0.03s  0.68%  runtime._ExternalCode
     0.03s  0.68% 70.05%      0.03s  0.68%  runtime.casgstatus
     0.03s  0.68% 70.72%      0.03s  0.68%  runtime.duffcopy
     0.03s  0.68% 71.40%      0.24s  5.41%  runtime.gentraceback
     0.03s  0.68% 72.07%      0.05s  1.13%  runtime.growslice
     0.03s  0.68% 72.75%      0.26s  5.86%  runtime.makeslice
     0.03s  0.68% 73.42%      0.03s  0.68%  runtime.memmove
     0.02s  0.45% 73.87%      0.03s  0.68%  runtime.(*mcentral).freeSpan
     0.02s  0.45% 74.32%      0.03s  0.68%  runtime.SetFinalizer
     0.02s  0.45% 74.77%      0.07s  1.58%  runtime.adjustframe
