68.55MB of 68.55MB total (  100%)
Dropped 1346 nodes (cum <= 0.34MB)
      flat  flat%   sum%        cum   cum%
   12.50MB 18.23% 18.23%    12.50MB 18.23%  runtime.rawstringtmp
    9.21MB 13.43% 31.67%     9.21MB 13.43%  runtime.hashGrow
    8.09MB 11.81% 43.48%     8.09MB 11.81%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
       6MB  8.76% 52.23%    15.21MB 22.19%  runtime.mapassign
    4.50MB  6.57% 58.80%     4.50MB  6.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    3.90MB  5.68% 64.49%     3.90MB  5.68%  bytes.makeSlice
    2.51MB  3.67% 68.15%     2.51MB  3.67%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    2.05MB  2.99% 71.14%     2.05MB  2.99%  regexp.(*bitState).reset
    1.50MB  2.19% 73.33%     1.50MB  2.19%  reflect.unsafe_New
    1.50MB  2.19% 75.52%     1.50MB  2.19%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    1.50MB  2.19% 77.71%     1.50MB  2.19%  runtime.makemap
    1.43MB  2.08% 79.79%     1.43MB  2.08%  encoding/json.(*Decoder).refill
    1.03MB  1.50% 81.29%     1.03MB  1.50%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.newFramer
       1MB  1.46% 82.75%        1MB  1.46%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
    0.79MB  1.15% 83.91%     0.79MB  1.15%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.52MB  0.75% 84.66%     0.52MB  0.75%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.51MB  0.74% 85.40%     0.51MB  0.74%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB  0.74% 86.13%     0.50MB  0.74%  runtime.addtimerLocked
    0.50MB  0.73% 86.87%     8.60MB 12.54%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.73% 87.60%     0.50MB  0.73%  regexp/syntax.(*compiler).rune
    0.50MB  0.73% 88.33%     0.50MB  0.73%  regexp.progMachine
    0.50MB  0.73% 89.06%     0.50MB  0.73%  crypto/x509.parseCertificate
    0.50MB  0.73% 89.79%     1.52MB  2.21%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    0.50MB  0.73% 90.52%     0.50MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodStatus).Unmarshal
    0.50MB  0.73% 91.25%     0.50MB  0.73%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.New
    0.50MB  0.73% 91.98%     0.50MB  0.73%  runtime.malg
    0.50MB  0.73% 92.71%        1MB  1.46%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    0.50MB  0.73% 93.44%     0.50MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server/stats.(*volumeStatCalculator).calcAndStoreStats
    0.50MB  0.73% 94.16%     0.50MB  0.73%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.73% 94.89%     1.50MB  2.19%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.toRuntimeAPIContainer
    0.50MB  0.73% 95.62%     0.50MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).generatePodSandboxConfig
    0.50MB  0.73% 96.35%     1.50MB  2.19%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.73% 97.08%     0.50MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB  0.73% 97.81%        3MB  4.38%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListPodSandboxResponse).Unmarshal
    0.50MB  0.73% 98.54%     0.50MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_ContainerState
    0.50MB  0.73% 99.27%        1MB  1.46%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).generateContainerConfig
    0.50MB  0.73%   100%     0.50MB  0.73%  github.com/openshift/origin/vendor/golang.org/x/exp/inotify.(*Watcher).AddWatch
         0     0%   100%     2.95MB  4.30%  bytes.(*Buffer).ReadFrom
         0     0%   100%     0.95MB  1.38%  bytes.(*Buffer).WriteString
         0     0%   100%     0.95MB  1.38%  bytes.(*Buffer).grow
         0     0%   100%     0.50MB  0.74%  context.WithDeadline
         0     0%   100%     0.50MB  0.73%  crypto/tls.(*Conn).Handshake
         0     0%   100%     0.50MB  0.73%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%     0.50MB  0.73%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%     0.50MB  0.73%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%     0.50MB  0.73%  crypto/x509.(*Certificate).Verify
         0     0%   100%     0.50MB  0.73%  crypto/x509.ParseCertificate
         0     0%   100%     0.50MB  0.73%  crypto/x509.initSystemRoots
         0     0%   100%     0.50MB  0.73%  crypto/x509.loadSystemRoots
         0     0%   100%     0.50MB  0.73%  crypto/x509.systemRootsPool
         0     0%   100%     8.43MB 12.30%  encoding/json.(*Decoder).Decode
         0     0%   100%     1.43MB  2.08%  encoding/json.(*Decoder).readValue
         0     0%   100%     5.50MB  8.02%  encoding/json.(*decodeState).array
         0     0%   100%        3MB  4.38%  encoding/json.(*decodeState).literal
         0     0%   100%        3MB  4.38%  encoding/json.(*decodeState).literalStore
         0     0%   100%        7MB 10.21%  encoding/json.(*decodeState).object
         0     0%   100%        7MB 10.21%  encoding/json.(*decodeState).unmarshal
         0     0%   100%        7MB 10.21%  encoding/json.(*decodeState).value
         0     0%   100%     0.50MB  0.73%  github.com/openshift/origin/pkg/auth/oauth/registry.init
         0     0%   100%     0.54MB  0.78%  github.com/openshift/origin/pkg/build/apis/build/v1.init
         0     0%   100%     0.54MB  0.78%  github.com/openshift/origin/pkg/build/apis/build/v1.init.1
         0     0%   100%     0.54MB  0.78%  github.com/openshift/origin/pkg/build/apis/build/validation.init
         0     0%   100%     0.54MB  0.78%  github.com/openshift/origin/pkg/build/builder/cmd.init
         0     0%   100%     1.04MB  1.52%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%     1.53MB  2.23%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%     1.53MB  2.23%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100%     6.41MB  9.35%  github.com/openshift/origin/pkg/cmd/openshift.init
