timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,7.20,7.20
1505941445000,0.00,0.00,12.69,12.69
1505941545000,0.00,0.00,0.09,0.09
1505941645000,0.00,0.00,3.41,3.41
1505941745000,0.00,0.00,28.23,28.23
1505941845000,0.00,0.00,31.22,31.21
1505941945000,0.00,0.00,14.62,14.62
1505942045000,0.10,0.00,3.62,3.72
1505942145000,0.11,0.00,0.25,0.35
1505942245000,0.03,0.00,0.60,0.63
1505942345000,0.00,0.00,0.68,0.11
1505942445000,0.00,0.00,0.74,0.09
1505942545000,0.00,0.00,0.75,0.12
1505942645000,0.03,0.00,0.15,0.11
1505942745000,0.00,0.00,0.13,0.13
1505942845000,1.33,0.00,0.06,1.32
1505942945000,9.80,0.00,0.13,9.81
1505943045000,11.87,0.00,0.07,11.62
1505943145000,22.12,0.00,0.13,22.15
1505943245000,30.34,0.00,0.08,30.21
1505943345000,22.74,0.00,0.11,22.64
1505943445000,26.76,0.00,0.09,26.60
1505943545000,17.71,0.00,0.09,17.58
1505943645000,13.89,0.00,0.11,13.73
1505943745000,15.34,0.00,0.07,15.09
1505943845000,12.76,0.00,0.11,12.52
1505943945000,73.01,0.00,0.04,72.94
1505944045000,18.46,0.00,0.09,18.29
1505944145000,40.24,0.00,0.06,40.14
1505944245000,27.57,0.00,0.11,27.43
1505944345000,23.44,0.00,0.05,23.31
1505944445000,44.46,0.00,0.09,44.32
1505944545000,24.59,0.00,0.04,24.51
1505944645000,1.63,0.00,0.10,1.37
1505944745000,1.15,0.00,0.03,0.89
1505944845000,1.06,0.00,0.05,0.81
1505944945000,30.55,0.00,0.05,30.43
1505945045000,61.58,0.00,0.04,61.52
1505945145000,54.38,0.00,0.05,54.27
1505945245000,41.50,0.00,0.04,41.43
1505945345000,47.88,0.00,0.04,47.67
1505945445000,57.11,0.00,0.04,57.09
1505945545000,63.91,0.00,0.05,63.80
1505945645000,42.00,0.00,0.02,41.92
1505945745000,32.51,0.00,0.05,32.43
1505945845000,4.98,0.00,0.04,4.79
1505945945000,8.13,0.00,0.03,8.03
1505946045000,12.85,0.00,0.04,12.60
1505946145000,3.97,0.00,0.02,3.83
1505946245000,18.76,0.00,0.06,18.55
1505946345000,7.68,0.00,0.05,7.48
1505946445000,58.43,0.00,0.01,58.42
1505946545000,41.27,0.00,0.04,41.25
1505946645000,89.02,0.00,0.03,88.92
1505946745000,69.95,0.00,0.05,69.90
1505946845000,49.75,0.00,0.03,49.69
1505946945000,59.56,0.00,0.02,59.54
1505947045000,94.09,0.00,0.08,93.98
1505947145000,84.77,0.00,0.04,84.72
1505947245000,33.79,0.00,0.03,33.75
1505947345000,36.30,0.00,0.04,36.19
1505947445000,5.59,0.00,0.02,5.51
1505947545000,4.37,0.00,0.04,4.30
1505947645000,8.98,0.00,0.03,8.75
1505947745000,3.77,0.00,0.04,3.69
1505947845000,5.50,0.00,0.04,5.34
1505947945000,7.52,0.00,0.03,7.29
1505948045000,42.37,0.00,0.03,42.36
1505948145000,31.71,0.00,0.03,31.51
1505948245000,0.12,0.00,0.01,0.07
1505948345000,0.00,0.00,0.04,0.04
