timestamp_ms,all_interrupts
1505941345000,2417.53
1505941445000,2896.68
1505941545000,1331.40
1505941645000,1494.04
1505941745000,3414.69
1505941845000,3849.29
1505941945000,2196.41
1505942045000,5206.31
1505942145000,3079.05
1505942245000,4001.24
1505942345000,2350.28
1505942445000,2346.11
1505942545000,2231.66
1505942645000,2401.03
1505942745000,2180.28
1505942845000,11473.07
1505942945000,20682.94
1505943045000,17374.65
1505943145000,27759.92
1505943245000,27557.37
1505943345000,21678.64
1505943445000,23491.23
1505943545000,23810.74
1505943645000,14691.51
1505943745000,17471.01
1505943845000,17076.82
1505943945000,38806.41
1505944045000,33428.16
1505944145000,39356.71
1505944245000,37717.81
1505944345000,38079.28
1505944445000,35983.39
1505944545000,35133.63
1505944645000,24354.68
1505944745000,25466.38
1505944845000,26819.52
1505944945000,29336.76
1505945045000,43289.24
1505945145000,43575.29
1505945245000,41993.20
1505945345000,46253.46
1505945445000,43094.28
1505945545000,46307.17
1505945645000,41360.95
1505945745000,39578.29
1505945845000,31987.22
1505945945000,30864.26
1505946045000,32397.98
1505946145000,32330.78
1505946245000,35275.21
1505946345000,29356.99
1505946445000,41543.95
1505946545000,46569.21
1505946645000,49711.02
1505946745000,48872.32
1505946845000,44669.42
1505946945000,43238.31
1505947045000,46613.60
1505947145000,45494.47
1505947245000,43359.42
1505947345000,41736.32
1505947445000,35480.02
1505947545000,34550.61
1505947645000,34198.37
1505947745000,33821.45
1505947845000,34407.73
1505947945000,33949.58
1505948045000,38885.93
1505948145000,37572.76
1505948245000,30878.49
1505948345000,30723.82
