timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1505941345000,7740.80,0.47,0.00,0.00,5758.26,1276.45,4558.48,0.00,0.00,0.00,0.00
1505941445000,13567.61,0.06,0.00,0.00,6804.77,140.72,7148.32,0.00,0.00,0.00,0.00
1505941545000,560.33,0.00,0.00,0.00,318.13,0.00,136.92,0.00,0.00,0.00,0.00
1505941645000,3100.41,0.01,0.00,0.00,1174.81,0.60,8.29,0.00,0.00,0.00,0.00
1505941745000,25414.63,0.04,0.00,0.00,10260.62,15.52,61.54,0.00,0.00,0.00,0.00
1505941845000,27069.99,0.30,0.00,0.00,11925.23,241.93,190.19,0.00,0.00,0.00,0.00
1505941945000,6697.47,0.00,0.00,0.00,2708.79,0.00,238.89,0.00,0.00,0.00,0.00
1505942045000,8659.60,0.39,0.00,0.00,7486.74,279.87,2774.31,0.00,0.00,0.00,0.00
1505942145000,4141.51,0.02,0.00,0.00,2621.66,154.37,298.38,0.00,0.00,0.00,0.00
1505942245000,3433.86,0.34,0.00,0.00,2846.34,154.37,2599.96,0.00,0.00,0.00,0.00
1505942345000,1997.38,0.00,0.00,0.00,1725.98,0.00,69.58,0.00,0.00,0.00,0.00
1505942445000,2235.85,0.00,0.00,0.00,1653.67,0.12,8.18,0.00,0.00,0.00,0.00
1505942545000,1645.01,0.00,0.00,0.00,1033.53,0.00,9.91,0.00,0.00,0.00,0.00
1505942645000,2022.54,0.01,0.00,0.00,1617.11,0.32,22.27,0.00,0.00,0.00,0.00
1505942745000,1677.00,0.00,0.00,0.00,1286.10,0.00,8.75,0.00,0.00,0.00,0.00
1505942845000,23021.84,0.01,0.00,0.00,16155.01,1267.47,3609.09,0.00,0.00,0.00,0.00
1505942945000,41373.90,0.00,0.00,0.00,29780.92,2251.58,6741.50,0.00,0.00,0.00,0.00
1505943045000,33190.01,0.00,0.00,0.00,27844.96,1428.35,4910.46,0.00,0.00,0.00,0.00
1505943145000,51594.38,0.00,0.00,0.00,38353.79,2979.04,8747.59,0.00,0.00,0.00,0.00
1505943245000,49740.38,0.00,0.00,0.00,38098.56,2700.52,8172.83,0.00,0.00,0.00,0.00
1505943345000,38855.42,0.00,0.00,0.00,30158.95,1546.35,5038.72,0.00,0.00,0.00,0.00
1505943445000,41693.98,0.00,0.00,0.00,32922.51,1747.26,5566.43,0.00,0.00,0.00,0.00
1505943545000,42328.59,0.00,0.00,0.00,33401.81,1839.95,5892.38,0.00,0.00,0.00,0.00
1505943645000,21927.80,0.00,0.00,0.00,18804.00,28.24,1695.44,0.00,0.00,0.00,0.00
