timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1505941345000,0.00,0.00,83.11,0.02,0.00,0.00,0.00,0.01,0.53,16.32
1505941445000,0.00,0.00,99.52,0.00,0.00,0.00,0.00,0.02,0.08,0.38
1505941545000,0.00,0.00,99.83,0.00,0.00,0.00,0.00,0.00,0.12,0.05
1505941645000,0.00,0.00,99.90,0.00,0.00,0.00,0.00,0.01,0.03,0.06
1505941745000,0.00,0.00,99.65,0.03,0.00,0.00,0.00,0.02,0.07,0.23
1505941845000,0.00,0.00,99.65,0.01,0.00,0.00,0.00,0.01,0.18,0.15
1505941945000,0.00,0.00,99.88,0.01,0.00,0.00,0.00,0.01,0.03,0.07
1505942045000,0.00,0.00,98.79,0.05,0.00,0.00,0.00,0.03,0.39,0.74
1505942145000,0.00,0.00,99.70,0.00,0.00,0.00,0.00,0.02,0.12,0.16
1505942245000,0.00,0.00,99.45,0.01,0.00,0.00,0.00,0.02,0.17,0.35
1505942345000,0.00,0.00,99.72,0.00,0.00,0.00,0.00,0.02,0.11,0.15
1505942445000,0.00,0.00,99.75,0.00,0.00,0.00,0.00,0.02,0.10,0.13
1505942545000,0.00,0.00,99.79,0.00,0.00,0.00,0.00,0.01,0.07,0.13
1505942645000,0.00,0.00,99.74,0.00,0.00,0.00,0.00,0.02,0.13,0.11
1505942745000,0.00,0.00,99.80,0.00,0.00,0.00,0.00,0.01,0.10,0.09
1505942845000,0.00,0.00,98.71,0.08,0.00,0.00,0.00,0.07,0.50,0.63
1505942945000,0.00,0.00,97.56,0.12,0.00,0.00,0.01,0.11,1.02,1.18
1505943045000,0.00,0.00,97.89,0.10,0.00,0.00,0.00,0.09,0.89,1.02
1505943145000,0.00,0.00,95.75,0.10,0.00,0.00,0.01,0.16,1.72,2.26
1505943245000,0.00,0.00,94.31,0.43,0.00,0.00,0.02,0.16,2.17,2.91
1505943345000,0.00,0.00,95.46,0.06,0.00,0.00,0.02,0.13,2.16,2.16
1505943445000,0.00,0.00,95.09,0.06,0.00,0.00,0.01,0.14,2.32,2.37
1505943545000,0.00,0.00,95.70,0.14,0.00,0.00,0.01,0.15,2.10,1.89
1505943645000,0.00,0.00,96.26,0.06,0.00,0.00,0.00,0.09,1.84,1.75
1505943745000,0.00,0.00,96.47,0.13,0.00,0.06,0.02,0.13,2.02,1.17
1505943845000,0.00,0.00,96.17,0.10,0.00,0.00,0.01,0.14,2.37,1.20
1505943945000,0.00,0.00,90.25,0.25,0.00,0.00,0.06,0.26,5.17,4.02
1505944045000,0.00,0.00,91.98,1.00,0.00,0.00,0.02,0.25,3.72,3.02
1505944145000,0.00,0.00,91.23,0.35,0.00,0.00,0.04,0.27,4.87,3.24
1505944245000,0.00,0.00,89.77,0.19,0.00,0.00,0.02,0.26,5.71,4.04
1505944345000,0.00,0.00,90.84,0.11,0.00,0.00,0.02,0.28,5.25,3.50
1505944445000,0.00,0.00,90.08,0.09,0.00,0.00,0.06,0.25,5.66,3.86
1505944545000,0.00,0.00,88.92,0.23,0.00,0.00,0.03,0.26,6.39,4.17
1505944645000,0.00,0.00,94.58,0.11,0.00,0.00,0.01,0.23,3.25,1.83
