timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1532.63,10.59
1505941445000,1777.15,18.29
1505941545000,1098.30,0.74
1505941645000,1149.94,5.44
1505941745000,2237.52,41.91
1505941845000,2492.06,50.56
1505941945000,1772.43,11.54
1505942045000,4507.16,14.22
1505942145000,2696.65,11.89
1505942245000,3613.73,8.43
1505942345000,2134.44,4.17
1505942445000,2150.62,4.41
1505942545000,2058.92,3.52
1505942645000,2179.15,4.97
1505942745000,2015.69,3.80
1505942845000,9826.73,75.01
1505942945000,17457.32,134.50
1505943045000,14488.03,96.18
1505943145000,24035.64,163.90
1505943245000,23913.69,152.43
1505943345000,19042.31,106.87
1505943445000,21329.60,110.42
1505943545000,21938.91,109.24
1505943645000,14042.27,29.85
1505943745000,16953.46,185.83
1505943845000,17114.71,28.85
1505943945000,39221.93,167.31
1505944045000,31598.20,127.19
1505944145000,38143.47,161.25
1505944245000,36543.22,144.59
1505944345000,37299.92,152.59
1505944445000,37076.73,124.30
1505944545000,35508.05,118.02
1505944645000,25101.82,31.00
1505944745000,26237.00,30.11
1505944845000,28019.98,34.79
1505944945000,33995.19,49.96
1505945045000,47886.83,136.21
1505945145000,47926.65,128.59
1505945245000,46024.75,110.84
1505945345000,48649.14,144.07
1505945445000,50428.50,132.79
1505945545000,51703.26,156.04
1505945645000,50426.01,111.85
1505945745000,46111.18,101.02
1505945845000,35415.56,36.67
1505945945000,35601.56,25.04
1505946045000,36578.28,24.88
1505946145000,36460.91,26.35
1505946245000,39100.61,45.58
1505946345000,35878.62,9.38
1505946445000,56940.96,87.44
1505946545000,56566.40,113.11
1505946645000,64400.06,135.84
1505946745000,61365.51,133.93
1505946845000,56703.56,103.04
1505946945000,58394.80,107.35
1505947045000,61518.41,136.78
1505947145000,63971.61,118.90
1505947245000,54145.77,93.08
1505947345000,52215.51,94.20
1505947445000,43023.86,37.45
1505947545000,41642.29,21.67
1505947645000,43407.48,20.09
1505947745000,42710.16,20.89
1505947845000,43650.67,20.20
1505947945000,44445.44,23.43
1505948045000,53352.45,69.83
1505948145000,46240.24,39.55
1505948245000,42919.09,3.41
1505948345000,42888.85,3.21
