timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1505941345000,12.09,0.02,203.57,10.53,0.40,0.00,0.01,0.00,169.87
1505941445000,13.60,0.00,144.90,10.52,0.49,0.00,0.00,0.00,135.00
1505941545000,10.50,0.01,21.22,10.51,0.00,0.00,0.00,0.00,21.22
1505941645000,11.02,0.01,26.22,10.46,0.02,0.00,0.00,0.00,26.46
1505941745000,13.99,0.00,58.94,10.48,0.02,0.00,0.02,0.00,61.54
1505941845000,10.91,0.01,46.84,10.31,0.00,0.00,0.02,0.00,49.49
1505941945000,0.98,0.01,10.46,0.00,0.00,0.00,0.00,0.00,10.88
1505942045000,0.54,0.00,79.67,0.00,0.00,0.00,0.00,0.00,64.13
1505942145000,0.51,0.57,15.18,0.01,0.00,0.00,0.03,0.00,14.19
1505942245000,0.62,0.05,86.78,0.00,0.01,0.00,0.00,0.00,66.60
1505942345000,0.60,0.00,7.37,0.00,0.00,0.00,0.00,0.00,7.31
1505942445000,0.64,0.02,7.78,0.02,0.00,0.00,0.00,0.00,7.71
1505942545000,0.60,0.00,7.25,0.00,0.00,0.00,0.00,0.00,7.13
1505942645000,0.42,0.03,7.42,0.00,0.00,0.00,0.00,0.00,7.25
1505942745000,0.40,0.01,6.14,0.01,0.01,0.00,0.00,0.00,6.03
1505942845000,1.37,5.05,147.16,0.10,0.05,0.00,0.12,0.00,172.78
1505942945000,12.23,16.75,560.54,0.20,0.57,0.02,0.58,0.02,914.46
1505943045000,15.28,19.60,641.60,0.27,1.33,0.04,1.42,0.04,1197.27
1505943145000,22.62,29.24,937.64,0.16,0.36,0.00,0.69,0.00,1681.59
1505943245000,31.82,38.05,1077.29,0.19,0.44,0.02,1.56,0.02,1725.14
1505943345000,33.87,29.97,916.43,0.23,0.97,0.00,1.17,0.00,1260.69
1505943445000,32.62,33.01,937.97,0.22,2.56,0.00,0.69,0.00,1305.75
1505943545000,19.56,23.60,796.70,0.25,1.85,0.00,0.57,0.00,1183.47
1505943645000,18.89,15.90,706.20,0.33,1.59,0.02,0.72,0.02,1149.01
1505943745000,21.12,18.22,813.15,0.32,1.32,0.00,1.03,0.00,1156.54
1505943845000,28.15,14.66,856.50,0.29,1.89,0.04,2.16,0.04,1359.71
1505943945000,93.85,92.83,2758.48,0.14,3.16,0.05,3.12,0.05,4473.14
1505944045000,33.94,30.88,1706.74,0.24,1.82,0.02,1.85,0.02,3823.53
1505944145000,42.00,51.88,2176.03,0.23,2.28,0.01,2.00,0.01,4394.29
1505944245000,49.38,52.29,1999.98,0.24,4.32,0.04,4.49,0.04,4286.91
1505944345000,37.21,43.80,1462.18,0.22,1.93,0.01,2.12,0.01,2241.70
1505944445000,70.23,63.35,1996.49,0.20,3.36,0.00,4.77,0.00,2594.18
1505944545000,44.01,44.09,1515.97,0.22,1.49,0.01,5.77,0.01,2202.34
1505944645000,0.75,2.34,1099.47,0.32,0.08,0.00,0.04,0.00,1856.10
1505944745000,4.64,2.39,1200.77,0.33,0.64,0.00,0.70,0.00,2024.80
1505944845000,0.79,2.02,1161.96,0.31,0.21,0.00,0.05,0.00,2152.37
1505944945000,30.67,32.12,1452.51,0.12,0.06,0.00,0.21,0.00,2248.40
1505945045000,101.64,87.44,3292.51,0.16,8.55,0.11,13.38,0.11,6385.88
1505945145000,80.72,75.68,3073.39,0.15,1.72,0.07,8.94,0.07,6279.16
1505945245000,48.88,55.70,2642.62,0.17,1.88,0.03,5.43,0.03,6023.52
1505945345000,83.03,83.05,3170.10,0.15,0.97,0.05,12.06,0.05,6495.85
1505945445000,65.97,62.66,1994.47,0.17,1.56,0.08,8.05,0.08,2651.50
1505945545000,100.81,101.95,2621.92,0.12,2.60,0.10,16.92,0.10,3219.04
1505945645000,47.96,51.76,1763.52,0.16,4.37,0.05,7.13,0.05,2472.72
1505945745000,60.06,56.19,1921.41,0.17,2.53,0.05,7.14,0.05,2586.01
1505945845000,3.11,6.99,1513.61,0.29,0.55,0.00,0.68,0.00,2401.57
1505945945000,18.30,9.49,1488.62,0.27,0.89,0.00,1.43,0.00,2328.81
1505946045000,22.84,14.46,1639.24,0.26,0.83,0.00,1.32,0.00,2508.59
1505946145000,10.68,4.85,1489.67,0.27,0.50,0.00,0.79,0.00,2521.34
1505946245000,35.59,35.06,1878.62,0.19,0.19,0.00,0.47,0.00,2836.76
1505946345000,10.54,15.10,872.30,0.00,0.00,0.00,0.87,0.00,863.44
1505946445000,53.13,56.58,2506.80,0.07,4.85,0.07,10.57,0.07,5578.30
1505946545000,61.38,64.42,3073.84,0.14,3.93,0.05,9.76,0.05,7391.03
1505946645000,116.50,108.62,4359.76,0.11,7.55,0.03,14.20,0.03,8585.12
1505946745000,99.15,96.32,3721.10,0.12,5.33,0.04,14.30,0.04,8140.28
1505946845000,78.94,71.68,2670.92,0.13,5.82,0.09,12.17,0.09,4853.84
1505946945000,88.87,79.31,2500.20,0.12,8.98,0.10,13.65,0.10,3097.02
1505947045000,126.48,122.36,3377.86,0.10,11.91,0.09,17.32,0.09,3925.64
1505947145000,111.30,105.79,3026.27,0.11,11.85,0.05,16.91,0.05,3587.94
1505947245000,73.73,63.77,1977.20,0.12,2.80,0.07,11.88,0.07,2797.95
1505947345000,44.87,50.19,2100.49,0.18,7.01,0.04,7.26,0.04,2896.93
1505947445000,13.35,10.10,1473.22,0.22,0.82,0.01,1.28,0.01,2391.43
1505947545000,13.81,9.44,1370.53,0.24,0.43,0.00,4.09,0.00,2395.87
1505947645000,24.66,14.42,1466.16,0.20,0.81,0.02,2.26,0.02,2330.20
1505947745000,17.94,8.37,1384.75,0.21,0.60,0.03,1.79,0.03,2361.24
1505947845000,4.24,6.39,1357.58,0.21,0.22,0.00,0.55,0.00,2248.90
1505947945000,0.72,11.03,1177.12,0.20,0.17,0.00,0.88,0.00,2097.51
1505948045000,59.78,53.29,2103.94,0.14,3.52,0.02,7.14,0.02,2606.39
1505948145000,64.56,62.56,2190.07,0.04,0.18,0.00,4.90,0.00,2480.94
1505948245000,0.40,0.19,862.39,0.00,0.00,0.00,0.00,0.00,861.90
1505948345000,0.40,0.01,860.57,0.00,0.00,0.00,0.00,0.00,860.55
