timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,xvda-read,xvda-write,xvdb-read,xvdb-write
1505941845000,3.70,2.00,35.32,123.86,2.95,2.00
1505942445000,160.65,10.52,75.23,21.97,160.65,9.01
1505943045000,16.00,501.51,1.00,2.39,16.00,406.56
1505943645000,0.00,1.55,2.15,4.19,0.00,1.54
1505944245000,0.00,2.89,0.00,1.47,0.00,2.85
1505944845000,11.67,2.18,0.00,5.52,11.67,2.17
1505945445000,0.00,2.38,0.00,1.60,0.00,2.30
1505946045000,0.00,1.95,0.00,1.63,0.00,1.89
1505946645000,0.00,2.39,0.00,2.19,0.00,2.25
1505947245000,0.00,1.81,0.00,2.61,0.00,1.80
1505947845000,0.00,2.49,0.00,0.98,0.00,2.42
