35.80s of 43.04s total (83.18%)
Dropped 1062 nodes (cum <= 0.22s)
      flat  flat%   sum%        cum   cum%
     8.84s 20.54% 20.54%      8.94s 20.77%  syscall.Syscall
     4.17s  9.69% 30.23%      7.65s 17.77%  runtime.scanobject
     3.05s  7.09% 37.31%      3.10s  7.20%  syscall.Syscall6
     2.57s  5.97% 43.29%      2.57s  5.97%  math/big.addMulVVW
     2.28s  5.30% 48.58%      2.31s  5.37%  runtime.greyobject
     1.70s  3.95% 52.53%      1.70s  3.95%  runtime.memclrNoHeapPointers
     1.22s  2.83% 55.37%      1.22s  2.83%  runtime.heapBitsForObject
     1.22s  2.83% 58.20%      2.38s  5.53%  strings.FieldsFunc
     1.19s  2.76% 60.97%      1.19s  2.76%  runtime.memmove
     1.05s  2.44% 63.41%      1.07s  2.49%  runtime.heapBitsSetType
     0.89s  2.07% 65.47%      4.49s 10.43%  runtime.mallocgc
     0.87s  2.02% 67.50%      3.78s  8.78%  math/big.nat.montgomery
     0.84s  1.95% 69.45%      0.84s  1.95%  runtime.futex
     0.46s  1.07% 70.52%      1.94s  4.51%  runtime.mapassign
     0.43s     1% 71.51%      0.43s     1%  runtime.aeshashbody
     0.34s  0.79% 72.30%      0.34s  0.79%  syscall.RawSyscall6
     0.31s  0.72% 73.03%      0.31s  0.72%  runtime.(*mSpanList).remove
     0.28s  0.65% 73.68%      0.79s  1.84%  math/big.nat.divLarge
     0.24s  0.56% 74.23%      0.39s  0.91%  runtime.mapaccess2
     0.23s  0.53% 74.77%      0.23s  0.53%  runtime.duffcopy
     0.22s  0.51% 75.28%      0.22s  0.51%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.20s  0.46% 75.74%      0.35s  0.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.17s  0.39% 76.14%      0.53s  1.23%  runtime.pcvalue
     0.16s  0.37% 76.51%      7.86s 18.26%  runtime.gcDrain
     0.14s  0.33% 76.84%      8.92s 20.72%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.14s  0.33% 77.16%      3.96s  9.20%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.14s  0.33% 77.49%      0.33s  0.77%  runtime.evacuate
     0.13s   0.3% 77.79%      0.90s  2.09%  runtime.gentraceback
     0.12s  0.28% 78.07%      0.33s  0.77%  bytes.(*Buffer).WriteString
     0.12s  0.28% 78.35%      0.22s  0.51%  runtime.sweepone
     0.12s  0.28% 78.62%      0.38s  0.88%  runtime.typedmemmove
     0.11s  0.26% 78.88%      2.17s  5.04%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.11s  0.26% 79.14%      0.54s  1.25%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.11s  0.26% 79.39%      0.86s  2.00%  runtime.slicebytetostring
     0.10s  0.23% 79.62%      0.64s  1.49%  runtime.rawstring
     0.10s  0.23% 79.86%      0.50s  1.16%  runtime.selectgoImpl
     0.09s  0.21% 80.07%      0.48s  1.12%  encoding/json.(*Decoder).readValue
     0.09s  0.21% 80.27%      0.71s  1.65%  runtime.findrunnable
     0.08s  0.19% 80.46%      0.95s  2.21%  encoding/json.(*decodeState).object
     0.08s  0.19% 80.65%      1.10s  2.56%  runtime.newobject
     0.07s  0.16% 80.81%      0.31s  0.72%  runtime.makemap
     0.07s  0.16% 80.97%     11.11s 25.81%  runtime.systemstack
     0.06s  0.14% 81.11%      0.86s  2.00%  math/big.(*Int).GCD
     0.06s  0.14% 81.25%      1.48s  3.44%  runtime.makeslice
     0.06s  0.14% 81.39%      0.27s  0.63%  runtime.step
     0.05s  0.12% 81.51%      7.58s 17.61%  bufio.(*Scanner).Scan
     0.05s  0.12% 81.62%      0.86s  2.00%  runtime.(*mcentral).cacheSpan
     0.04s 0.093% 81.71%      3.83s  8.90%  math/big.nat.expNNMontgomery
     0.04s 0.093% 81.81%      0.26s   0.6%  runtime.(*mheap).alloc_m
     0.04s 0.093% 81.90%      0.97s  2.25%  runtime.mcall
     0.03s  0.07% 81.97%      0.27s  0.63%  fmt.Sprintf
     0.03s  0.07% 82.04%      2.79s  6.48%  github.com/openshift/origin/vendor/github.com/google/cadvisor/fs.getDiskStatsMap
     0.03s  0.07% 82.11%      0.27s  0.63%  runtime.adjustframe
     0.02s 0.046% 82.16%      0.40s  0.93%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.GetChainLines
     0.02s 0.046% 82.20%      0.49s  1.14%  math/big.(*Int).QuoRem
     0.02s 0.046% 82.25%      0.82s  1.91%  math/big.nat.div
     0.02s 0.046% 82.30%      0.27s  0.63%  math/big.nat.mul
     0.02s 0.046% 82.34%      0.32s  0.74%  net.(*netFD).Read
     0.02s 0.046% 82.39%      0.71s  1.65%  os.(*File).readdir
     0.02s 0.046% 82.43%      0.35s  0.81%  runtime.growWork
     0.02s 0.046% 82.48%      0.99s  2.30%  runtime.growslice
     0.02s 0.046% 82.53%      0.28s  0.65%  runtime.notesleep
     0.02s 0.046% 82.57%      0.66s  1.53%  runtime.rawstringtmp
     0.01s 0.023% 82.60%      0.25s  0.58%  bufio.(*Reader).Read
     0.01s 0.023% 82.62%      4.85s 11.27%  crypto/rsa.decrypt
     0.01s 0.023% 82.64%      5.10s 11.85%  crypto/tls.(*ecdheKeyAgreement).generateServerKeyExchange
     0.01s 0.023% 82.67%      0.38s  0.88%  encoding/binary.Write
     0.01s 0.023% 82.69%      0.65s  1.51%  encoding/json.(*decodeState).array
     0.01s 0.023% 82.71%      0.36s  0.84%  encoding/json.(*decodeState).literal
     0.01s 0.023% 82.74%      0.23s  0.53%  encoding/json.(*decodeState).literalStore
     0.01s 0.023% 82.76%      0.97s  2.25%  encoding/json.(*decodeState).unmarshal
     0.01s 0.023% 82.78%      0.33s  0.77%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*Framer).writeSynReplyFrame
     0.01s 0.023% 82.81%      0.45s  1.05%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.assignDeviceNamesToPerDiskStats
