38332.96kB of 38332.96kB total (  100%)
Dropped 1158 nodes (cum <= 191.66kB)
      flat  flat%   sum%        cum   cum%
 8193.91kB 21.38% 21.38% 11040.40kB 28.80%  runtime.mapassign
 3584.51kB  9.35% 30.73%  3584.51kB  9.35%  runtime.rawstringtmp
 3102.14kB  8.09% 38.82%  3102.14kB  8.09%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 3094.32kB  8.07% 46.89%  3094.32kB  8.07%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
 3073.24kB  8.02% 54.91%  3073.24kB  8.02%  runtime.makemap
 2846.49kB  7.43% 62.33%  2846.49kB  7.43%  runtime.hashGrow
 1728.94kB  4.51% 66.84%  1728.94kB  4.51%  bytes.makeSlice
 1584.50kB  4.13% 70.98%  1584.50kB  4.13%  regexp.(*bitState).reset
 1537.31kB  4.01% 74.99% 11800.82kB 30.79%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 1024.41kB  2.67% 77.66%  1024.41kB  2.67%  runtime.malg
  902.59kB  2.35% 80.02%   902.59kB  2.35%  compress/flate.NewWriter
  809.97kB  2.11% 82.13%   809.97kB  2.11%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  609.50kB  1.59% 83.72%   609.50kB  1.59%  runtime.stringtoslicebyte
  591.75kB  1.54% 85.26%   591.75kB  1.54%  crypto/elliptic.initTable
  524.09kB  1.37% 86.63%   524.09kB  1.37%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
     515kB  1.34% 87.97%      515kB  1.34%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
  512.88kB  1.34% 89.31%   512.88kB  1.34%  encoding/pem.Decode
  512.50kB  1.34% 90.65%  1024.70kB  2.67%  runtime.allocm
  512.28kB  1.34% 91.98%   512.28kB  1.34%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd.NewCmdExposeService
