40.25s of 49.26s total (81.71%)
Dropped 1161 nodes (cum <= 0.25s)
      flat  flat%   sum%        cum   cum%
     8.94s 18.15% 18.15%      9.24s 18.76%  syscall.Syscall
     4.86s  9.87% 28.01%      4.86s  9.87%  math/big.addMulVVW
     4.46s  9.05% 37.07%      8.70s 17.66%  runtime.scanobject
     2.85s  5.79% 42.85%      2.85s  5.79%  runtime.greyobject
     2.20s  4.47% 47.32%      2.23s  4.53%  syscall.Syscall6
     1.71s  3.47% 50.79%      1.71s  3.47%  runtime.memclrNoHeapPointers
     1.43s  2.90% 53.69%      1.43s  2.90%  runtime.heapBitsForObject
     1.43s  2.90% 56.60%      1.43s  2.90%  runtime.memmove
     1.33s  2.70% 59.30%      4.34s  8.81%  runtime.mallocgc
     1.26s  2.56% 61.86%      6.68s 13.56%  math/big.nat.montgomery
     1.14s  2.31% 64.17%      1.14s  2.31%  runtime.futex
     1.12s  2.27% 66.44%      2.14s  4.34%  strings.FieldsFunc
     0.75s  1.52% 67.97%      0.81s  1.64%  runtime.heapBitsSetType
     0.53s  1.08% 69.04%      1.69s  3.43%  runtime.mapassign
     0.50s  1.02% 70.06%      1.53s  3.11%  math/big.nat.divLarge
     0.40s  0.81% 70.87%      0.40s  0.81%  runtime.aeshashbody
     0.35s  0.71% 71.58%      0.35s  0.71%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.35s  0.71% 72.29%      0.77s  1.56%  runtime.pcvalue
     0.34s  0.69% 72.98%      0.34s  0.69%  math/big.mulAddVWW
     0.29s  0.59% 73.57%      0.29s  0.59%  runtime.readvarint
     0.28s  0.57% 74.14%      0.28s  0.57%  syscall.RawSyscall6
     0.27s  0.55% 74.69%      9.11s 18.49%  runtime.gcDrain
     0.27s  0.55% 75.23%      0.36s  0.73%  runtime.mapaccess2
     0.23s  0.47% 75.70%      1.32s  2.68%  runtime.gentraceback
     0.14s  0.28% 75.98%      0.30s  0.61%  encoding/json.(*decodeState).scanWhile
     0.13s  0.26% 76.25%      1.34s  2.72%  runtime.newobject
     0.12s  0.24% 76.49%      1.69s  3.43%  math/big.(*Int).GCD
     0.12s  0.24% 76.74%      0.35s  0.71%  runtime.evacuate
     0.11s  0.22% 76.96%      8.72s 17.70%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.11s  0.22% 77.18%      0.42s  0.85%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.11s  0.22% 77.41%      0.68s  1.38%  runtime.rawstring
     0.11s  0.22% 77.63%      0.65s  1.32%  runtime.selectgoImpl
     0.10s   0.2% 77.83%      0.26s  0.53%  bytes.(*Buffer).WriteString
     0.10s   0.2% 78.03%      0.46s  0.93%  encoding/json.(*Decoder).readValue
     0.09s  0.18% 78.22%      1.35s  2.74%  encoding/json.(*decodeState).object
     0.09s  0.18% 78.40%      0.83s  1.68%  runtime.findrunnable
     0.09s  0.18% 78.58%      1.43s  2.90%  runtime.makeslice
     0.08s  0.16% 78.75%      3.26s  6.62%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.08s  0.16% 78.91%      0.25s  0.51%  runtime.makemap
     0.08s  0.16% 79.07%      0.90s  1.83%  runtime.slicebytetostring
     0.08s  0.16% 79.23%      0.37s  0.75%  runtime.step
     0.07s  0.14% 79.37%      0.41s  0.83%  runtime.adjustframe
     0.07s  0.14% 79.52%      0.75s  1.52%  runtime.rawstringtmp
     0.07s  0.14% 79.66%      1.13s  2.29%  runtime.schedule
     0.06s  0.12% 79.78%      7.33s 14.88%  bufio.(*Scanner).Scan
     0.06s  0.12% 79.90%      0.25s  0.51%  math/big.(*Int).Add
     0.06s  0.12% 80.02%      0.31s  0.63%  math/big.(*Int).Mul
