135.48MB of 142.16MB total (95.30%)
Dropped 1576 nodes (cum <= 0.71MB)
      flat  flat%   sum%        cum   cum%
   66.01MB 46.44% 46.44%    69.31MB 48.76%  runtime.mapassign
   27.50MB 19.35% 65.78%    27.50MB 19.35%  runtime.rawstringtmp
   14.50MB 10.20% 75.98%    14.50MB 10.20%  runtime.makemap
   11.09MB  7.80% 83.78%    11.09MB  7.80%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    3.80MB  2.67% 86.46%     3.80MB  2.67%  bytes.makeSlice
    3.30MB  2.32% 88.78%     3.30MB  2.32%  runtime.hashGrow
    3.03MB  2.13% 90.91%     3.03MB  2.13%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    1.55MB  1.09% 92.00%     1.55MB  1.09%  regexp.(*bitState).reset
    1.02MB  0.72% 92.72%     1.02MB  0.72%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB   0.7% 93.42%        1MB   0.7%  runtime.malg
    0.88MB  0.62% 94.04%     0.88MB  0.62%  compress/flate.NewWriter
    0.79MB  0.56% 94.60%     0.79MB  0.56%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.50MB  0.35% 94.95%        1MB   0.7%  runtime.allocm
    0.50MB  0.35% 95.30%    88.10MB 61.98%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 95.30%     2.31MB  1.63%  bytes.(*Buffer).ReadFrom
         0     0% 95.30%     0.95MB  0.67%  bytes.(*Buffer).WriteString
         0     0% 95.30%     1.49MB  1.05%  bytes.(*Buffer).grow
         0     0% 95.30%     0.88MB  0.62%  compress/flate.NewWriterDict
         0     0% 95.30%     0.88MB  0.62%  compress/zlib.(*Writer).Write
         0     0% 95.30%     0.88MB  0.62%  compress/zlib.(*Writer).writeHeader
         0     0% 95.30%     1.58MB  1.11%  crypto/tls.(*Conn).Handshake
         0     0% 95.30%     1.58MB  1.11%  crypto/tls.(*Conn).clientHandshake
         0     0% 95.30%     1.58MB  1.11%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 95.30%        1MB   0.7%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0% 95.30%        1MB   0.7%  crypto/x509.(*Certificate).Verify
         0     0% 95.30%        1MB   0.7%  crypto/x509.initSystemRoots
         0     0% 95.30%        1MB   0.7%  crypto/x509.loadSystemRoots
         0     0% 95.30%        1MB   0.7%  crypto/x509.systemRootsPool
