278.62MB of 291.53MB total (95.57%)
Dropped 1804 nodes (cum <= 1.46MB)
      flat  flat%   sum%        cum   cum%
  129.03MB 44.26% 44.26%   131.81MB 45.21%  runtime.mapassign
   71.50MB 24.53% 68.78%    71.50MB 24.53%  runtime.rawstringtmp
      43MB 14.75% 83.53%       43MB 14.75%  runtime.makemap
   20.42MB  7.01% 90.54%    20.42MB  7.01%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.27MB  1.81% 92.35%     5.27MB  1.81%  bytes.makeSlice
    3.03MB  1.04% 93.39%     3.03MB  1.04%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.78MB  0.95% 94.34%     2.78MB  0.95%  runtime.hashGrow
    1.55MB  0.53% 94.87%     1.55MB  0.53%  regexp.(*bitState).reset
    1.04MB  0.36% 95.23%    71.04MB 24.37%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
       1MB  0.34% 95.57%   189.45MB 64.98%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 95.57%     3.19MB  1.10%  bytes.(*Buffer).ReadFrom
         0     0% 95.57%     1.54MB  0.53%  bytes.(*Buffer).WriteString
         0     0% 95.57%     2.08MB  0.71%  bytes.(*Buffer).grow
         0     0% 95.57%     1.58MB  0.54%  crypto/tls.(*Conn).Handshake
         0     0% 95.57%     1.58MB  0.54%  crypto/tls.(*Conn).clientHandshake
         0     0% 95.57%     1.58MB  0.54%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 95.57%     3.11MB  1.07%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 95.57%     3.53MB  1.21%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 95.57%     3.53MB  1.21%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 95.57%     9.57MB  3.28%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 95.57%     3.91MB  1.34%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 95.57%     1.56MB  0.54%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 95.57%     1.52MB  0.52%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 95.57%     1.52MB  0.52%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 95.57%     1.53MB  0.53%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 95.57%        2MB  0.69%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 95.57%     2.58MB  0.88%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 95.57%     1.56MB  0.54%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 95.57%    56.08MB 19.24%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 95.57%   188.45MB 64.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 95.57%   260.49MB 89.35%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 95.57%   188.45MB 64.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 95.57%   204.41MB 70.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 95.57%      261MB 89.53%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 95.57%      261MB 89.53%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 95.57%      261MB 89.53%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 95.57%    71.04MB 24.37%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 95.57%    71.04MB 24.37%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 95.57%    71.04MB 24.37%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getStats
         0     0% 95.57%     2.53MB  0.87%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0% 95.57%     2.53MB  0.87%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).WithLabelValues
         0     0% 95.57%     2.53MB  0.87%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).getOrCreateMetricWithLabelValues
         0     0% 95.57%     2.53MB  0.87%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*SummaryVec).WithLabelValues
         0     0% 95.57%     3.03MB  1.04%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*summary).newStream
         0     0% 95.57%     2.53MB  0.87%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummaryVec.func1
         0     0% 95.57%     3.03MB  1.04%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 95.57%     1.57MB  0.54%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apimachinery/announced.(*GroupMetaFactory).Enable
         0     0% 95.57%     1.57MB  0.54%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apimachinery/announced.(*GroupMetaFactory).RegisterAndEnable
         0     0% 95.57%     1.59MB  0.55%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*SchemeBuilder).AddToScheme
         0     0% 95.57%     1.59MB  0.55%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*SchemeBuilder).AddToScheme-fm
         0     0% 95.57%     1.50MB  0.51%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.Decode
         0     0% 95.57%     1.50MB  0.51%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/versioning.(*codec).Decode
         0     0% 95.57%     1.52MB  0.52%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Forever
         0     0% 95.57%     1.52MB  0.52%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil
         0     0% 95.57%     1.52MB  0.52%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
         0     0% 95.57%     1.52MB  0.52%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Until
         0     0% 95.57%     1.50MB  0.51%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/watch.(*StreamWatcher).receive
         0     0% 95.57%     1.50MB  0.51%  github.com/openshift/origin/vendor/k8s.io/client-go/rest/watch.(*Decoder).Decode
         0     0% 95.57%     1.52MB  0.52%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.NewNamedReflector
