210.54MB of 221.54MB total (95.04%)
Dropped 1692 nodes (cum <= 1.11MB)
      flat  flat%   sum%        cum   cum%
   99.52MB 44.92% 44.92%   102.30MB 46.18%  runtime.mapassign
      50MB 22.57% 67.49%       50MB 22.57%  runtime.rawstringtmp
      23MB 10.38% 77.87%       23MB 10.38%  runtime.makemap
   20.93MB  9.45% 87.32%    20.93MB  9.45%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.35MB  2.41% 89.73%    54.85MB 24.76%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    4.39MB  1.98% 91.72%     4.39MB  1.98%  bytes.makeSlice
    3.03MB  1.37% 93.08%     3.03MB  1.37%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.78MB  1.25% 94.34%     2.78MB  1.25%  runtime.hashGrow
    1.55MB   0.7% 95.04%     1.55MB   0.7%  regexp.(*bitState).reset
         0     0% 95.04%     2.31MB  1.04%  bytes.(*Buffer).ReadFrom
         0     0% 95.04%     1.54MB   0.7%  bytes.(*Buffer).WriteString
         0     0% 95.04%     2.08MB  0.94%  bytes.(*Buffer).grow
         0     0% 95.04%     1.58MB  0.71%  crypto/tls.(*Conn).Handshake
         0     0% 95.04%     1.58MB  0.71%  crypto/tls.(*Conn).clientHandshake
         0     0% 95.04%     1.58MB  0.71%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 95.04%     3.11MB  1.41%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 95.04%     3.53MB  1.59%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 95.04%     3.53MB  1.59%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 95.04%     9.57MB  4.32%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 95.04%     3.91MB  1.77%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 95.04%     1.56MB   0.7%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 95.04%     1.53MB  0.69%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 95.04%        2MB   0.9%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 95.04%     2.58MB  1.16%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 95.04%     1.56MB   0.7%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 95.04%    33.65MB 15.19%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 95.04%   139.45MB 62.94%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 95.04%   194.30MB 87.70%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 95.04%   139.45MB 62.94%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 95.04%   139.45MB 62.94%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 95.04%   160.65MB 72.51%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0% 95.04%   194.80MB 87.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 95.04%   194.80MB 87.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 95.04%   194.80MB 87.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.Asset
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.bindataRead
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.init
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.pagesAssetsJsGchartsJs
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.pagesAssetsJsGchartsJsBytes
         0     0% 95.04%    54.85MB 24.76%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 95.04%    54.85MB 24.76%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 95.04%    54.85MB 24.76%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getStats
         0     0% 95.04%     2.53MB  1.14%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0% 95.04%     2.53MB  1.14%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).WithLabelValues
         0     0% 95.04%     2.53MB  1.14%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).getOrCreateMetricWithLabelValues
         0     0% 95.04%     2.53MB  1.14%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*SummaryVec).WithLabelValues
         0     0% 95.04%     3.03MB  1.37%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*summary).newStream
         0     0% 95.04%     2.53MB  1.14%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummaryVec.func1
         0     0% 95.04%     3.03MB  1.37%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 95.04%     1.57MB  0.71%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apimachinery/announced.(*GroupMetaFactory).Enable
         0     0% 95.04%     1.57MB  0.71%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apimachinery/announced.(*GroupMetaFactory).RegisterAndEnable
         0     0% 95.04%     1.59MB  0.72%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*SchemeBuilder).AddToScheme
         0     0% 95.04%     1.59MB  0.72%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*SchemeBuilder).AddToScheme-fm
         0     0% 95.04%     1.50MB  0.68%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.Decode
         0     0% 95.04%     1.50MB  0.68%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/versioning.(*codec).Decode
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Forever
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Until
         0     0% 95.04%     1.50MB  0.68%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/watch.(*StreamWatcher).receive
         0     0% 95.04%     1.50MB  0.68%  github.com/openshift/origin/vendor/k8s.io/client-go/rest/watch.(*Decoder).Decode
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.NewNamedReflector
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.NewReflector
         0     0% 95.04%     1.52MB  0.69%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.newReflectorMetrics
         0     0% 95.04%     2.54MB  1.15%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kube-proxy/app.init
         0     0% 95.04%     1.80MB  0.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kubelet/app.init
         0     0% 95.04%     1.53MB  0.69%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd.NewKubectlCommand
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cadvisor.init
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.init
         0     0% 95.04%     1.16MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server.init
         0     0% 95.04%     1.54MB   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).(github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.syncProxyRules)-fm
         0     0% 95.04%     1.54MB   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).SyncLoop
         0     0% 95.04%     1.54MB   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
         0     0% 95.04%     1.54MB   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
         0     0% 95.04%     1.54MB   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/async.(*BoundedFrequencyRunner).Loop
         0     0% 95.04%     1.54MB   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/async.(*BoundedFrequencyRunner).tryRun
