37.27s of 42.37s total (87.96%)
Dropped 923 nodes (cum <= 0.21s)
      flat  flat%   sum%        cum   cum%
     9.10s 21.48% 21.48%      9.15s 21.60%  syscall.Syscall
     4.51s 10.64% 32.12%      8.87s 20.93%  runtime.scanobject
     4.18s  9.87% 41.99%      4.18s  9.87%  syscall.Syscall6
     2.79s  6.58% 48.57%      2.79s  6.58%  runtime.greyobject
     2.14s  5.05% 53.62%      2.14s  5.05%  runtime.memclrNoHeapPointers
     1.64s  3.87% 57.49%      3.59s  8.47%  strings.FieldsFunc
     1.63s  3.85% 61.34%      1.63s  3.85%  runtime.heapBitsForObject
     1.22s  2.88% 64.22%      5.20s 12.27%  runtime.mallocgc
     1.02s  2.41% 66.63%      1.02s  2.41%  runtime.heapBitsSetType
     0.85s  2.01% 68.63%      2.49s  5.88%  runtime.mapassign
     0.79s  1.86% 70.50%      0.79s  1.86%  runtime.memmove
     0.67s  1.58% 72.08%      0.67s  1.58%  runtime.futex
     0.66s  1.56% 73.64%      0.66s  1.56%  math/big.addMulVVW
     0.57s  1.35% 74.98%      0.57s  1.35%  syscall.RawSyscall6
     0.56s  1.32% 76.30%      0.56s  1.32%  runtime.aeshashbody
     0.49s  1.16% 77.46%      0.49s  1.16%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.39s  0.92% 78.38%      0.58s  1.37%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.38s   0.9% 79.28%      0.38s   0.9%  strconv.ParseUint
     0.37s  0.87% 80.15%      0.65s  1.53%  runtime.mapaccess2
     0.34s   0.8% 80.95%      0.34s   0.8%  runtime.(*mSpanList).remove
     0.24s  0.57% 81.52%      9.26s 21.86%  runtime.gcDrain
     0.20s  0.47% 81.99%     11.01s 25.99%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.19s  0.45% 82.44%      0.43s  1.01%  runtime.evacuate
     0.17s   0.4% 82.84%      0.64s  1.51%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.16s  0.38% 83.22%      3.30s  7.79%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.16s  0.38% 83.60%      0.34s   0.8%  runtime.typedmemmove
     0.15s  0.35% 83.95%      0.39s  0.92%  runtime.makemap
     0.14s  0.33% 84.28%      0.34s   0.8%  bytes.(*Buffer).WriteString
     0.12s  0.28% 84.56%      0.90s  2.12%  math/big.nat.montgomery
     0.12s  0.28% 84.85%      0.35s  0.83%  runtime.memhash
     0.11s  0.26% 85.11%      5.68s 13.41%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.10s  0.24% 85.34%      1.88s  4.44%  runtime.makeslice
     0.09s  0.21% 85.56%      8.07s 19.05%  bufio.(*Scanner).Scan
     0.09s  0.21% 85.77%      0.37s  0.87%  runtime.memhash128
     0.09s  0.21% 85.98%      0.30s  0.71%  runtime.selectgoImpl
     0.09s  0.21% 86.19%      0.98s  2.31%  runtime.slicebytetostring
     0.08s  0.19% 86.38%      0.99s  2.34%  runtime.newobject
     0.07s  0.17% 86.55%      0.83s  1.96%  runtime.rawstringtmp
     0.07s  0.17% 86.71%      0.27s  0.64%  runtime.sweepone
     0.06s  0.14% 86.85%      0.38s   0.9%  runtime.gentraceback
     0.06s  0.14% 87.00%      0.76s  1.79%  runtime.rawstring
     0.05s  0.12% 87.11%      0.88s  2.08%  runtime.(*mcentral).cacheSpan
     0.03s 0.071% 87.18%      1.13s  2.67%  runtime.(*mcache).nextFree
     0.03s 0.071% 87.26%     12.36s 29.17%  runtime.systemstack
     0.02s 0.047% 87.30%      0.37s  0.87%  encoding/json.(*decodeState).object
     0.02s 0.047% 87.35%      0.28s  0.66%  runtime.gosweepone.func1
     0.02s 0.047% 87.40%      1.35s  3.19%  runtime.growslice
     0.01s 0.024% 87.42%      0.39s  0.92%  encoding/json.(*decodeState).value
     0.01s 0.024% 87.44%      0.47s  1.11%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
     0.01s 0.024% 87.47%      0.37s  0.87%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.01s 0.024% 87.49%      0.66s  1.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.assignDeviceNamesToPerDiskStats
     0.01s 0.024% 87.51%      0.63s  1.49%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.deviceIdentifierMap.Find
     0.01s 0.024% 87.54%      3.29s  7.76%  github.com/openshift/origin/vendor/github.com/google/cadvisor/fs.getDiskStatsMap
     0.01s 0.024% 87.56%      1.76s  4.15%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil
