4.10s of 4.88s total (84.02%)
Dropped 464 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     0.99s 20.29% 20.29%      1.03s 21.11%  syscall.Syscall
     0.40s  8.20% 28.48%      0.40s  8.20%  syscall.Syscall6
     0.34s  6.97% 35.45%      0.54s 11.07%  runtime.scanobject
     0.22s  4.51% 39.96%      0.59s 12.09%  runtime.mallocgc
     0.16s  3.28% 43.24%      0.16s  3.28%  runtime.memclrNoHeapPointers
     0.11s  2.25% 45.49%      0.11s  2.25%  runtime.greyobject
     0.10s  2.05% 47.54%      0.10s  2.05%  encoding/json.stateInString
     0.10s  2.05% 49.59%      0.10s  2.05%  runtime.heapBitsForObject
     0.10s  2.05% 51.64%      0.10s  2.05%  runtime.memmove
     0.08s  1.64% 53.28%      0.08s  1.64%  runtime.futex
     0.06s  1.23% 54.51%      0.06s  1.23%  math/big.addMulVVW
     0.06s  1.23% 55.74%      0.06s  1.23%  runtime.readvarint
     0.05s  1.02% 56.76%      0.12s  2.46%  encoding/json.(*decodeState).scanWhile
     0.05s  1.02% 57.79%      0.05s  1.02%  path/filepath.Clean
     0.04s  0.82% 58.61%      0.04s  0.82%  runtime.casgstatus
     0.04s  0.82% 59.43%      0.04s  0.82%  runtime.epollwait
     0.04s  0.82% 60.25%      0.05s  1.02%  runtime.findfunc
     0.04s  0.82% 61.07%      0.29s  5.94%  runtime.gentraceback
     0.04s  0.82% 61.89%      0.04s  0.82%  runtime.heapBitsSetType
     0.04s  0.82% 62.70%      0.04s  0.82%  runtime.makemap
     0.04s  0.82% 63.52%      0.13s  2.66%  runtime.mapassign
     0.04s  0.82% 64.34%      0.04s  0.82%  runtime.unlock
     0.04s  0.82% 65.16%      0.04s  0.82%  syscall.RawSyscall
     0.03s  0.61% 65.78%      0.18s  3.69%  encoding/json.(*Decoder).readValue
     0.03s  0.61% 66.39%      0.03s  0.61%  runtime._ExternalCode
     0.03s  0.61% 67.01%      0.03s  0.61%  runtime.adjustpointers
     0.03s  0.61% 67.62%      0.03s  0.61%  runtime.aeshashbody
     0.03s  0.61% 68.24%      0.09s  1.84%  runtime.concatstrings
     0.03s  0.61% 68.85%      0.03s  0.61%  runtime.lock
     0.03s  0.61% 69.47%      0.13s  2.66%  runtime.pcvalue
     0.03s  0.61% 70.08%      0.03s  0.61%  runtime.stackpoolalloc
     0.03s  0.61% 70.70%      0.06s  1.23%  syscall.ByteSliceFromString
     0.02s  0.41% 71.11%      0.03s  0.61%  encoding/json.stateEndValue
     0.02s  0.41% 71.52%      0.58s 11.89%  os.(*File).readdir
     0.02s  0.41% 71.93%      0.16s  3.28%  runtime.(*mcentral).cacheSpan
     0.02s  0.41% 72.34%      0.04s  0.82%  runtime.(*mheap).allocSpanLocked
     0.02s  0.41% 72.75%      0.04s  0.82%  runtime.evacuate
     0.02s  0.41% 73.16%      0.11s  2.25%  runtime.findrunnable
     0.02s  0.41% 73.57%      0.56s 11.48%  runtime.gcDrain
     0.02s  0.41% 73.98%      0.07s  1.43%  runtime.growslice
     0.02s  0.41% 74.39%      0.23s  4.71%  runtime.makeslice
     0.02s  0.41% 74.80%      0.09s  1.84%  runtime.selectgoImpl
     0.02s  0.41% 75.20%      0.08s  1.64%  runtime.step
     0.02s  0.41% 75.61%      0.07s  1.43%  runtime.typedmemmove
     0.02s  0.41% 76.02%      0.04s  0.82%  syscall.ParseDirent
     0.01s   0.2% 76.23%      0.10s  2.05%  bufio.(*Scanner).Scan
     0.01s   0.2% 76.43%      0.10s  2.05%  encoding/json.(*decodeState).literal
     0.01s   0.2% 76.64%      0.32s  6.56%  encoding/json.(*decodeState).object
     0.01s   0.2% 76.84%      0.33s  6.76%  encoding/json.(*decodeState).value
