235.39MB of 248.27MB total (94.81%)
Dropped 1777 nodes (cum <= 1.24MB)
      flat  flat%   sum%        cum   cum%
  110.02MB 44.32% 44.32%   112.80MB 45.44%  runtime.mapassign
      56MB 22.56% 66.87%       56MB 22.56%  runtime.rawstringtmp
      27MB 10.88% 77.75%       27MB 10.88%  runtime.makemap
   26.45MB 10.65% 88.40%    26.45MB 10.65%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.27MB  2.12% 90.53%     5.27MB  2.12%  bytes.makeSlice
    3.03MB  1.22% 91.75%     3.03MB  1.22%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.78MB  1.12% 92.87%     2.78MB  1.12%  runtime.hashGrow
    2.28MB  0.92% 93.79%    57.28MB 23.07%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    1.55MB  0.62% 94.41%     1.55MB  0.62%  regexp.(*bitState).reset
       1MB   0.4% 94.81%   160.47MB 64.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 94.81%     3.19MB  1.29%  bytes.(*Buffer).ReadFrom
         0     0% 94.81%     1.54MB  0.62%  bytes.(*Buffer).WriteString
         0     0% 94.81%     2.08MB  0.84%  bytes.(*Buffer).grow
         0     0% 94.81%     1.58MB  0.64%  crypto/tls.(*Conn).Handshake
         0     0% 94.81%     1.58MB  0.64%  crypto/tls.(*Conn).clientHandshake
         0     0% 94.81%     1.58MB  0.64%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 94.81%     3.11MB  1.25%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 94.81%     3.53MB  1.42%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 94.81%     3.53MB  1.42%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 94.81%     9.57MB  3.85%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 94.81%     3.91MB  1.58%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 94.81%     1.56MB  0.63%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 94.81%     1.52MB  0.61%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 94.81%     1.52MB  0.61%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 94.81%     1.53MB  0.62%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 94.81%        2MB  0.81%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 94.81%     2.58MB  1.04%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 94.81%     1.56MB  0.63%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 94.81%    50.95MB 20.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 94.81%   158.97MB 64.03%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 94.81%   218.26MB 87.91%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 94.81%   158.97MB 64.03%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 94.81%   167.31MB 67.39%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 94.81%   218.76MB 88.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
