31.12s of 38.62s total (80.58%)
Dropped 1088 nodes (cum <= 0.19s)
      flat  flat%   sum%        cum   cum%
     8.23s 21.31% 21.31%      8.43s 21.83%  syscall.Syscall
     4.38s 11.34% 32.65%      4.38s 11.34%  math/big.addMulVVW
     3.56s  9.22% 41.87%      6.33s 16.39%  runtime.scanobject
     1.75s  4.53% 46.40%      1.76s  4.56%  runtime.greyobject
     1.25s  3.24% 49.64%      6.14s 15.90%  math/big.nat.montgomery
     1.22s  3.16% 52.80%      1.22s  3.16%  runtime.memclrNoHeapPointers
     1.11s  2.87% 55.67%      1.11s  2.87%  runtime.memmove
     1.05s  2.72% 58.39%      1.05s  2.72%  runtime.heapBitsForObject
     0.91s  2.36% 60.75%      0.91s  2.36%  syscall.Syscall6
     0.90s  2.33% 63.08%      0.90s  2.33%  runtime.futex
     0.84s  2.18% 65.25%      2.98s  7.72%  runtime.mallocgc
     0.52s  1.35% 66.60%      1.10s  2.85%  strings.FieldsFunc
     0.49s  1.27% 67.87%      0.50s  1.29%  runtime.heapBitsSetType
     0.45s  1.17% 69.03%      1.55s  4.01%  math/big.nat.divLarge
     0.40s  1.04% 70.07%      0.40s  1.04%  math/big.mulAddVWW
     0.35s  0.91% 70.97%      0.35s  0.91%  vendor/golang_org/x/crypto/curve25519.ladderstep
     0.24s  0.62% 71.60%      0.24s  0.62%  math/big.subVV
     0.23s   0.6% 72.19%      0.23s   0.6%  encoding/json.stateInString
     0.23s   0.6% 72.79%      0.89s  2.30%  runtime.mapassign
     0.20s  0.52% 73.30%      1.53s  3.96%  encoding/json.(*decodeState).object
     0.20s  0.52% 73.82%      0.20s  0.52%  runtime.aeshashbody
     0.17s  0.44% 74.26%      0.31s   0.8%  encoding/json.(*decodeState).scanWhile
     0.17s  0.44% 74.70%      0.85s  2.20%  runtime.gentraceback
     0.16s  0.41% 75.12%      0.41s  1.06%  runtime.pcvalue
     0.15s  0.39% 75.50%      0.50s  1.29%  encoding/json.(*Decoder).readValue
     0.14s  0.36% 75.87%      6.50s 16.83%  runtime.gcDrain
     0.13s  0.34% 76.20%      0.63s  1.63%  runtime.selectgoImpl
     0.11s  0.28% 76.49%      7.12s 18.44%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.10s  0.26% 76.75%      0.66s  1.71%  runtime.findrunnable
     0.09s  0.23% 76.98%      0.22s  0.57%  runtime.step
     0.08s  0.21% 77.19%      0.27s   0.7%  math/big.(*Int).Mul
     0.08s  0.21% 77.40%      0.21s  0.54%  runtime.adjustframe
     0.07s  0.18% 77.58%      1.55s  4.01%  math/big.(*Int).GCD
     0.07s  0.18% 77.76%      1.07s  2.77%  runtime.makeslice
     0.07s  0.18% 77.94%      0.93s  2.41%  runtime.newobject
     0.06s  0.16% 78.09%      6.22s 16.11%  math/big.nat.expNNMontgomery
     0.04s   0.1% 78.20%      0.95s  2.46%  math/big.(*Int).QuoRem
     0.04s   0.1% 78.30%      0.47s  1.22%  runtime.(*mcentral).cacheSpan
     0.04s   0.1% 78.40%      9.03s 23.38%  runtime.systemstack
     0.03s 0.078% 78.48%      0.29s  0.75%  encoding/json.(*decodeState).literalStore
     0.03s 0.078% 78.56%      0.30s  0.78%  math/big.basicMul
     0.03s 0.078% 78.64%      0.50s  1.29%  math/big.nat.mul
     0.03s 0.078% 78.72%      0.50s  1.29%  runtime.(*mcache).refill
     0.03s 0.078% 78.79%      0.86s  2.23%  runtime.schedule
     0.02s 0.052% 78.85%      6.43s 16.65%  bufio.(*Scanner).Scan
     0.02s 0.052% 78.90%      0.25s  0.65%  crypto/tls.(*Conn).Write
     0.02s 0.052% 78.95%      0.26s  0.67%  crypto/tls.(*block).readFromUntil
     0.02s 0.052% 79.00%      0.90s  2.33%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.02s 0.052% 79.05%      0.33s  0.85%  runtime.funcspdelta
     0.02s 0.052% 79.10%      0.42s  1.09%  runtime.growslice
     0.02s 0.052% 79.16%      0.24s  0.62%  runtime.notesleep
     0.02s 0.052% 79.21%      0.59s  1.53%  runtime.notewakeup
     0.02s 0.052% 79.26%      0.33s  0.85%  runtime.rawstringtmp
     0.02s 0.052% 79.31%      0.49s  1.27%  runtime.wakep
     0.02s 0.052% 79.36%      0.37s  0.96%  vendor/golang_org/x/crypto/curve25519.mladder
     0.01s 0.026% 79.39%      0.33s  0.85%  bufio.(*Reader).Read
     0.01s 0.026% 79.41%      0.23s   0.6%  bufio.(*Reader).fill
     0.01s 0.026% 79.44%      0.20s  0.52%  bytes.(*Buffer).ReadFrom
     0.01s 0.026% 79.47%      0.25s  0.65%  crypto/tls.(*Conn).Read
     0.01s 0.026% 79.49%      0.31s   0.8%  crypto/tls.(*Conn).readRecord
     0.01s 0.026% 79.52%      9.32s 24.13%  crypto/tls.(*serverHandshakeState).doFullHandshake
     0.01s 0.026% 79.54%      0.32s  0.83%  crypto/x509.(*Certificate).Verify
     0.01s 0.026% 79.57%      0.31s   0.8%  crypto/x509.(*Certificate).buildChains
     0.01s 0.026% 79.60%      0.21s  0.54%  encoding/binary.Read
     0.01s 0.026% 79.62%      0.55s  1.42%  encoding/binary.Write
     0.01s 0.026% 79.65%      0.43s  1.11%  encoding/json.(*decodeState).literal
     0.01s 0.026% 79.67%      1.56s  4.04%  encoding/json.(*decodeState).value
     0.01s 0.026% 79.70%      0.27s   0.7%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
     0.01s 0.026% 79.73%      0.36s  0.93%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).Serve
     0.01s 0.026% 79.75%      8.83s 22.86%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
     0.01s 0.026% 79.78%     10.15s 26.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
     0.01s 0.026% 79.80%      2.12s  5.49%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).processUnaryRPC
