48.61s of 58.43s total (83.19%)
Dropped 1140 nodes (cum <= 0.29s)
      flat  flat%   sum%        cum   cum%
    10.26s 17.56% 17.56%     10.51s 17.99%  syscall.Syscall
     6.46s 11.06% 28.62%     12.15s 20.79%  runtime.scanobject
     4.13s  7.07% 35.68%      4.13s  7.07%  math/big.addMulVVW
     3.48s  5.96% 41.64%      3.51s  6.01%  runtime.greyobject
     3.05s  5.22% 46.86%      3.09s  5.29%  syscall.Syscall6
     2.29s  3.92% 50.78%      2.29s  3.92%  runtime.memclrNoHeapPointers
     2.23s  3.82% 54.60%      2.23s  3.82%  runtime.heapBitsForObject
     1.80s  3.08% 57.68%      3.64s  6.23%  strings.FieldsFunc
     1.51s  2.58% 60.26%      1.51s  2.58%  runtime.memmove
     1.45s  2.48% 62.74%      5.92s 10.13%  runtime.mallocgc
     1.25s  2.14% 64.88%      1.26s  2.16%  runtime.heapBitsSetType
     1.21s  2.07% 66.95%      6.06s 10.37%  math/big.nat.montgomery
     1.13s  1.93% 68.89%      1.13s  1.93%  runtime.futex
     0.73s  1.25% 70.14%      2.53s  4.33%  runtime.mapassign
     0.53s  0.91% 71.04%      0.53s  0.91%  runtime.aeshashbody
     0.48s  0.82% 71.86%      1.45s  2.48%  math/big.nat.divLarge
     0.45s  0.77% 72.63%      0.45s  0.77%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.42s  0.72% 73.35%      0.64s  1.10%  runtime.mapaccess2
     0.37s  0.63% 73.99%      0.37s  0.63%  math/big.mulAddVWW
     0.32s  0.55% 74.53%      0.35s   0.6%  runtime.lock
     0.32s  0.55% 75.08%      0.32s  0.55%  syscall.RawSyscall6
     0.30s  0.51% 75.59%      0.30s  0.51%  encoding/json.stateInString
     0.28s  0.48% 76.07%      0.51s  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.28s  0.48% 76.55%     12.69s 21.72%  runtime.gcDrain
