314.08MB of 326.51MB total (96.19%)
Dropped 1834 nodes (cum <= 1.63MB)
      flat  flat%   sum%        cum   cum%
  155.53MB 47.63% 47.63%   158.31MB 48.49%  runtime.mapassign
   72.50MB 22.21% 69.84%    72.50MB 22.21%  runtime.rawstringtmp
   40.50MB 12.40% 82.24%    40.50MB 12.40%  runtime.makemap
   33.47MB 10.25% 92.49%    33.47MB 10.25%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    5.27MB  1.61% 94.11%     5.27MB  1.61%  bytes.makeSlice
    3.03MB  0.93% 95.04%     3.03MB  0.93%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.78MB  0.85% 95.89%     2.78MB  0.85%  runtime.hashGrow
       1MB  0.31% 96.19%   226.50MB 69.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 96.19%     3.19MB  0.98%  bytes.(*Buffer).ReadFrom
         0     0% 96.19%     2.08MB  0.64%  bytes.(*Buffer).grow
         0     0% 96.19%     3.11MB  0.95%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 96.19%     3.53MB  1.08%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 96.19%     3.53MB  1.08%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 96.19%     9.57MB  2.93%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 96.19%     3.91MB  1.20%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 96.19%        2MB  0.61%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 96.19%     2.58MB  0.79%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 96.19%    35.47MB 10.86%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 96.19%   225.50MB 69.06%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 96.19%      298MB 91.27%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 96.19%   225.50MB 69.06%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 96.19%   262.53MB 80.41%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 96.19%   298.51MB 91.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 96.19%   298.51MB 91.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 96.19%   298.51MB 91.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 96.19%    71.50MB 21.90%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 96.19%    71.50MB 21.90%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 96.19%    71.50MB 21.90%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
         0     0% 96.19%    71.50MB 21.90%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getStats
         0     0% 96.19%     2.53MB  0.77%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0% 96.19%     2.53MB  0.77%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).WithLabelValues
         0     0% 96.19%     2.53MB  0.77%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).getOrCreateMetricWithLabelValues
         0     0% 96.19%     2.53MB  0.77%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*SummaryVec).WithLabelValues
         0     0% 96.19%     3.03MB  0.93%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*summary).newStream
         0     0% 96.19%     2.53MB  0.77%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummaryVec.func1
         0     0% 96.19%     3.03MB  0.93%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 96.19%     2.54MB  0.78%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kube-proxy/app.init
         0     0% 96.19%     1.80MB  0.55%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kubelet/app.init
         0     0% 96.19%     3.19MB  0.98%  io.Copy
         0     0% 96.19%     3.19MB  0.98%  io.copyBuffer
         0     0% 96.19%     9.57MB  2.93%  main.init
         0     0% 96.19%     3.53MB  1.08%  main.main
         0     0% 96.19%     2.04MB  0.62%  os/exec.(*Cmd).Start.func1
         0     0% 96.19%     2.04MB  0.62%  os/exec.(*Cmd).writerDescriptor.func1
         0     0% 96.19%   324.51MB 99.39%  runtime.goexit
         0     0% 96.19%    13.10MB  4.01%  runtime.main
         0     0% 96.19%    72.50MB 22.21%  runtime.slicebytetostring
