timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03
1505941345000,2.93,17.93,2.22,4.33
1505941445000,2.04,7.74,21.3,9.36
1505941545000,0.47,0.44,0.36,0.4
1505941645000,0.56,2.52,0.89,2.86
1505941745000,2.11,5.06,7.3,10.65
1505941845000,3.28,3.05,7.26,8.4
1505941945000,0.59,0.56,1.37,0.96
1505942045000,0.41,0.42,0.36,0.47
1505942145000,0.47,0.49,0.5,0.49
1505942245000,0.49,0.53,0.42,0.43
1505942345000,0.55,0.45,0.42,0.51
1505942445000,0.52,0.56,0.47,0.61
1505942545000,0.45,0.42,0.37,0.38
1505942645000,0.51,0.45,0.38,0.37
1505942745000,0.51,0.46,0.33,0.51
1505942845000,1.02,1.14,0.98,1.06
1505942945000,1.75,1.74,1.62,1.71
1505943045000,3.92,3.55,3.4,3.61
1505943145000,2.58,2.48,2.35,2.27
1505943245000,3.49,3.43,3.2,3.41
1505943345000,4.15,3.97,4.11,4.02
1505943445000,4.89,4.65,4.66,4.95
1505943545000,5.17,5.59,4.86,5.51
1505943645000,6.7,6.68,6.38,7.08
1505943745000,10.19,9.9,10.41,10.15
1505943845000,8.5,8.93,8.98,9.59
1505943945000,5.69,6.57,6.35,6.51
1505944045000,8.72,8.9,8.75,9.05
1505944145000,8.73,9.53,8.24,9.37
1505944245000,10.41,10.75,10.65,11.23
1505944345000,10.24,10.97,10.59,10.18
1505944445000,11.62,11.44,10.95,12.39
1505944545000,10.57,11.13,10.64,10.03
1505944645000,14.54,14.45,13.53,13.64
1505944745000,15.33,15.92,15.15,15.43
1505944845000,17.76,18.27,17.62,18.46
1505944945000,13.94,13.74,12.61,14.63
1505945045000,12.89,14.27,13.44,13.26
1505945145000,14.7,15.16,14.32,14.11
1505945245000,14.01,15.56,13.08,15.13
1505945345000,16.21,16.01,15.8,15.63
1505945445000,14.59,16.36,16.29,15.69
1505945545000,17.35,20.88,16.89,15.6
1505945645000,17.26,18.82,17.35,19.43
1505945745000,18.1,20.03,16.81,17.16
1505945845000,20.64,20.49,20.5,20.47
1505945945000,19.1,18.4,18.14,18.85
1505946045000,25.3,25.34,24.19,24.1
1505946145000,22.94,25.27,24.31,22.92
1505946245000,27.04,23.61,24.28,23.67
1505946345000,17.93,19.28,17.83,19.13
1505946445000,18.81,18.9,19.73,19.94
1505946545000,22.25,22.85,23.24,22.17
1505946645000,22.38,22.28,23.06,22.69
1505946745000,22.66,22.31,22.72,22.23
1505946845000,23.16,22.47,23.25,23.35
1505946945000,21.71,22.63,21.65,21.01
1505947045000,21.1,22.68,23.01,23.22
1505947145000,24.47,22.33,22.46,25.28
1505947245000,26.82,24.57,24.92,23.39
1505947345000,29.32,32.14,28.64,29.12
1505947445000,26.75,27.25,25.95,26.64
1505947545000,29.66,27.32,27.8,28.88
1505947645000,28.64,29.64,28.66,31.73
1505947745000,29.84,30.47,28.69,30.86
1505947845000,34.31,35.26,33.85,34.72
1505947945000,34.38,31.36,34.64,38.39
1505948045000,26.42,28.37,26.89,27.86
1505948145000,32.06,31.57,31.08,32.18
1505948245000,23.21,23.17,24.59,24.83
1505948345000,21.85,22.69,23.99,23.68
