timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,7.22,7.22
1505941445000,0.00,0.00,12.64,12.64
1505941545000,0.00,0.00,0.09,0.09
1505941645000,0.00,0.00,3.39,3.39
1505941745000,0.00,0.00,27.99,27.99
1505941845000,0.00,0.00,31.20,31.19
1505941945000,0.00,0.00,7.67,7.67
1505942045000,0.00,0.00,0.16,0.16
1505942145000,0.00,0.00,0.02,0.02
1505942245000,0.00,0.00,0.04,0.04
1505942345000,0.00,0.00,0.00,0.00
1505942445000,0.00,0.00,0.03,0.03
1505942545000,0.00,0.00,0.03,0.03
1505942645000,0.00,0.00,0.02,0.02
1505942745000,0.00,0.00,0.01,0.01
1505942845000,0.00,0.00,1.13,1.15
1505942945000,0.00,0.00,1.57,1.60
1505943045000,0.00,0.00,4.09,4.17
1505943145000,0.00,0.00,1.55,1.58
1505943245000,0.00,0.00,2.54,2.59
1505943345000,0.00,0.00,2.60,2.66
1505943445000,0.00,0.00,3.59,3.65
1505943545000,0.00,0.00,3.10,3.16
1505943645000,0.00,0.00,3.06,3.13
1505943745000,0.00,0.00,4.64,4.72
1505943845000,0.00,0.00,4.12,4.20
1505943945000,0.00,0.00,1.53,1.56
1505944045000,0.00,0.00,3.58,3.65
1505944145000,0.00,0.00,3.01,3.06
1505944245000,0.00,0.00,3.04,3.10
1505944345000,0.00,0.00,2.07,2.11
1505944445000,0.00,0.00,3.61,3.68
1505944545000,0.00,0.00,1.56,1.59
1505944645000,0.00,0.00,4.63,4.72
1505944745000,0.00,0.00,3.94,4.02
1505944845000,0.00,0.00,3.75,3.82
1505944945000,0.00,0.00,2.04,2.08
1505945045000,0.00,0.00,1.56,1.59
1505945145000,0.00,0.00,2.05,2.09
1505945245000,0.00,0.00,1.54,1.58
1505945345000,0.00,0.00,3.11,3.16
1505945445000,0.00,0.00,1.03,1.05
1505945545000,0.00,0.00,2.04,2.08
1505945645000,0.00,0.00,1.53,1.56
1505945745000,0.00,0.00,1.54,1.57
1505945845000,0.00,0.00,3.06,3.12
1505945945000,0.00,0.00,1.53,1.56
1505946045000,0.00,0.00,5.14,5.24
1505946145000,0.00,0.00,1.55,1.58
1505946245000,0.00,0.00,3.05,3.11
1505946345000,0.00,0.00,2.57,2.62
1505946445000,0.00,0.00,1.07,1.09
1505946545000,0.00,0.00,1.00,1.02
1505946645000,0.00,0.00,1.55,1.58
1505946745000,0.00,0.00,1.00,1.02
1505946845000,0.00,0.00,2.04,2.08
1505946945000,0.00,0.00,0.53,0.54
1505947045000,0.00,0.00,1.50,1.54
1505947145000,0.00,0.00,2.04,2.07
1505947245000,0.00,0.00,1.01,1.04
1505947345000,0.00,0.00,2.05,2.09
1505947445000,0.00,0.00,2.05,2.08
1505947545000,0.00,0.00,1.50,1.53
1505947645000,0.00,0.00,3.04,3.10
1505947745000,0.00,0.00,1.53,1.56
1505947845000,0.00,0.00,3.56,3.63
1505947945000,0.00,0.00,2.05,2.09
1505948045000,0.00,0.00,1.02,1.04
1505948145000,0.00,0.00,3.00,3.06
1505948245000,0.00,0.00,1.00,1.02
1505948345000,0.00,0.00,0.00,0.00
