timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1505941345000,0.00,181.57,0.00,168.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.57,0.00,0.00,0.00,0.00
1505941445000,0.00,209.33,0.00,192.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209.33,0.00,0.00,0.00,0.00
1505941545000,0.00,10.67,0.00,10.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.67,0.00,0.00,0.00,0.00
1505941645000,0.00,19.18,0.00,19.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.18,0.00,0.00,0.00,0.00
1505941745000,0.00,75.66,0.00,77.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.66,0.00,0.00,0.00,0.00
1505941845000,0.00,67.82,0.00,69.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.82,0.00,0.00,0.00,0.00
1505941945000,0.00,13.59,0.00,13.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.59,0.00,0.00,0.00,0.00
1505942045000,0.00,3.53,0.00,3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.53,0.00,0.00,0.00,0.00
1505942145000,0.00,3.32,0.00,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,0.00,0.00,0.00,0.00
1505942245000,0.00,3.54,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54,0.00,0.00,0.00,0.00
1505942345000,0.00,3.55,0.00,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.55,0.00,0.00,0.00,0.00
1505942445000,0.00,3.72,0.00,3.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.72,0.00,0.00,0.00,0.00
1505942545000,0.00,3.30,0.00,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00
1505942645000,0.00,3.33,0.00,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00
1505942745000,0.00,3.37,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.37,0.00,0.00,0.00,0.00
1505942845000,0.00,10.62,0.00,11.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.62,0.00,0.00,0.00,0.00
1505942945000,0.00,15.37,0.00,16.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.37,0.00,0.00,0.00,0.00
1505943045000,0.00,37.49,0.00,40.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.49,0.00,0.00,0.00,0.00
1505943145000,0.00,24.04,0.00,25.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.04,0.00,0.00,0.00,0.00
1505943245000,0.00,35.19,0.00,37.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.19,0.00,0.00,0.00,0.00
1505943345000,0.00,43.04,0.00,45.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.04,0.00,0.00,0.00,0.00
1505943445000,0.00,52.93,0.00,55.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.93,0.00,0.00,0.00,0.00
1505943545000,0.00,57.60,0.00,59.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.60,0.00,0.00,0.00,0.00
1505943645000,0.00,74.37,0.00,75.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.37,0.00,0.00,0.00,0.00
1505943745000,0.00,95.10,0.00,95.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.10,0.00,0.00,0.00,0.00
1505943845000,0.00,94.69,0.00,94.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.69,0.00,0.00,0.00,0.00
1505943945000,0.00,62.60,0.00,64.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.60,0.00,0.00,0.00,0.00
1505944045000,0.00,97.83,0.00,100.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.83,0.00,0.00,0.00,0.00
1505944145000,0.00,95.57,0.00,98.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.57,0.00,0.00,0.00,0.00
1505944245000,0.00,100.72,0.00,103.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.72,0.00,0.00,0.00,0.00
1505944345000,0.00,98.12,0.00,100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.12,0.00,0.00,0.00,0.00
1505944445000,0.00,114.33,0.00,116.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.33,0.00,0.00,0.00,0.00
1505944545000,0.00,109.10,0.00,110.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.10,0.00,0.00,0.00,0.00
1505944645000,0.00,165.12,0.00,167.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.12,0.00,0.00,0.00,0.00
