7.77s of 10.08s total (77.08%)
Dropped 604 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     1.30s 12.90% 12.90%      1.40s 13.89%  syscall.Syscall
     0.95s  9.42% 22.32%      1.46s 14.48%  runtime.scanobject
     0.39s  3.87% 26.19%         1s  9.92%  runtime.mallocgc
     0.39s  3.87% 30.06%      0.39s  3.87%  runtime.memmove
     0.39s  3.87% 33.93%      0.39s  3.87%  syscall.Syscall6
     0.34s  3.37% 37.30%      0.34s  3.37%  runtime.greyobject
     0.28s  2.78% 40.08%      0.28s  2.78%  runtime.aeshashbody
     0.25s  2.48% 42.56%      0.25s  2.48%  runtime.memclrNoHeapPointers
     0.24s  2.38% 44.94%      0.24s  2.38%  runtime.futex
     0.19s  1.88% 46.83%      0.43s  4.27%  bytes.(*Buffer).WriteString
     0.19s  1.88% 48.71%      0.72s  7.14%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.19s  1.88% 50.60%      0.19s  1.88%  runtime.heapBitsForObject
     0.16s  1.59% 52.18%      0.46s  4.56%  runtime.mapassign
     0.14s  1.39% 53.57%      0.23s  2.28%  encoding/json.(*decodeState).scanWhile
     0.13s  1.29% 54.86%      0.14s  1.39%  bytes.(*Buffer).grow
     0.11s  1.09% 55.95%      0.11s  1.09%  encoding/json.stateInString
     0.11s  1.09% 57.04%      2.15s 21.33%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.11s  1.09% 58.13%      0.20s  1.98%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.10s  0.99% 59.13%      0.10s  0.99%  runtime.heapBitsSetType
     0.10s  0.99% 60.12%      0.28s  2.78%  runtime.pcvalue
     0.10s  0.99% 61.11%      0.10s  0.99%  runtime.readvarint
     0.09s  0.89% 62.00%      0.24s  2.38%  encoding/json.(*Decoder).readValue
     0.08s  0.79% 62.80%      0.74s  7.34%  encoding/json.(*decodeState).object
     0.08s  0.79% 63.59%      0.08s  0.79%  runtime.findfunc
     0.08s  0.79% 64.38%      1.50s 14.88%  runtime.gcDrain
     0.08s  0.79% 65.18%      0.16s  1.59%  runtime.mapiternext
     0.08s  0.79% 65.97%      0.18s  1.79%  runtime.step
     0.07s  0.69% 66.67%      0.15s  1.49%  runtime.evacuate
