7.90s of 9.86s total (80.12%)
Dropped 625 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     1.35s 13.69% 13.69%      1.41s 14.30%  syscall.Syscall
     1.01s 10.24% 23.94%      1.39s 14.10%  runtime.scanobject
     0.46s  4.67% 28.60%      0.46s  4.67%  runtime.memmove
     0.36s  3.65% 32.25%      0.36s  3.65%  runtime.memclrNoHeapPointers
     0.36s  3.65% 35.90%      0.36s  3.65%  syscall.Syscall6
     0.33s  3.35% 39.25%      0.33s  3.35%  runtime.futex
     0.28s  2.84% 42.09%      1.06s 10.75%  runtime.mallocgc
     0.21s  2.13% 44.22%      0.21s  2.13%  runtime.greyobject
     0.21s  2.13% 46.35%      0.21s  2.13%  runtime.heapBitsForObject
     0.18s  1.83% 48.17%      0.45s  4.56%  bytes.(*Buffer).WriteString
     0.18s  1.83% 50.00%      1.98s 20.08%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.17s  1.72% 51.72%      0.52s  5.27%  runtime.mapassign
     0.16s  1.62% 53.35%      0.21s  2.13%  encoding/json.(*decodeState).scanWhile
     0.14s  1.42% 54.77%      0.14s  1.42%  runtime.aeshashbody
     0.12s  1.22% 55.98%      0.12s  1.22%  bytes.(*Buffer).grow
     0.12s  1.22% 57.20%      0.12s  1.22%  runtime.heapBitsSetType
     0.10s  1.01% 58.22%      0.67s  6.80%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.09s  0.91% 59.13%      0.09s  0.91%  encoding/json.stateInString
     0.09s  0.91% 60.04%      0.16s  1.62%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.09s  0.91% 60.95%      0.09s  0.91%  runtime.readvarint
     0.08s  0.81% 61.76%      0.13s  1.32%  bytes.(*Buffer).WriteByte
     0.08s  0.81% 62.58%      0.25s  2.54%  encoding/json.(*Decoder).readValue
     0.07s  0.71% 63.29%      0.07s  0.71%  reflect.Value.Field
     0.07s  0.71% 64.00%      0.07s  0.71%  runtime.duffcopy
     0.07s  0.71% 64.71%      0.09s  0.91%  runtime.findfunc
     0.06s  0.61% 65.31%      0.07s  0.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*endpointsInfo).endpointChain
     0.06s  0.61% 65.92%      0.06s  0.61%  runtime.indexbytebody
     0.06s  0.61% 66.53%      0.06s  0.61%  runtime.memeqbody
     0.06s  0.61% 67.14%      0.21s  2.13%  runtime.pcvalue
     0.06s  0.61% 67.75%      0.34s  3.45%  runtime.slicebytetostring
     0.05s  0.51% 68.26%      0.05s  0.51%  runtime._ExternalCode
     0.05s  0.51% 68.76%      0.06s  0.61%  runtime.deferreturn
     0.05s  0.51% 69.27%      0.12s  1.22%  runtime.evacuate
     0.05s  0.51% 69.78%      0.41s  4.16%  runtime.gentraceback
     0.05s  0.51% 70.28%      0.06s  0.61%  runtime.lock
     0.05s  0.51% 70.79%      0.05s  0.51%  runtime.mapiternext
     0.05s  0.51% 71.30%      0.14s  1.42%  runtime.step
     0.05s  0.51% 71.81%      0.05s  0.51%  strings.Map
     0.04s  0.41% 72.21%      0.71s  7.20%  encoding/json.(*decodeState).object
     0.04s  0.41% 72.62%      0.34s  3.45%  runtime.(*mcentral).cacheSpan
     0.04s  0.41% 73.02%      0.11s  1.12%  runtime.mapaccess1
     0.03s   0.3% 73.33%      0.10s  1.01%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.03s   0.3% 73.63%      0.28s  2.84%  runtime.findrunnable
     0.03s   0.3% 73.94%      1.36s 13.79%  runtime.gcDrain
     0.03s   0.3% 74.24%      0.29s  2.94%  runtime.newobject
     0.02s   0.2% 74.44%      0.05s  0.51%  encoding/json.(*decodeState).indirect
     0.02s   0.2% 74.65%      0.07s  0.71%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*Stream).Header
     0.02s   0.2% 74.85%         1s 10.14%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/libdocker.(*instrumentedInterface).ListContainers
     0.02s   0.2% 75.05%      0.14s  1.42%  runtime.growWork
     0.02s   0.2% 75.25%      0.07s  0.71%  runtime.mapaccess2_faststr
     0.02s   0.2% 75.46%      0.35s  3.55%  runtime.mcall
     0.02s   0.2% 75.66%      0.30s  3.04%  runtime.rawstringtmp
     0.02s   0.2% 75.86%      0.27s  2.74%  runtime.selectgoImpl
     0.02s   0.2% 76.06%      0.14s  1.42%  runtime.typedmemmove
     0.02s   0.2% 76.27%      0.08s  0.81%  strings.Index
     0.02s   0.2% 76.47%      0.06s  0.61%  sync.(*Mutex).Lock
     0.02s   0.2% 76.67%      0.08s  0.81%  syscall.ByteSliceFromString
     0.01s   0.1% 76.77%      0.13s  1.32%  bufio.(*Writer).Flush
     0.01s   0.1% 76.88%      0.12s  1.22%  fmt.Sprintf
     0.01s   0.1% 76.98%      0.98s  9.94%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
     0.01s   0.1% 77.08%      0.50s  5.07%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
     0.01s   0.1% 77.18%      0.07s  0.71%  github.com/openshift/origin/vendor/github.com/google/cadvisor/info/v1.(*ContainerStats).StatsEq
     0.01s   0.1% 77.28%      0.10s  1.01%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.01s   0.1% 77.38%      0.35s  3.55%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getMemoryData
     0.01s   0.1% 77.48%      0.08s  0.81%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).ReadFrame
     0.01s   0.1% 77.59%      0.07s  0.71%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Server).Write
     0.01s   0.1% 77.69%      0.09s  0.91%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.01s   0.1% 77.79%      0.10s  1.01%  net.(*Dialer).DialContext
     0.01s   0.1% 77.89%      0.16s  1.62%  net/http.(*Client).send
     0.01s   0.1% 77.99%      0.06s  0.61%  net/http.ReadResponse
     0.01s   0.1% 78.09%      0.21s  2.13%  os.(*File).Read
     0.01s   0.1% 78.19%      0.20s  2.03%  os.(*File).read
     0.01s   0.1% 78.30%      0.39s  3.96%  os.OpenFile
     0.01s   0.1% 78.40%      0.39s  3.96%  runtime.(*mcache).nextFree
     0.01s   0.1% 78.50%      0.22s  2.23%  runtime.(*mheap).alloc
     0.01s   0.1% 78.60%      0.20s  2.03%  runtime.callers
     0.01s   0.1% 78.70%      0.15s  1.52%  runtime.concatstrings
