7.66s of 9.64s total (79.46%)
Dropped 627 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     1.56s 16.18% 16.18%      1.65s 17.12%  syscall.Syscall
     0.89s  9.23% 25.41%      1.36s 14.11%  runtime.scanobject
     0.39s  4.05% 29.46%      0.39s  4.05%  runtime.futex
     0.39s  4.05% 33.51%      0.39s  4.05%  runtime.memclrNoHeapPointers
     0.33s  3.42% 36.93%      0.34s  3.53%  syscall.Syscall6
     0.31s  3.22% 40.15%      1.10s 11.41%  runtime.mallocgc
     0.26s  2.70% 42.84%      0.26s  2.70%  runtime.memmove
     0.24s  2.49% 45.33%      0.24s  2.49%  runtime.greyobject
     0.24s  2.49% 47.82%      0.24s  2.49%  runtime.heapBitsForObject
     0.16s  1.66% 49.48%      0.48s  4.98%  runtime.mapassign
     0.13s  1.35% 50.83%      0.13s  1.35%  runtime.heapBitsSetType
     0.13s  1.35% 52.18%      0.13s  1.35%  runtime.readvarint
     0.11s  1.14% 53.32%      0.11s  1.14%  runtime.findfunc
     0.10s  1.04% 54.36%      0.16s  1.66%  runtime.evacuate
     0.09s  0.93% 55.29%      0.55s  5.71%  runtime.gentraceback
     0.07s  0.73% 56.02%      0.67s  6.95%  encoding/json.(*decodeState).object
     0.07s  0.73% 56.74%      0.07s  0.73%  encoding/json.stateInString
     0.07s  0.73% 57.47%      0.07s  0.73%  runtime.aeshashbody
     0.07s  0.73% 58.20%      0.07s  0.73%  runtime.mapiternext
     0.07s  0.73% 58.92%      0.07s  0.73%  syscall.RawSyscall
     0.06s  0.62% 59.54%      0.12s  1.24%  encoding/json.(*decodeState).scanWhile
     0.06s  0.62% 60.17%      0.06s  0.62%  encoding/json.unquoteBytes
     0.06s  0.62% 60.79%      0.06s  0.62%  reflect.Value.Field
     0.06s  0.62% 61.41%      0.06s  0.62%  runtime._ExternalCode
     0.06s  0.62% 62.03%      0.06s  0.62%  runtime.casgstatus
     0.06s  0.62% 62.66%      0.08s  0.83%  runtime.mapaccess1_faststr
     0.06s  0.62% 63.28%      0.36s  3.73%  runtime.selectgoImpl
     0.06s  0.62% 63.90%      0.19s  1.97%  runtime.step
     0.06s  0.62% 64.52%      0.12s  1.24%  runtime.sweepone
     0.05s  0.52% 65.04%      0.05s  0.52%  bytes.(*Buffer).grow
     0.05s  0.52% 65.56%      0.21s  2.18%  encoding/json.(*Decoder).readValue
     0.05s  0.52% 66.08%      0.05s  0.52%  runtime.deferreturn
     0.05s  0.52% 66.60%      0.39s  4.05%  runtime.newobject
     0.04s  0.41% 67.01%      0.84s  8.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.04s  0.41% 67.43%      0.18s  1.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.04s  0.41% 67.84%      0.24s  2.49%  runtime.findrunnable
     0.04s  0.41% 68.26%      0.26s  2.70%  runtime.pcvalue
     0.04s  0.41% 68.67%      0.19s  1.97%  runtime.rawstring
     0.04s  0.41% 69.09%      0.14s  1.45%  syscall.ByteSliceFromString
     0.03s  0.31% 69.40%      0.13s  1.35%  bytes.(*Buffer).WriteString
     0.03s  0.31% 69.71%      0.05s  0.52%  runtime.(*mheap).alloc_m
     0.03s  0.31% 70.02%      0.06s  0.62%  runtime.bulkBarrierPreWrite
     0.03s  0.31% 70.33%      0.11s  1.14%  runtime.notetsleep_internal
     0.03s  0.31% 70.64%      0.36s  3.73%  runtime.schedule
     0.02s  0.21% 70.85%      0.22s  2.28%  bytes.(*Buffer).ReadFrom
     0.02s  0.21% 71.06%      0.08s  0.83%  fmt.(*pp).doPrintf
     0.02s  0.21% 71.27%      0.19s  1.97%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.poller.func1.1
     0.02s  0.21% 71.47%      0.06s  0.62%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.02s  0.21% 71.68%      0.05s  0.52%  reflect.New
     0.02s  0.21% 71.89%      0.11s  1.14%  reflect.deepValueEqual
     0.02s  0.21% 72.10%      0.23s  2.39%  runtime.(*mcentral).cacheSpan
     0.02s  0.21% 72.30%      0.05s  0.52%  runtime.(*mspan).sweep
     0.02s  0.21% 72.51%      0.08s  0.83%  runtime.concatstrings
