6.05s of 7.76s total (77.96%)
Dropped 546 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
     1.36s 17.53% 17.53%      1.42s 18.30%  syscall.Syscall
     0.63s  8.12% 25.64%      0.95s 12.24%  runtime.scanobject
     0.52s  6.70% 32.35%      0.52s  6.70%  syscall.Syscall6
     0.34s  4.38% 36.73%      0.34s  4.38%  runtime.memclrNoHeapPointers
     0.23s  2.96% 39.69%      0.90s 11.60%  runtime.mallocgc
     0.22s  2.84% 42.53%      0.22s  2.84%  runtime.futex
     0.22s  2.84% 45.36%      0.22s  2.84%  runtime.greyobject
     0.17s  2.19% 47.55%      0.17s  2.19%  runtime.heapBitsForObject
     0.15s  1.93% 49.48%      0.15s  1.93%  encoding/json.stateInString
     0.12s  1.55% 51.03%      0.28s  3.61%  encoding/json.(*decodeState).scanWhile
     0.11s  1.42% 52.45%      0.11s  1.42%  runtime.memmove
     0.11s  1.42% 53.87%      0.11s  1.42%  runtime.readvarint
     0.10s  1.29% 55.15%      0.10s  1.29%  runtime.heapBitsSetType
     0.08s  1.03% 56.19%      0.36s  4.64%  runtime.gentraceback
     0.08s  1.03% 57.22%      0.28s  3.61%  runtime.mapassign
     0.08s  1.03% 58.25%      0.08s  1.03%  syscall.RawSyscall
     0.06s  0.77% 59.02%      0.06s  0.77%  runtime.aeshashbody
     0.06s  0.77% 59.79%      0.06s  0.77%  runtime.usleep
     0.05s  0.64% 60.44%      0.07s   0.9%  runtime.evacuate
     0.05s  0.64% 61.08%      0.30s  3.87%  runtime.newobject
     0.05s  0.64% 61.73%      0.10s  1.29%  syscall.ByteSliceFromString
     0.04s  0.52% 62.24%      0.21s  2.71%  encoding/json.(*Decoder).readValue
     0.04s  0.52% 62.76%      0.04s  0.52%  path/filepath.Clean
     0.04s  0.52% 63.27%      0.04s  0.52%  runtime._ExternalCode
     0.04s  0.52% 63.79%      0.04s  0.52%  runtime.casgstatus
     0.04s  0.52% 64.30%      0.04s  0.52%  runtime.epollwait
     0.04s  0.52% 64.82%      0.04s  0.52%  runtime.findfunc
     0.04s  0.52% 65.34%      0.04s  0.52%  runtime.growslice
     0.04s  0.52% 65.85%      0.04s  0.52%  runtime.memeqbody
     0.04s  0.52% 66.37%      0.18s  2.32%  runtime.pcvalue
     0.04s  0.52% 66.88%      0.04s  0.52%  runtime.unlock
     0.04s  0.52% 67.40%      0.11s  1.42%  strings.FieldsFunc
     0.03s  0.39% 67.78%      0.05s  0.64%  reflect.New
     0.03s  0.39% 68.17%         1s 12.89%  runtime.gcDrain
     0.03s  0.39% 68.56%      0.05s  0.64%  runtime.mapaccess1_faststr
     0.03s  0.39% 68.94%      0.27s  3.48%  runtime.schedule
     0.03s  0.39% 69.33%      1.91s 24.61%  runtime.systemstack
     0.02s  0.26% 69.59%      0.08s  1.03%  encoding/json.(*decodeState).indirect
     0.02s  0.26% 69.85%      0.62s  7.99%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
     0.02s  0.26% 70.10%      0.06s  0.77%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.02s  0.26% 70.36%      0.10s  1.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.02s  0.26% 70.62%      0.11s  1.42%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.02s  0.26% 70.88%      0.62s  7.99%  os.Lstat
     0.02s  0.26% 71.13%      0.25s  3.22%  runtime.(*mcentral).cacheSpan
     0.02s  0.26% 71.39%      0.07s   0.9%  runtime.(*mheap).alloc_m
     0.02s  0.26% 71.65%      0.04s  0.52%  runtime.(*mspan).sweep
     0.02s  0.26% 71.91%      0.08s  1.03%  runtime.adjustframe
     0.02s  0.26% 72.16%      0.04s  0.52%  runtime.exitsyscall
     0.02s  0.26% 72.42%      0.20s  2.58%  runtime.findrunnable
     0.02s  0.26% 72.68%      0.14s  1.80%  runtime.funcspdelta
     0.02s  0.26% 72.94%      0.05s  0.64%  runtime.mapaccess1
     0.02s  0.26% 73.20%      0.04s  0.52%  runtime.typedmemmove
     0.01s  0.13% 73.32%      0.19s  2.45%  bufio.(*Scanner).Scan
     0.01s  0.13% 73.45%      0.73s  9.41%  encoding/json.(*decodeState).array
     0.01s  0.13% 73.58%      0.09s  1.16%  encoding/json.(*decodeState).literalStore
     0.01s  0.13% 73.71%      0.71s  9.15%  encoding/json.(*decodeState).object
     0.01s  0.13% 73.84%      0.76s  9.79%  encoding/json.(*decodeState).value
     0.01s  0.13% 73.97%      0.10s  1.29%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
     0.01s  0.13% 74.10%      0.09s  1.16%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).nextHousekeeping
     0.01s  0.13% 74.23%      0.60s  7.73%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
     0.01s  0.13% 74.36%      0.08s  1.03%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamKeyValue
     0.01s  0.13% 74.48%      0.38s  4.90%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getMemoryData
     0.01s  0.13% 74.61%      0.04s  0.52%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*framer).flushWrite
     0.01s  0.13% 74.74%      0.04s  0.52%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.01s  0.13% 74.87%      0.04s  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.(*dockerFilter).AddLabel
     0.01s  0.13% 75.00%      0.13s  1.68%  net/http.(*persistConn).readLoop
     0.01s  0.13% 75.13%      0.04s  0.52%  net/http.ReadResponse
     0.01s  0.13% 75.26%      0.04s  0.52%  os.NewFile
     0.01s  0.13% 75.39%      0.61s  7.86%  os.OpenFile
     0.01s  0.13% 75.52%      0.04s  0.52%  reflect.unsafe_New
     0.01s  0.13% 75.64%      0.34s  4.38%  runtime.(*mcache).nextFree
     0.01s  0.13% 75.77%      0.04s  0.52%  runtime.(*mheap).allocSpanLocked
     0.01s  0.13% 75.90%      0.06s  0.77%  runtime.chansend
     0.01s  0.13% 76.03%      0.05s  0.64%  runtime.concatstrings
     0.01s  0.13% 76.16%      0.04s  0.52%  runtime.deferproc
     0.01s  0.13% 76.29%      0.47s  6.06%  runtime.makeslice
     0.01s  0.13% 76.42%      0.15s  1.93%  runtime.morestack
     0.01s  0.13% 76.55%      0.09s  1.16%  runtime.newarray
     0.01s  0.13% 76.68%      0.20s  2.58%  runtime.park_m
     0.01s  0.13% 76.80%      0.20s  2.58%  runtime.saveblockevent
     0.01s  0.13% 76.93%      0.07s   0.9%  runtime.scanblock
     0.01s  0.13% 77.06%      0.20s  2.58%  runtime.selectgo
     0.01s  0.13% 77.19%      0.12s  1.55%  runtime.startm
     0.01s  0.13% 77.32%      0.12s  1.55%  runtime.step
     0.01s  0.13% 77.45%      0.06s  0.77%  runtime.sweepone
     0.01s  0.13% 77.58%      0.10s  1.29%  runtime.sysmon
     0.01s  0.13% 77.71%      0.11s  1.42%  syscall.BytePtrFromString
     0.01s  0.13% 77.84%      0.28s  3.61%  syscall.Read
     0.01s  0.13% 77.96%      0.35s  4.51%  syscall.Stat
         0     0% 77.96%      0.05s  0.64%  bufio.(*Reader).Read
         0     0% 77.96%      0.08s  1.03%  bufio.(*Writer).Flush
