7.56s of 9.37s total (80.68%)
Dropped 547 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     1.39s 14.83% 14.83%      1.50s 16.01%  syscall.Syscall
     0.82s  8.75% 23.59%      1.25s 13.34%  runtime.scanobject
     0.41s  4.38% 27.96%      0.42s  4.48%  syscall.Syscall6
     0.36s  3.84% 31.80%      0.36s  3.84%  runtime.memclrNoHeapPointers
     0.29s  3.09% 34.90%      1.03s 10.99%  runtime.mallocgc
     0.28s  2.99% 37.89%      0.28s  2.99%  runtime.memmove
     0.27s  2.88% 40.77%      0.27s  2.88%  runtime.greyobject
     0.19s  2.03% 42.80%      0.19s  2.03%  runtime.heapBitsForObject
     0.19s  2.03% 44.82%      0.48s  5.12%  runtime.mapassign
     0.18s  1.92% 46.74%      0.18s  1.92%  runtime.futex
     0.17s  1.81% 48.56%      0.17s  1.81%  encoding/json.stateInString
     0.15s  1.60% 50.16%      0.15s  1.60%  runtime.memeqbody
     0.14s  1.49% 51.65%      0.14s  1.49%  runtime.aeshashbody
     0.13s  1.39% 53.04%      0.54s  5.76%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.12s  1.28% 54.32%      0.27s  2.88%  bytes.(*Buffer).WriteString
     0.12s  1.28% 55.60%      0.12s  1.28%  runtime.heapBitsSetType
     0.09s  0.96% 56.56%      0.14s  1.49%  bytes.(*Buffer).WriteByte
     0.09s  0.96% 57.52%      0.09s  0.96%  bytes.(*Buffer).grow
     0.09s  0.96% 58.48%      0.22s  2.35%  runtime.pcvalue
     0.08s  0.85% 59.34%      0.08s  0.85%  encoding/json.unquoteBytes
     0.08s  0.85% 60.19%      1.70s 18.14%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.08s  0.85% 61.05%      0.13s  1.39%  runtime.evacuate
     0.07s  0.75% 61.79%      0.25s  2.67%  encoding/json.(*Decoder).readValue
     0.06s  0.64% 62.43%      0.07s  0.75%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*endpointsInfo).endpointChain
     0.06s  0.64% 63.07%      0.12s  1.28%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.getLocalIPs
     0.06s  0.64% 63.71%      0.06s  0.64%  runtime._ExternalCode
     0.06s  0.64% 64.35%      0.13s  1.39%  runtime.adjustframe
     0.06s  0.64% 64.99%      0.06s  0.64%  runtime.duffcopy
     0.06s  0.64% 65.64%      0.11s  1.17%  runtime.step
     0.05s  0.53% 66.17%      0.18s  1.92%  encoding/json.(*decodeState).scanWhile
     0.05s  0.53% 66.70%      0.16s  1.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.05s  0.53% 67.24%      0.05s  0.53%  runtime.(*mSpanList).remove
     0.05s  0.53% 67.77%      0.06s  0.64%  runtime.findfunc
     0.05s  0.53% 68.30%      0.05s  0.53%  runtime.mapiternext
     0.05s  0.53% 68.84%      0.28s  2.99%  runtime.newobject
     0.05s  0.53% 69.37%      0.05s  0.53%  runtime.readvarint
     0.05s  0.53% 69.90%      0.05s  0.53%  runtime.unlock
     0.05s  0.53% 70.44%      0.05s  0.53%  syscall.RawSyscall
     0.04s  0.43% 70.86%      0.68s  7.26%  encoding/json.(*decodeState).object
     0.04s  0.43% 71.29%      0.05s  0.53%  path.Clean
     0.04s  0.43% 71.72%      0.05s  0.53%  path/filepath.Clean
     0.04s  0.43% 72.15%      1.24s 13.23%  runtime.gcDrain
     0.04s  0.43% 72.57%      0.34s  3.63%  runtime.rawstringtmp
     0.04s  0.43% 73.00%      0.07s  0.75%  syscall.ParseDirent
     0.03s  0.32% 73.32%      0.11s  1.17%  runtime.concatstrings
     0.03s  0.32% 73.64%      0.39s  4.16%  runtime.gentraceback
     0.03s  0.32% 73.96%      0.13s  1.39%  runtime.mapaccess2_faststr
     0.03s  0.32% 74.28%      0.07s  0.75%  type..eq.github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy.ServicePortName
     0.02s  0.21% 74.49%      0.05s  0.53%  fmt.(*pp).doPrintf
     0.02s  0.21% 74.71%      0.06s  0.64%  reflect.MakeSlice
     0.02s  0.21% 74.92%      0.09s  0.96%  reflect.unsafe_New
     0.02s  0.21% 75.13%      0.05s  0.53%  runtime.bulkBarrierPreWrite
     0.02s  0.21% 75.35%      0.06s  0.64%  runtime.exitsyscall
     0.02s  0.21% 75.56%      0.14s  1.49%  runtime.findrunnable
     0.02s  0.21% 75.77%      0.14s  1.49%  runtime.newarray
     0.02s  0.21% 75.99%      0.30s  3.20%  runtime.rawstring
     0.02s  0.21% 76.20%      0.18s  1.92%  runtime.schedule
     0.02s  0.21% 76.41%      0.18s  1.92%  runtime.selectgoImpl
     0.02s  0.21% 76.63%      0.38s  4.06%  runtime.slicebytetostring
