6.32s of 7.73s total (81.76%)
Dropped 550 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
     1.17s 15.14% 15.14%      1.24s 16.04%  syscall.Syscall
     0.82s 10.61% 25.74%      1.11s 14.36%  runtime.scanobject
     0.41s  5.30% 31.05%      0.42s  5.43%  syscall.Syscall6
     0.39s  5.05% 36.09%      0.39s  5.05%  runtime.memclrNoHeapPointers
     0.27s  3.49% 39.59%      0.95s 12.29%  runtime.mallocgc
     0.15s  1.94% 41.53%      0.15s  1.94%  encoding/json.stateInString
     0.15s  1.94% 43.47%      0.15s  1.94%  runtime.heapBitsForObject
     0.15s  1.94% 45.41%      0.15s  1.94%  runtime.memmove
     0.14s  1.81% 47.22%      0.35s  4.53%  encoding/json.(*Decoder).readValue
     0.14s  1.81% 49.03%      0.14s  1.81%  runtime.greyobject
     0.12s  1.55% 50.58%      0.12s  1.55%  runtime.futex
     0.11s  1.42% 52.01%      0.11s  1.42%  encoding/json.unquoteBytes
     0.10s  1.29% 53.30%      0.10s  1.29%  runtime.heapBitsSetType
     0.10s  1.29% 54.59%      0.10s  1.29%  runtime.lock
     0.09s  1.16% 55.76%      0.44s  5.69%  runtime.gentraceback
     0.09s  1.16% 56.92%      0.27s  3.49%  runtime.mapassign
     0.09s  1.16% 58.09%      0.09s  1.16%  runtime.unlock
     0.07s  0.91% 58.99%      0.85s 11.00%  encoding/json.(*decodeState).object
     0.07s  0.91% 59.90%      0.13s  1.68%  encoding/json.(*decodeState).scanWhile
     0.07s  0.91% 60.80%      0.21s  2.72%  runtime.pcvalue
     0.07s  0.91% 61.71%      0.07s  0.91%  runtime.readvarint
     0.06s  0.78% 62.48%      1.99s 25.74%  runtime.systemstack
     0.05s  0.65% 63.13%      0.05s  0.65%  path/filepath.Clean
     0.05s  0.65% 63.78%      0.05s  0.65%  runtime._ExternalCode
     0.05s  0.65% 64.42%      0.21s  2.72%  runtime.findrunnable
     0.05s  0.65% 65.07%      0.12s  1.55%  runtime.step
     0.04s  0.52% 65.59%      0.11s  1.42%  encoding/json.(*decodeState).indirect
     0.04s  0.52% 66.11%      0.17s  2.20%  runtime.adjustframe
     0.04s  0.52% 66.62%      0.04s  0.52%  runtime.adjustpointers
     0.04s  0.52% 67.14%      0.04s  0.52%  runtime.aeshashbody
     0.04s  0.52% 67.66%      0.04s  0.52%  runtime.findfunc
     0.04s  0.52% 68.18%      1.12s 14.49%  runtime.gcDrain
     0.04s  0.52% 68.69%      0.05s  0.65%  runtime.gcmarkwb_m
     0.04s  0.52% 69.21%      0.05s  0.65%  runtime.growslice
     0.04s  0.52% 69.73%      0.04s  0.52%  runtime.mapaccess1_faststr
     0.04s  0.52% 70.25%      0.38s  4.92%  runtime.newobject
     0.04s  0.52% 70.76%      0.04s  0.52%  runtime.scanblock
     0.04s  0.52% 71.28%      0.26s  3.36%  runtime.selectgoImpl
     0.04s  0.52% 71.80%      0.10s  1.29%  syscall.ByteSliceFromString
     0.04s  0.52% 72.32%      0.04s  0.52%  syscall.RawSyscall
     0.03s  0.39% 72.70%      0.05s  0.65%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.getLocalIPs
