7.04s of 8.89s total (79.19%)
Dropped 641 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
     1.23s 13.84% 13.84%      1.28s 14.40%  syscall.Syscall
     0.98s 11.02% 24.86%      1.31s 14.74%  runtime.scanobject
     0.47s  5.29% 30.15%      0.47s  5.29%  runtime.memclrNoHeapPointers
     0.45s  5.06% 35.21%      0.46s  5.17%  syscall.Syscall6
     0.32s  3.60% 38.81%      1.12s 12.60%  runtime.mallocgc
     0.31s  3.49% 42.29%      0.31s  3.49%  runtime.memmove
     0.29s  3.26% 45.56%      0.29s  3.26%  runtime.futex
     0.25s  2.81% 48.37%      0.25s  2.81%  runtime.heapBitsForObject
     0.16s  1.80% 50.17%      0.16s  1.80%  runtime.aeshashbody
     0.13s  1.46% 51.63%      0.24s  2.70%  encoding/json.(*decodeState).scanWhile
     0.13s  1.46% 53.09%      0.13s  1.46%  encoding/json.stateInString
     0.13s  1.46% 54.56%      0.13s  1.46%  runtime.greyobject
     0.13s  1.46% 56.02%      0.13s  1.46%  runtime.heapBitsSetType
     0.11s  1.24% 57.26%      0.40s  4.50%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.09s  1.01% 58.27%      0.11s  1.24%  bytes.(*Buffer).grow
     0.09s  1.01% 59.28%      0.09s  1.01%  runtime.memeqbody
     0.08s   0.9% 60.18%      0.26s  2.92%  encoding/json.(*Decoder).readValue
     0.07s  0.79% 60.97%      1.24s 13.95%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.07s  0.79% 61.75%      0.08s   0.9%  path.Clean
     0.06s  0.67% 62.43%      0.20s  2.25%  bytes.(*Buffer).WriteString
     0.06s  0.67% 63.10%      0.69s  7.76%  encoding/json.(*decodeState).object
     0.06s  0.67% 63.78%      0.06s  0.67%  runtime._ExternalCode
     0.06s  0.67% 64.45%      1.35s 15.19%  runtime.gcDrain
     0.06s  0.67% 65.13%      0.14s  1.57%  runtime.pcvalue
     0.05s  0.56% 65.69%      0.10s  1.12%  bytes.(*Buffer).WriteByte
     0.05s  0.56% 66.25%      0.05s  0.56%  path/filepath.Clean
     0.05s  0.56% 66.82%      0.14s  1.57%  runtime.mapaccess1_faststr
     0.05s  0.56% 67.38%      0.05s  0.56%  runtime.mapaccess2_fast64
     0.05s  0.56% 67.94%      0.05s  0.56%  runtime.mapiternext
     0.05s  0.56% 68.50%      0.38s  4.27%  runtime.newobject
     0.05s  0.56% 69.07%      0.05s  0.56%  runtime.usleep
     0.04s  0.45% 69.52%      0.35s  3.94%  runtime.(*mcentral).cacheSpan
     0.04s  0.45% 69.97%      0.11s  1.24%  runtime.adjustframe
     0.04s  0.45% 70.42%      0.11s  1.24%  runtime.concatstrings
     0.04s  0.45% 70.87%      0.24s  2.70%  runtime.findrunnable
     0.04s  0.45% 71.32%      0.32s  3.60%  runtime.gentraceback
     0.03s  0.34% 71.65%      0.10s  1.12%  fmt.(*pp).doPrintf
     0.03s  0.34% 71.99%      0.07s  0.79%  fmt.(*pp).printArg
     0.03s  0.34% 72.33%      0.05s  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*endpointsInfo).endpointChain
     0.03s  0.34% 72.67%      0.05s  0.56%  runtime.deferproc
     0.03s  0.34% 73.00%      0.39s  4.39%  runtime.mapassign
     0.03s  0.34% 73.34%      0.19s  2.14%  runtime.selectgoImpl
     0.03s  0.34% 73.68%      0.05s  0.56%  runtime.step
     0.03s  0.34% 74.02%      0.10s  1.12%  syscall.ByteSliceFromString
     0.03s  0.34% 74.35%      0.05s  0.56%  syscall.ParseDirent
     0.02s  0.22% 74.58%      0.29s  3.26%  encoding/json.(*decodeState).literal
     0.02s  0.22% 74.80%      0.12s  1.35%  encoding/json.(*decodeState).literalStore
     0.02s  0.22% 75.03%      0.07s  0.79%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.02s  0.22% 75.25%      0.08s   0.9%  reflect.Value.SetMapIndex
     0.02s  0.22% 75.48%      0.07s  0.79%  runtime.convT2E
     0.02s  0.22% 75.70%      0.06s  0.67%  runtime.pcdatavalue
     0.02s  0.22% 75.93%      0.18s  2.02%  runtime.slicebytetostring
     0.01s  0.11% 76.04%      0.06s  0.67%  bufio.(*Reader).Read
     0.01s  0.11% 76.15%      0.77s  8.66%  encoding/json.(*decodeState).unmarshal
     0.01s  0.11% 76.27%      1.12s 12.60%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
     0.01s  0.11% 76.38%      0.40s  4.50%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).getContainersDiff
     0.01s  0.11% 76.49%      0.09s  1.01%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.01s  0.11% 76.60%      0.07s  0.79%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.getContainerInfoFromAnnotations
     0.01s  0.11% 76.72%      0.13s  1.46%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/remote.(*RemoteRuntimeService).ListContainers
     0.01s  0.11% 76.83%      1.25s 14.06%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/async.(*BoundedFrequencyRunner).Loop
     0.01s  0.11% 76.94%      0.05s  0.56%  net/http.ReadResponse
     0.01s  0.11% 77.05%      0.16s  1.80%  net/http.send
     0.01s  0.11% 77.17%      0.13s  1.46%  os.(*File).Close
