4.59s of 5.47s total (83.91%)
Dropped 456 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.19s 21.76% 21.76%      1.27s 23.22%  syscall.Syscall
     0.56s 10.24% 31.99%      0.75s 13.71%  runtime.scanobject
     0.31s  5.67% 37.66%      0.33s  6.03%  syscall.Syscall6
     0.29s  5.30% 42.96%      0.29s  5.30%  runtime.memclrNoHeapPointers
     0.17s  3.11% 46.07%      0.65s 11.88%  runtime.mallocgc
     0.13s  2.38% 48.45%      0.13s  2.38%  runtime.futex
     0.13s  2.38% 50.82%      0.13s  2.38%  runtime.greyobject
     0.12s  2.19% 53.02%      0.12s  2.19%  runtime.memmove
     0.09s  1.65% 54.66%      0.09s  1.65%  runtime.heapBitsForObject
     0.07s  1.28% 55.94%      0.36s  6.58%  runtime.gentraceback
     0.07s  1.28% 57.22%      0.07s  1.28%  runtime.heapBitsSetType
     0.07s  1.28% 58.50%      0.17s  3.11%  runtime.pcvalue
     0.07s  1.28% 59.78%      0.07s  1.28%  runtime.readvarint
     0.06s  1.10% 60.88%      0.06s  1.10%  encoding/json.stateInString
     0.06s  1.10% 61.97%      0.06s  1.10%  runtime.duffcopy
     0.05s  0.91% 62.89%      0.05s  0.91%  path.Clean
     0.05s  0.91% 63.80%      0.06s  1.10%  runtime.findfunc
     0.04s  0.73% 64.53%      0.04s  0.73%  os.basename
     0.04s  0.73% 65.27%      0.15s  2.74%  runtime.mapassign
     0.04s  0.73% 66.00%      0.04s  0.73%  runtime.newdefer
     0.04s  0.73% 66.73%      0.25s  4.57%  runtime.selectgoImpl
     0.04s  0.73% 67.46%      0.04s  0.73%  runtime.unlock
     0.03s  0.55% 68.01%      0.08s  1.46%  encoding/json.(*Decoder).readValue
     0.03s  0.55% 68.56%      0.07s  1.28%  os.fillFileStatFromSys
     0.03s  0.55% 69.10%      0.03s  0.55%  reflect.Value.Elem
     0.03s  0.55% 69.65%      0.03s  0.55%  reflect.Value.Field
     0.03s  0.55% 70.20%      0.03s  0.55%  runtime.adjustpointers
     0.03s  0.55% 70.75%      0.03s  0.55%  runtime.casgstatus
     0.03s  0.55% 71.30%      0.03s  0.55%  runtime.epollwait
     0.03s  0.55% 71.85%      0.03s  0.55%  runtime.lock
     0.03s  0.55% 72.39%      0.34s  6.22%  runtime.makeslice
     0.02s  0.37% 72.76%      0.17s  3.11%  encoding/json.(*decodeState).array
     0.02s  0.37% 73.13%      0.05s  0.91%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.02s  0.37% 73.49%      0.03s  0.55%  runtime.(*mheap).allocSpanLocked
     0.02s  0.37% 73.86%      0.10s  1.83%  runtime.adjustframe
     0.02s  0.37% 74.22%      0.11s  2.01%  runtime.concatstrings
     0.02s  0.37% 74.59%      0.05s  0.91%  runtime.entersyscall
     0.02s  0.37% 74.95%      0.06s  1.10%  runtime.exitsyscall
     0.02s  0.37% 75.32%      0.74s 13.53%  runtime.gcDrain
     0.02s  0.37% 75.69%      0.06s  1.10%  runtime.rawstring
     0.02s  0.37% 76.05%      0.09s  1.65%  runtime.step
     0.02s  0.37% 76.42%      0.05s  0.91%  runtime.sweepone
     0.02s  0.37% 76.78%      0.06s  1.10%  syscall.BytePtrFromString
     0.02s  0.37% 77.15%      0.04s  0.73%  syscall.ByteSliceFromString
     0.02s  0.37% 77.51%      0.05s  0.91%  syscall.ParseDirent
     0.01s  0.18% 77.70%      0.13s  2.38%  bufio.(*Writer).Flush
     0.01s  0.18% 77.88%      0.04s  0.73%  bytes.(*Buffer).grow
     0.01s  0.18% 78.06%      0.20s  3.66%  encoding/json.(*decodeState).object
     0.01s  0.18% 78.24%      0.06s  1.10%  encoding/json.(*decodeState).scanWhile
     0.01s  0.18% 78.43%      0.22s  4.02%  encoding/json.(*decodeState).unmarshal
     0.01s  0.18% 78.61%      0.04s  0.73%  fmt.(*pp).doPrintf
     0.01s  0.18% 78.79%      0.04s  0.73%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamKeyValue
     0.01s  0.18% 78.98%      0.06s  1.10%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.01s  0.18% 79.16%      0.58s 10.60%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).processUnaryRPC
     0.01s  0.18% 79.34%      0.19s  3.47%  github.com/openshift/origin/vendor/google.golang.org/grpc.invoke
     0.01s  0.18% 79.52%      0.06s  1.10%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*Stream).Header
     0.01s  0.18% 79.71%      0.04s  0.73%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.01s  0.18% 79.89%      0.18s  3.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).GetPods
     0.01s  0.18% 80.07%      0.04s  0.73%  net.(*Dialer).DialContext
     0.01s  0.18% 80.26%      0.12s  2.19%  net/http.(*persistConn).roundTrip
     0.01s  0.18% 80.44%      0.89s 16.27%  os.(*File).readdir
     0.01s  0.18% 80.62%      0.42s  7.68%  os.Open
     0.01s  0.18% 80.80%      0.05s  0.91%  reflect.deepValueEqual
     0.01s  0.18% 80.99%      0.22s  4.02%  runtime.(*mcentral).cacheSpan
     0.01s  0.18% 81.17%      0.12s  2.19%  runtime.concatstring3
     0.01s  0.18% 81.35%      0.03s  0.55%  runtime.futexsleep
     0.01s  0.18% 81.54%      0.18s  3.29%  runtime.mcall
     0.01s  0.18% 81.72%      0.19s  3.47%  runtime.morestack
     0.01s  0.18% 81.90%      0.06s  1.10%  runtime.netpoll
     0.01s  0.18% 82.08%      0.04s  0.73%  runtime.notesleep
     0.01s  0.18% 82.27%      0.07s  1.28%  runtime.rawstringtmp
     0.01s  0.18% 82.45%      0.18s  3.29%  runtime.saveblockevent
     0.01s  0.18% 82.63%      0.05s  0.91%  runtime.scanframeworker
     0.01s  0.18% 82.82%      0.08s  1.46%  runtime.scanstack
     0.01s  0.18% 83.00%      0.17s  3.11%  runtime.schedule
     0.01s  0.18% 83.18%      1.48s 27.06%  runtime.systemstack
     0.01s  0.18% 83.36%      0.03s  0.55%  runtime.typedmemmove
     0.01s  0.18% 83.55%      0.03s  0.55%  strings.FieldsFunc
     0.01s  0.18% 83.73%      0.03s  0.55%  syscall.Fstat
     0.01s  0.18% 83.91%      0.06s  1.10%  syscall.Getdents
         0     0% 83.91%      0.16s  2.93%  bufio.(*Scanner).Scan
         0     0% 83.91%      0.21s  3.84%  bytes.(*Buffer).ReadFrom
         0     0% 83.91%      0.03s  0.55%  bytes.(*Buffer).WriteString
         0     0% 83.91%      0.14s  2.56%  bytes.makeSlice
         0     0% 83.91%      0.03s  0.55%  crypto/tls.(*Conn).Handshake
         0     0% 83.91%      0.03s  0.55%  crypto/tls.(*Conn).clientHandshake
         0     0% 83.91%      0.03s  0.55%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 83.91%      0.29s  5.30%  encoding/json.(*Decoder).Decode
         0     0% 83.91%      0.04s  0.73%  encoding/json.(*Decoder).refill
         0     0% 83.91%      0.03s  0.55%  encoding/json.(*decodeState).indirect
         0     0% 83.91%      0.07s  1.28%  encoding/json.(*decodeState).literal
         0     0% 83.91%      0.05s  0.91%  encoding/json.(*decodeState).literalStore
         0     0% 83.91%      0.21s  3.84%  encoding/json.(*decodeState).value
         0     0% 83.91%      0.06s  1.10%  encoding/json.(*encodeState).marshal
         0     0% 83.91%      0.05s  0.91%  encoding/json.(*encodeState).reflectValue
         0     0% 83.91%      0.06s  1.10%  encoding/json.Marshal
         0     0% 83.91%      0.03s  0.55%  fmt.(*pp).printArg
         0     0% 83.91%      0.03s  0.55%  fmt.Sprintf
         0     0% 83.91%      0.28s  5.12%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 83.91%      0.06s  1.10%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
