29391.68kB of 29391.68kB total (  100%)
Dropped 1187 nodes (cum <= 146.96kB)
      flat  flat%   sum%        cum   cum%
 6877.56kB 23.40% 23.40%  6877.56kB 23.40%  runtime.hashGrow
 4607.34kB 15.68% 39.08%  4607.34kB 15.68%  bytes.makeSlice
 3108.13kB 10.57% 49.65%  3108.13kB 10.57%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 2560.95kB  8.71% 58.36%  9438.51kB 32.11%  runtime.mapassign
 1542.01kB  5.25% 63.61%  4650.14kB 15.82%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
 1537.31kB  5.23% 68.84%  1537.31kB  5.23%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 1536.15kB  5.23% 74.07%  1536.15kB  5.23%  runtime.rawstringtmp
 1024.47kB  3.49% 77.55%  1024.47kB  3.49%  reflect.unsafe_New
  809.97kB  2.76% 80.31%   809.97kB  2.76%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  636.73kB  2.17% 82.47%   636.73kB  2.17%  runtime.makechan
  528.17kB  1.80% 84.27%   528.17kB  1.80%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.newFramer
  524.09kB  1.78% 86.05%   524.09kB  1.78%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
     514kB  1.75% 87.80%      514kB  1.75%  net/http.newBufioWriterSize
  512.28kB  1.74% 89.55%   512.28kB  1.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl/cmd.NewCmdCreateRole
  512.20kB  1.74% 91.29%   512.20kB  1.74%  runtime.malg
  512.12kB  1.74% 93.03%   512.12kB  1.74%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newCodecFactory
  512.08kB  1.74% 94.77%  1024.52kB  3.49%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
  512.05kB  1.74% 96.52%   512.05kB  1.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Handler).Unmarshal
  512.03kB  1.74% 98.26%   512.03kB  1.74%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSecurityContext
  512.02kB  1.74%   100%   512.02kB  1.74%  math/big.nat.setUint64
         0     0%   100%  3019.17kB 10.27%  bytes.(*Buffer).ReadFrom
         0     0%   100%  1588.17kB  5.40%  bytes.(*Buffer).WriteString
         0     0%   100%  1588.17kB  5.40%  bytes.(*Buffer).grow
         0     0%   100%   512.02kB  1.74%  crypto/tls.(*Conn).Handshake
         0     0%   100%   512.02kB  1.74%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%   512.02kB  1.74%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%   512.02kB  1.74%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%   512.02kB  1.74%  crypto/x509.(*Certificate).Verify
         0     0%   100%   512.02kB  1.74%  crypto/x509.ParseCertificate
         0     0%   100%   512.02kB  1.74%  crypto/x509.initSystemRoots
         0     0%   100%   512.02kB  1.74%  crypto/x509.loadSystemRoots
         0     0%   100%   512.02kB  1.74%  crypto/x509.parseCertificate
         0     0%   100%   512.02kB  1.74%  crypto/x509.systemRootsPool
         0     0%   100%   512.02kB  1.74%  encoding/asn1.Unmarshal
         0     0%   100%   512.02kB  1.74%  encoding/asn1.UnmarshalWithParams
         0     0%   100%   512.02kB  1.74%  encoding/asn1.parseField
         0     0%   100%   512.02kB  1.74%  encoding/asn1.parsePrintableString
         0     0%   100%   512.02kB  1.74%  encoding/asn1.parseSequenceOf
         0     0%   100%   513.12kB  1.75%  encoding/gob.Register
         0     0%   100%   513.12kB  1.75%  encoding/gob.RegisterName
         0     0%   100%   513.12kB  1.75%  encoding/gob.init
         0     0%   100%   513.12kB  1.75%  encoding/gob.init.2
         0     0%   100%   513.12kB  1.75%  encoding/gob.registerBasics
         0     0%   100%  1024.12kB  3.48%  fmt.Sprintf
         0     0%   100%  1568.40kB  5.34%  github.com/openshift/origin/pkg/api/install.init
         0     0%   100%   515.19kB  1.75%  github.com/openshift/origin/pkg/authorization/apis/authorization/install.Install
         0     0%   100%   515.19kB  1.75%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/scheme.Install
         0     0%   100%   515.19kB  1.75%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/scheme.init
         0     0%   100%   515.19kB  1.75%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/scheme.init.1
         0     0%   100%   515.19kB  1.75%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/typed/authorization/internalversion.init
         0     0%   100%   514.38kB  1.75%  github.com/openshift/origin/pkg/build/apis/build.addKnownTypes
         0     0%   100%   514.38kB  1.75%  github.com/openshift/origin/pkg/build/apis/build/install.Install
         0     0%   100%  1097.69kB  3.73%  github.com/openshift/origin/pkg/build/apis/build/v1.init
         0     0%   100%  1097.69kB  3.73%  github.com/openshift/origin/pkg/build/apis/build/v1.init.1
