7.69s of 9.52s total (80.78%)
Dropped 551 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     1.28s 13.45% 13.45%      1.42s 14.92%  syscall.Syscall
     0.93s  9.77% 23.21%      1.29s 13.55%  runtime.scanobject
     0.55s  5.78% 28.99%      0.57s  5.99%  syscall.Syscall6
     0.44s  4.62% 33.61%      0.44s  4.62%  runtime.memmove
     0.34s  3.57% 37.18%      1.10s 11.55%  runtime.mallocgc
     0.30s  3.15% 40.34%      0.30s  3.15%  runtime.memclrNoHeapPointers
     0.28s  2.94% 43.28%      0.28s  2.94%  runtime.futex
     0.25s  2.63% 45.90%      0.25s  2.63%  runtime.greyobject
     0.17s  1.79% 47.69%      0.17s  1.79%  runtime.heapBitsSetType
     0.14s  1.47% 49.16%      0.36s  3.78%  bytes.(*Buffer).WriteString
     0.14s  1.47% 50.63%      0.14s  1.47%  runtime.heapBitsForObject
     0.14s  1.47% 52.10%      0.45s  4.73%  runtime.mapassign
     0.12s  1.26% 53.36%      0.59s  6.20%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.11s  1.16% 54.52%      0.34s  3.57%  runtime.gentraceback
     0.09s  0.95% 55.46%      0.09s  0.95%  encoding/json.stateInString
     0.09s  0.95% 56.41%      0.19s  2.00%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.09s  0.95% 57.35%      0.09s  0.95%  runtime.aeshashbody
     0.08s  0.84% 58.19%      0.11s  1.16%  bytes.(*Buffer).WriteByte
     0.08s  0.84% 59.03%      0.09s  0.95%  runtime.mapiternext
     0.07s  0.74% 59.77%      0.22s  2.31%  encoding/json.(*Decoder).readValue
     0.07s  0.74% 60.50%      0.16s  1.68%  encoding/json.(*decodeState).scanWhile
     0.07s  0.74% 61.24%      0.07s  0.74%  runtime.usleep
     0.06s  0.63% 61.87%      0.06s  0.63%  bytes.(*Buffer).grow
     0.06s  0.63% 62.50%      1.72s 18.07%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.06s  0.63% 63.13%      0.06s  0.63%  runtime.findfunc
     0.06s  0.63% 63.76%      0.33s  3.47%  runtime.newobject
     0.06s  0.63% 64.39%      0.06s  0.63%  runtime.readvarint
     0.05s  0.53% 64.92%      0.05s  0.53%  encoding/json.unquoteBytes
     0.05s  0.53% 65.44%      0.05s  0.53%  runtime.duffcopy
     0.05s  0.53% 65.97%      0.13s  1.37%  runtime.evacuate
     0.05s  0.53% 66.49%      0.07s  0.74%  runtime.mapaccess2_faststr
     0.05s  0.53% 67.02%      0.13s  1.37%  runtime.pcvalue
     0.05s  0.53% 67.54%      0.13s  1.37%  runtime.typedmemmove
     0.05s  0.53% 68.07%      0.05s  0.53%  runtime.unlock
     0.05s  0.53% 68.59%      0.05s  0.53%  syscall.RawSyscall
     0.04s  0.42% 69.01%      0.06s  0.63%  runtime.bulkBarrierPreWrite
     0.04s  0.42% 69.43%      1.21s 12.71%  runtime.gcDrain
     0.04s  0.42% 69.85%      0.27s  2.84%  runtime.schedule
     0.04s  0.42% 70.27%      0.49s  5.15%  runtime.slicebytetostring
     0.04s  0.42% 70.69%      0.07s  0.74%  syscall.ParseDirent
     0.03s  0.32% 71.01%      0.14s  1.47%  fmt.(*pp).doPrintf
     0.03s  0.32% 71.32%      0.11s  1.16%  fmt.(*pp).printArg
     0.03s  0.32% 71.64%      0.06s  0.63%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.getLocalIPs
     0.03s  0.32% 71.95%      0.23s  2.42%  runtime.(*mcentral).cacheSpan
