timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1547.50,10.82
1505941445000,1826.82,18.33
1505941545000,1127.74,0.49
1505941645000,1214.92,5.68
1505941745000,2285.08,41.68
1505941845000,2580.21,50.93
1505941945000,1769.10,11.54
1505942045000,4757.86,14.41
1505942145000,2707.20,13.15
1505942245000,4057.81,7.23
1505942345000,2477.12,70.79
1505942445000,2653.25,91.98
1505942545000,1970.13,3.40
1505942645000,1975.78,3.38
1505942745000,2075.33,4.13
1505942845000,10842.77,84.31
1505942945000,18352.79,141.49
1505943045000,12631.05,81.94
1505943145000,22052.82,150.47
1505943245000,19898.13,121.58
1505943345000,19798.27,110.67
1505943445000,22722.51,124.75
1505943545000,23297.18,122.22
1505943645000,14077.27,31.92
1505943745000,15757.66,31.82
1505943845000,16910.74,35.35
1505943945000,37050.06,167.11
1505944045000,30179.97,117.72
1505944145000,35766.98,142.21
1505944245000,35280.36,140.58
1505944345000,34119.55,125.28
1505944445000,38362.99,145.13
1505944545000,36847.45,133.75
1505944645000,26653.52,47.33
1505944745000,26204.52,30.73
1505944845000,27645.47,33.53
1505944945000,31752.19,46.34
1505945045000,47534.02,148.73
1505945145000,45644.32,141.22
1505945245000,46725.00,142.21
1505945345000,45590.25,131.72
1505945445000,49522.56,127.01
1505945545000,49315.61,136.11
1505945645000,47872.15,109.28
1505945745000,44435.37,91.41
1505945845000,33975.85,28.62
1505945945000,35394.64,25.77
1505946045000,36819.52,27.00
1505946145000,35860.33,20.74
1505946245000,37469.90,28.55
1505946345000,35963.48,12.31
1505946445000,56343.72,97.18
1505946545000,52227.72,113.27
1505946645000,61460.80,139.79
1505946745000,57094.11,126.13
1505946845000,52516.61,99.36
1505946945000,57224.65,108.60
1505947045000,62319.40,132.13
1505947145000,62388.13,117.94
1505947245000,54509.85,112.46
1505947345000,53116.36,83.49
1505947445000,42382.96,33.47
1505947545000,41991.43,24.72
1505947645000,42164.72,22.01
1505947745000,42743.20,20.85
1505947845000,43063.94,21.83
1505947945000,44144.29,21.58
1505948045000,50580.69,60.57
1505948145000,45757.81,36.46
1505948245000,42731.12,3.29
1505948345000,42781.66,3.15
