timestamp_ms,all_interrupts
1505941345000,2445.89
1505941445000,2956.31
1505941545000,1359.14
1505941645000,1549.84
1505941745000,3449.86
1505941845000,3941.40
1505941945000,2191.90
1505942045000,5454.41
1505942145000,3233.44
1505942245000,4413.78
1505942345000,2868.90
1505942445000,3129.70
1505942545000,2107.04
1505942645000,2123.48
1505942745000,2234.65
1505942845000,12684.63
1505942945000,21576.96
1505943045000,15024.96
1505943145000,25237.08
1505943245000,22739.92
1505943345000,22215.53
1505943445000,24897.43
1505943545000,25057.57
1505943645000,14166.81
1505943745000,15681.35
1505943845000,16850.18
1505943945000,36784.85
1505944045000,30344.93
1505944145000,34881.84
1505944245000,35235.80
1505944345000,33816.69
1505944445000,37272.50
1505944545000,36066.28
1505944645000,25484.70
1505944745000,24410.63
1505944845000,25406.97
1505944945000,27559.38
1505945045000,42079.19
1505945145000,41290.15
1505945245000,42853.71
1505945345000,41732.79
1505945445000,40982.01
1505945545000,42872.02
1505945645000,39587.71
1505945745000,37612.82
1505945845000,29544.75
1505945945000,29848.06
1505946045000,30910.91
1505946145000,29850.55
1505946245000,32010.90
1505946345000,29318.38
1505946445000,40082.86
1505946545000,43007.10
1505946645000,45869.63
1505946745000,44488.31
1505946845000,40719.28
1505946945000,41955.27
1505947045000,45554.59
1505947145000,43434.62
1505947245000,43294.36
1505947345000,39570.84
1505947445000,33500.35
1505947545000,32299.66
1505947645000,32952.56
1505947745000,31905.31
1505947845000,32909.35
1505947945000,32995.18
1505948045000,36849.44
1505948145000,35404.33
1505948245000,29898.95
1505948345000,30819.10
