timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1505941345000,12.09,0.02,147.90,10.53,0.30,0.00,0.01,0.00,134.75
1505941445000,13.58,0.00,146.46,10.50,0.49,0.00,0.02,0.00,135.61
1505941545000,10.52,0.00,21.07,10.52,0.00,0.00,0.00,0.00,21.07
1505941645000,11.06,0.01,26.35,10.50,0.02,0.00,0.00,0.00,26.51
1505941745000,14.01,0.00,59.21,10.50,0.03,0.00,0.01,0.00,61.54
1505941845000,10.97,0.01,46.92,10.37,0.00,0.00,0.02,0.00,49.39
1505941945000,0.98,0.01,10.42,0.00,0.00,0.00,0.00,0.00,10.86
1505942045000,0.54,0.00,144.18,0.00,0.01,0.00,0.00,0.00,95.52
1505942145000,0.59,0.48,14.70,0.01,0.00,0.00,0.03,0.00,14.67
1505942245000,0.66,0.02,111.02,0.00,0.01,0.00,0.00,0.00,75.78
1505942345000,0.40,0.00,5.71,0.00,0.00,0.00,0.00,0.00,5.74
1505942445000,0.44,0.02,5.93,0.02,0.00,0.00,0.00,0.00,5.81
1505942545000,0.40,0.00,5.47,0.00,0.00,0.00,0.00,0.00,5.28
1505942645000,0.40,0.02,6.59,0.00,0.00,0.00,0.00,0.00,6.33
1505942745000,0.40,0.02,6.91,0.00,0.00,0.00,0.00,0.00,6.74
1505942845000,1.59,5.45,143.35,0.10,0.14,0.00,0.22,0.00,133.30
1505942945000,11.22,17.45,429.55,0.20,0.48,0.02,0.67,0.02,413.97
1505943045000,18.95,18.85,454.93,0.27,1.18,0.05,1.62,0.05,446.29
1505943145000,19.20,26.16,637.25,0.16,0.51,0.02,0.76,0.02,619.05
1505943245000,29.17,32.88,733.89,0.19,1.41,0.06,1.95,0.06,718.90
1505943345000,28.72,34.84,685.49,0.25,1.30,0.07,2.21,0.07,666.03
1505943445000,29.28,35.35,765.66,0.21,1.88,0.00,0.71,0.00,749.69
1505943545000,16.86,25.87,589.18,0.25,1.63,0.00,0.44,0.00,569.27
1505943645000,10.77,16.17,401.54,0.32,1.78,0.01,0.30,0.01,384.73
1505943745000,22.07,17.92,548.45,0.32,1.34,0.00,1.32,0.00,549.78
1505943845000,8.12,6.89,398.20,0.30,1.15,0.00,0.58,0.00,391.81
1505943945000,83.48,94.43,2018.56,0.14,2.37,0.02,1.86,0.02,1986.40
1505944045000,22.56,29.98,829.94,0.24,1.25,0.02,1.70,0.02,805.13
1505944145000,47.53,51.63,1390.08,0.23,1.60,0.01,2.40,0.01,1372.23
1505944245000,48.56,47.97,1269.13,0.25,7.30,0.01,3.31,0.01,1256.38
1505944345000,40.04,42.53,930.99,0.21,3.41,0.07,2.73,0.07,914.06
1505944445000,59.38,66.25,1497.55,0.20,5.13,0.02,4.35,0.02,1477.06
1505944545000,42.80,48.70,1035.68,0.22,2.43,0.00,5.77,0.00,1018.09
1505944645000,0.72,2.71,523.50,0.32,0.10,0.00,0.11,0.00,516.63
1505944745000,1.33,2.29,547.07,0.34,0.21,0.00,0.19,0.00,542.18
