timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth03de09be-rx,veth03de09be-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0,0,9.59184896,0.08404992,0.01015808,0.01015808,,,,,,,,
1505941445000,,,0,0,9.99268352,0.09240576,0.01007616,0.01007616,,,,,,,,
1505941545000,,,0,0,0.00016384,8.192e-05,0.01007616,0.01007616,,,,,,,,
1505941645000,,,0,0,0.04005888,0.00794624,0.01007616,0.01007616,,,,,,,,
1505941745000,,,0,0,0.33988608,0.059392,0.01007616,0.01007616,,,,,,,,
1505941845000,0,0,,,20.27945984,0.30384128,,,0,0,0,0,,,0,0
1505941945000,0,0,,,0.07569408,0.01335296,,,0,0,0,0,,,0,0
1505942045000,0,0,,,12.78803968,0.0557056,,,0,0,0,0,,,0,0
1505942145000,0,0,,,,,,,0,0,0,0,0,0,0,0
1505942245000,0,0,,,42.1445632,0.4530176,,,0,0,0,0,,,0,0
1505942345000,0,0,,,0.01753088,0.00376832,,,0,0,0,0,,,0,0
1505942445000,0,0,,,0.01662976,0.00360448,,,0,0,0,0,,,0,0
1505942545000,0,0,,,0.01662976,0.00352256,,,0,0,0,0,,,0,0
1505942645000,0,0,,,0.0200704,0.00933888,,,0,0,0,0,,,0,0
1505942745000,0,0,,,0.01785856,0.00516096,,,0,0,0,0,,,0,0
1505942845000,0,0,,,0.45072384,0.21782528,,,0,0,0,0,,,0,0
1505942945000,0,0,,,1.0047488,0.49741824,,,0,0,0,0,,,0,0
1505943045000,0,0,,,1.03194624,0.4468736,,,0,0,0,0,,,0,0
1505943145000,0,0,,,1.20020992,0.62283776,,,0,0,0,0,,,0,0
1505943245000,0,0,,,1.07593728,0.6193152,,,0,0,0,0,,,0,0
1505943345000,0,0,,,0.6324224,0.52166656,,,0,0,0,0,,,0,0
1505943445000,0,0,,,0.67510272,0.5677056,,,0,0,0,0,,,0,0
1505943545000,0,0,,,0.57942016,0.45318144,,,0,0,0,0,,,0,0
1505943645000,0,0,,,0.39305216,0.22290432,,,0,0,0,0,,,0,0
1505943745000,0,0,,,0.44474368,0.27107328,,,0,0,0,0,,,0,0
1505943845000,0,0,,,0.36036608,0.19013632,,,0,0,0,0,,,0,0
1505943945000,0,0,,,2.03563008,1.36855552,,,0,0,0,0,,,0,0
1505944045000,0,0,,,1.3643776,0.60391424,,,0,0,0,0,,,0,0
1505944145000,0,0,,,1.72720128,0.94461952,,,0,0,0,0,,,0,0
1505944245000,0,0,,,1.60948224,0.8278016,,,0,0,0,0,,,0,0
1505944345000,0,0,,,0.76791808,0.57319424,,,0,0,0,0,,,0,0
1505944445000,0,0,,,0.99549184,0.88383488,,,0,0,0,0,,,0,0
1505944545000,0,0,,,0.7385088,0.60588032,,,0,0,0,0,,,0,0
1505944645000,0,0,,,0.3670016,0.15384576,,,0,0,0,0,,,0,0
1505944745000,0,0,,,0.35135488,0.13123584,,,0,0,0,0,,,0,0
1505944845000,0,0,,,0.31924224,0.1298432,,,0,0,0,0,,,0,0
1505944945000,0,0,,,0.76652544,0.56991744,,,0,0,0,0,,,0,0
1505945045000,0,0,,,2.086912,1.27983616,,,0,0,0,0,,,0,0
1505945145000,0,0,,,1.98311936,1.15712,,,0,0,0,0,,,0,0
1505945245000,0,0,,,1.82755328,0.96305152,,,0,0,0,0,,,0,0
1505945345000,0,0,,,2.06053376,1.25411328,,,0,0,0,0,,,0,0
1505945445000,0,0,,,0.93118464,0.843776,,,0,0,0,0,,,0,0
1505945545000,0,0,,,1.34602752,1.28098304,,,0,0,0,0,,,0,0
1505945645000,0,0,,,0.79618048,0.7032832,,,0,0,0,0,,,0,0
1505945745000,0,0,,,0.79044608,0.68026368,,,0,0,0,0,,,0,0
1505945845000,0,0,,,0.4141056,0.1990656,,,0,0,0,0,,,0,0
1505945945000,0,0,,,0.39051264,0.19079168,,,0,0,0,0,,,0,0
1505946045000,0,0,,,0.452608,0.26927104,,,0,0,0,0,,,0,0
1505946145000,0,0,,,0.32964608,0.12484608,,,0,0,0,0,,,0,0
1505946245000,0,0,,,0.65814528,0.4780032,,,0,0,0,0,,,0,0
1505946345000,0,0,,,0.40828928,0.395264,,,0,0,0,0,,,0,0
1505946445000,0,0,,,1.5679488,0.93822976,,,0,0,0,0,,,0,0
1505946545000,0,0,,,1.90676992,0.98680832,,,0,0,0,0,,,0,0
1505946645000,0,0,,,2.54009344,1.61538048,,,0,0,0,0,,,0,0
1505946745000,0,0,,,2.34160128,1.39239424,,,0,0,0,0,,,0,0
1505946845000,0,0,,,1.314816,0.94150656,,,0,0,0,0,,,0,0
1505946945000,0,0,,,1.15539968,1.07986944,,,0,0,0,0,,,0,0
1505947045000,0,0,,,1.67804928,1.6084992,,,0,0,0,0,,,0,0
1505947145000,0,0,,,1.43204352,1.35544832,,,0,0,0,0,,,0,0
1505947245000,0,0,,,0.84631552,0.77979648,,,0,0,0,0,,,0,0
1505947345000,0,0,,,0.82624512,0.69033984,,,0,0,0,0,,,0,0
1505947445000,0,0,,,0.38281216,0.20799488,,,0,0,0,0,,,0,0
1505947545000,0,0,,,0.38494208,0.20226048,,,0,0,0,0,,,0,0
1505947645000,0,0,,,0.37666816,0.20963328,,,0,0,0,0,,,0,0
1505947745000,0,0,,,0.34422784,0.1695744,,,0,0,0,0,,,0,0
1505947845000,0,0,,,0.35012608,0.18300928,,,0,0,0,0,,,0,0
1505947945000,0,0,,,0.3821568,0.25001984,,,0,0,0,0,,,0,0
1505948045000,0,0,,,1.01367808,0.74170368,,,0,0,0,0,,,0,0
1505948145000,0,0,,,1.04177664,0.9834496,,,0,0,0,0,,,0,0
1505948245000,0,0,,,0.28770304,0.27230208,,,0,0,0,0,,,0,0
1505948345000,0,0,,,0.28311552,0.26935296,,,0,0,0,0,,,0,0
