3.71s of 4.34s total (85.48%)
Dropped 337 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     1.23s 28.34% 28.34%      1.26s 29.03%  syscall.Syscall
     0.41s  9.45% 37.79%      0.41s  9.45%  syscall.Syscall6
     0.32s  7.37% 45.16%      0.52s 11.98%  runtime.scanobject
     0.22s  5.07% 50.23%      0.22s  5.07%  runtime.memclrNoHeapPointers
     0.21s  4.84% 55.07%      0.58s 13.36%  runtime.mallocgc
     0.14s  3.23% 58.29%      0.14s  3.23%  runtime.futex
     0.11s  2.53% 60.83%      0.11s  2.53%  runtime.greyobject
     0.10s  2.30% 63.13%      0.10s  2.30%  runtime.heapBitsForObject
     0.08s  1.84% 64.98%      0.08s  1.84%  runtime.memmove
     0.05s  1.15% 66.13%      0.05s  1.15%  runtime._ExternalCode
     0.05s  1.15% 67.28%      0.15s  3.46%  runtime.gentraceback
     0.04s  0.92% 68.20%      0.04s  0.92%  encoding/json.stateInString
     0.04s  0.92% 69.12%      0.04s  0.92%  runtime.findfunc
     0.04s  0.92% 70.05%      0.09s  2.07%  runtime.mapassign
     0.04s  0.92% 70.97%      0.04s  0.92%  runtime.usleep
     0.03s  0.69% 71.66%      0.03s  0.69%  runtime.getitab
     0.03s  0.69% 72.35%      0.03s  0.69%  runtime.heapBitsSetType
     0.03s  0.69% 73.04%      0.04s  0.92%  runtime.makemap
     0.03s  0.69% 73.73%      0.27s  6.22%  runtime.makeslice
     0.03s  0.69% 74.42%      0.29s  6.68%  runtime.newobject
     0.03s  0.69% 75.12%      0.03s  0.69%  runtime.readvarint
     0.03s  0.69% 75.81%      0.04s  0.92%  runtime.scanblock
     0.03s  0.69% 76.50%      0.03s  0.69%  runtime.unlock
     0.03s  0.69% 77.19%      0.03s  0.69%  unicode.IsSpace
     0.02s  0.46% 77.65%      0.05s  1.15%  io/ioutil.ReadDir.func1
     0.02s  0.46% 78.11%      0.18s  4.15%  runtime.(*mcentral).cacheSpan
     0.02s  0.46% 78.57%      0.03s  0.69%  runtime.adjustframe
     0.02s  0.46% 79.03%      0.04s  0.92%  runtime.deferproc
     0.02s  0.46% 79.49%      0.54s 12.44%  runtime.gcDrain
     0.02s  0.46% 79.95%      0.06s  1.38%  runtime.pcvalue
     0.02s  0.46% 80.41%      0.11s  2.53%  runtime.selectgoImpl
     0.02s  0.46% 80.88%      0.03s  0.69%  runtime.typedmemmove
     0.02s  0.46% 81.34%      0.03s  0.69%  strings.lastIndexFunc
     0.01s  0.23% 81.57%      0.11s  2.53%  bufio.(*Scanner).Scan
     0.01s  0.23% 81.80%      0.08s  1.84%  encoding/json.(*Decoder).readValue
     0.01s  0.23% 82.03%      0.41s  9.45%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.01s  0.23% 82.26%      0.42s  9.68%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateSpec
     0.01s  0.23% 82.49%      0.06s  1.38%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*runtimeServiceClient).ListPodSandbox
     0.01s  0.23% 82.72%      0.66s 15.21%  io/ioutil.ReadFile
     0.01s  0.23% 82.95%      1.06s 24.42%  os.(*File).readdir
     0.01s  0.23% 83.18%      0.88s 20.28%  os.Lstat
     0.01s  0.23% 83.41%      0.04s  0.92%  runtime.(*mheap).alloc_m
     0.01s  0.23% 83.64%      0.04s  0.92%  runtime.concatstrings
     0.01s  0.23% 83.87%      0.06s  1.38%  runtime.rawstring
     0.01s  0.23% 84.10%      0.07s  1.61%  runtime.rawstringtmp
     0.01s  0.23% 84.33%      0.04s  0.92%  runtime.step
     0.01s  0.23% 84.56%      0.08s  1.84%  runtime.wakep
     0.01s  0.23% 84.79%      0.03s  0.69%  sort.doPivot_func
     0.01s  0.23% 85.02%      0.11s  2.53%  syscall.ByteSliceFromString
     0.01s  0.23% 85.25%      0.17s  3.92%  syscall.Read
     0.01s  0.23% 85.48%      0.21s  4.84%  syscall.Stat
         0     0% 85.48%      0.08s  1.84%  bufio.(*Writer).Flush
         0     0% 85.48%      0.16s  3.69%  bytes.(*Buffer).ReadFrom
         0     0% 85.48%      0.06s  1.38%  bytes.makeSlice
         0     0% 85.48%      0.14s  3.23%  encoding/json.(*Decoder).Decode
         0     0% 85.48%      0.05s  1.15%  encoding/json.(*Decoder).refill
         0     0% 85.48%      0.03s  0.69%  encoding/json.(*decodeState).array
         0     0% 85.48%      0.03s  0.69%  encoding/json.(*decodeState).literal
         0     0% 85.48%      0.07s  1.61%  encoding/json.(*decodeState).object
         0     0% 85.48%      0.03s  0.69%  encoding/json.(*decodeState).objectInterface
         0     0% 85.48%      0.07s  1.61%  encoding/json.(*decodeState).unmarshal
         0     0% 85.48%      0.07s  1.61%  encoding/json.(*decodeState).value
         0     0% 85.48%      0.03s  0.69%  encoding/json.(*decodeState).valueInterface
         0     0% 85.48%      0.07s  1.61%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 85.48%      0.08s  1.84%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
         0     0% 85.48%      0.07s  1.61%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0% 85.48%      0.08s  1.84%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ImageList
         0     0% 85.48%      0.05s  1.15%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
         0     0% 85.48%      0.05s  1.15%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
         0     0% 85.48%      0.05s  1.15%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendRequest
