94.78MB of 94.78MB total (  100%)
Dropped 1532 nodes (cum <= 0.47MB)
      flat  flat%   sum%        cum   cum%
   23.50MB 24.80% 24.80%    23.50MB 24.80%  runtime.rawstringtmp
   15.55MB 16.41% 41.20%    15.55MB 16.41%  runtime.hashGrow
    9.01MB  9.50% 50.71%    10.01MB 10.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    8.50MB  8.97% 59.68%    24.05MB 25.38%  runtime.mapassign
    6.09MB  6.43% 66.11%     6.09MB  6.43%  bytes.makeSlice
    4.05MB  4.27% 70.38%     4.05MB  4.27%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.03MB  4.25% 74.63%     4.03MB  4.25%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
       2MB  2.11% 76.74%        2MB  2.11%  runtime.makemap
    1.50MB  1.58% 78.32%     1.50MB  1.58%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    1.01MB  1.07% 79.39%     1.01MB  1.07%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.06% 80.44%        1MB  1.06%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*persistentVolumes).Get
       1MB  1.06% 81.50%        1MB  1.06%  reflect.unsafe_New
       1MB  1.06% 82.55%        1MB  1.06%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
       1MB  1.06% 83.61%     1.50MB  1.58%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
       1MB  1.06% 84.66%        1MB  1.06%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setCpuStats
    0.79MB  0.83% 85.50%     0.79MB  0.83%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.70MB  0.73% 86.23%     0.70MB  0.73%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*parser).recvMsg
    0.70MB  0.73% 86.97%     1.39MB  1.47%  github.com/openshift/origin/vendor/google.golang.org/grpc.encode
    0.70MB  0.73% 87.70%     0.70MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListPodSandboxResponse).Marshal
    0.60MB  0.63% 88.33%     0.60MB  0.63%  runtime.stringtoslicebyte
    0.53MB  0.56% 88.89%     0.53MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumes
    0.52MB  0.54% 89.43%     0.52MB  0.54%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.51MB  0.54% 89.97%     0.51MB  0.54%  runtime.allgadd
    0.50MB  0.53% 90.50%     0.50MB  0.53%  strings.NewReplacer
    0.50MB  0.53% 91.03%     0.50MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.53% 91.56%     0.50MB  0.53%  regexp/syntax.(*compiler).quest
    0.50MB  0.53% 92.09%     1.53MB  1.61%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*Scheme).AddKnownTypeWithName
