16.46s of 19.88s total (82.80%)
Dropped 872 nodes (cum <= 0.10s)
      flat  flat%   sum%        cum   cum%
     2.69s 13.53% 13.53%      2.85s 14.34%  syscall.Syscall
     2.47s 12.42% 25.96%      3.78s 19.01%  runtime.scanobject
     0.94s  4.73% 30.68%      0.97s  4.88%  syscall.Syscall6
     0.93s  4.68% 35.36%      0.93s  4.68%  runtime.memclrNoHeapPointers
     0.82s  4.12% 39.49%      2.68s 13.48%  runtime.mallocgc
     0.75s  3.77% 43.26%      0.75s  3.77%  runtime.greyobject
     0.69s  3.47% 46.73%      0.69s  3.47%  runtime.heapBitsForObject
     0.65s  3.27% 50.00%      0.65s  3.27%  encoding/json.stateInString
     0.56s  2.82% 52.82%      1.19s  5.99%  encoding/json.(*Decoder).readValue
     0.38s  1.91% 54.73%      0.84s  4.23%  encoding/json.(*decodeState).scanWhile
     0.32s  1.61% 56.34%      0.32s  1.61%  runtime.memmove
     0.30s  1.51% 57.85%      0.30s  1.51%  runtime.futex
     0.27s  1.36% 59.21%      1.11s  5.58%  runtime.mapassign
     0.26s  1.31% 60.51%      0.26s  1.31%  runtime.aeshashbody
     0.25s  1.26% 61.77%      0.25s  1.26%  encoding/json.unquoteBytes
     0.21s  1.06% 62.83%      0.21s  1.06%  runtime.heapBitsSetType
     0.19s  0.96% 63.78%      3.24s 16.30%  encoding/json.(*decodeState).object
     0.16s   0.8% 64.59%      0.19s  0.96%  runtime.mapiternext
     0.15s  0.75% 65.34%      0.15s  0.75%  runtime._ExternalCode
     0.14s   0.7% 66.05%      0.14s   0.7%  runtime.lock
     0.13s  0.65% 66.70%      0.33s  1.66%  runtime.evacuate
     0.13s  0.65% 67.35%      0.13s  0.65%  runtime.readvarint
     0.11s  0.55% 67.91%      0.12s   0.6%  encoding/json.stateEndValue
     0.11s  0.55% 68.46%      0.66s  3.32%  runtime.gentraceback
     0.10s   0.5% 68.96%      0.66s  3.32%  runtime.(*mcentral).cacheSpan
     0.10s   0.5% 69.47%      0.15s  0.75%  runtime.bulkBarrierPreWrite
     0.10s   0.5% 69.97%      0.10s   0.5%  runtime.casgstatus
     0.10s   0.5% 70.47%      0.13s  0.65%  runtime.mapaccess1
     0.10s   0.5% 70.98%      0.25s  1.26%  runtime.sweepone
     0.09s  0.45% 71.43%      0.13s  0.65%  path.Clean
     0.09s  0.45% 71.88%      0.12s   0.6%  reflect.(*rtype).String
     0.09s  0.45% 72.33%      3.68s 18.51%  runtime.gcDrain
     0.09s  0.45% 72.79%      0.22s  1.11%  runtime.step
     0.08s   0.4% 73.19%      0.14s   0.7%  runtime.mapaccess2_faststr
     0.08s   0.4% 73.59%      0.83s  4.18%  runtime.newobject
     0.08s   0.4% 73.99%      0.26s  1.31%  syscall.ByteSliceFromString
     0.07s  0.35% 74.35%      0.26s  1.31%  encoding/json.(*decodeState).indirect
     0.07s  0.35% 74.70%      0.19s  0.96%  reflect.(*rtype).Name
     0.07s  0.35% 75.05%      0.32s  1.61%  runtime.pcvalue
     0.07s  0.35% 75.40%      0.50s  2.52%  runtime.rawstring
     0.07s  0.35% 75.75%      0.26s  1.31%  runtime.typedmemmove
     0.07s  0.35% 76.11%      0.15s  0.75%  strings.genSplit
     0.07s  0.35% 76.46%      0.12s   0.6%  syscall.ParseDirent
     0.06s   0.3% 76.76%      0.27s  1.36%  runtime.findrunnable
     0.06s   0.3% 77.06%      0.11s  0.55%  runtime.mapaccess1_faststr
     0.05s  0.25% 77.31%      0.14s   0.7%  runtime.scanblock
     0.05s  0.25% 77.57%      6.01s 30.23%  runtime.systemstack
     0.04s   0.2% 77.77%      0.35s  1.76%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.04s   0.2% 77.97%      0.20s  1.01%  runtime.concatstrings
     0.04s   0.2% 78.17%      1.05s  5.28%  runtime.makeslice
     0.03s  0.15% 78.32%      1.07s  5.38%  encoding/json.(*decodeState).literal
     0.03s  0.15% 78.47%      0.64s  3.22%  encoding/json.(*decodeState).literalStore
     0.03s  0.15% 78.62%      3.36s 16.90%  encoding/json.(*decodeState).value
     0.03s  0.15% 78.77%      0.11s  0.55%  fmt.(*pp).doPrintf
     0.03s  0.15% 78.92%      1.96s  9.86%  os.(*File).readdir
     0.03s  0.15% 79.07%      0.16s   0.8%  os.(*file).close
     0.03s  0.15% 79.23%      0.23s  1.16%  reflect.makeString
     0.03s  0.15% 79.38%      0.18s  0.91%  runtime.adjustframe
     0.03s  0.15% 79.53%      0.14s   0.7%  runtime.convT2E
     0.03s  0.15% 79.68%      0.11s  0.55%  runtime.gcmarkwb_m
     0.03s  0.15% 79.83%      0.53s  2.67%  runtime.rawstringtmp
     0.03s  0.15% 79.98%      0.17s  0.86%  runtime.scanframeworker
     0.03s  0.15% 80.13%      0.18s  0.91%  runtime.selectgoImpl
     0.02s   0.1% 80.23%      3.28s 16.50%  encoding/json.(*decodeState).array
     0.02s   0.1% 80.33%      0.10s   0.5%  encoding/json.cachedTypeFields
     0.02s   0.1% 80.43%      0.75s  3.77%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getMemoryData
