57.61MB of 57.61MB total (  100%)
Dropped 1383 nodes (cum <= 0.29MB)
      flat  flat%   sum%        cum   cum%
   12.50MB 21.70% 21.70%    12.50MB 21.70%  runtime.rawstringtmp
    6.76MB 11.74% 33.44%     6.76MB 11.74%  runtime.hashGrow
    6.50MB 11.29% 44.73%    13.27MB 23.03%  runtime.mapassign
    6.01MB 10.42% 55.16%     6.51MB 11.29%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    4.05MB  7.03% 62.18%     4.05MB  7.03%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    3.83MB  6.65% 68.83%     3.83MB  6.65%  bytes.makeSlice
    3.51MB  6.10% 74.93%     3.51MB  6.10%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    1.01MB  1.76% 76.69%     1.01MB  1.76%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.74% 78.43%        1MB  1.74%  runtime.makemap
    0.79MB  1.37% 79.80%     0.79MB  1.37%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.60MB  1.03% 80.83%     0.60MB  1.03%  runtime.stringtoslicebyte
    0.52MB   0.9% 81.73%     0.52MB   0.9%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.52MB   0.9% 82.62%     0.52MB   0.9%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumes
    0.50MB  0.87% 83.50%     0.50MB  0.87%  strings.NewReplacer
    0.50MB  0.87% 84.37%     0.50MB  0.87%  os.(*File).readdirnames
    0.50MB  0.87% 85.24%     0.50MB  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.87% 86.11%     0.50MB  0.87%  regexp/syntax.(*compiler).quest
    0.50MB  0.87% 86.98%     1.53MB  2.65%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*Scheme).AddKnownTypeWithName
    0.50MB  0.87% 87.85%     0.50MB  0.87%  encoding/pem.Decode
