21945.72kB of 21945.72kB total (  100%)
Dropped 971 nodes (cum <= 109.73kB)
      flat  flat%   sum%        cum   cum%
 4144.18kB 18.88% 18.88%  4144.18kB 18.88%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 3250.27kB 14.81% 33.69%  3250.27kB 14.81%  runtime.hashGrow
 2341.60kB 10.67% 44.36%  2341.60kB 10.67%  bytes.makeSlice
 2049.02kB  9.34% 53.70%  5299.29kB 24.15%  runtime.mapassign
 1536.34kB  7.00% 60.70%  1536.34kB  7.00%  runtime.rawstringtmp
 1036.05kB  4.72% 65.42%  1036.05kB  4.72%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
  809.97kB  3.69% 69.11%   809.97kB  3.69%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  609.50kB  2.78% 71.89%   609.50kB  2.78%  runtime.stringtoslicebyte
  528.17kB  2.41% 74.30%   528.17kB  2.41%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
     515kB  2.35% 76.64%      515kB  2.35%  strings.NewReplacer
  513.31kB  2.34% 78.98%   513.31kB  2.34%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
  513.31kB  2.34% 81.32%   513.31kB  2.34%  regexp/syntax.(*compiler).quest
  512.88kB  2.34% 83.66%   512.88kB  2.34%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
  512.75kB  2.34% 86.00%  1562.34kB  7.12%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*Scheme).AddKnownTypeWithName
  512.56kB  2.34% 88.33%   512.56kB  2.34%  encoding/pem.Decode
  512.44kB  2.34% 90.67%  1024.54kB  4.67%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
  512.28kB  2.33% 93.00%  1024.42kB  4.67%  github.com/openshift/origin/vendor/github.com/lestrrat/go-jsschema.New
  512.03kB  2.33% 95.33%   512.03kB  2.33%  github.com/openshift/origin/vendor/golang.org/x/net/trace.newFamily.func1
  512.03kB  2.33% 97.67%   512.03kB  2.33%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.convertToRuntimeSecurityContext
  512.02kB  2.33%   100%   512.02kB  2.33%  runtime.makemap
         0     0%   100%  2341.60kB 10.67%  bytes.(*Buffer).ReadFrom
         0     0%   100%   512.56kB  2.34%  crypto/tls.(*Conn).Handshake
         0     0%   100%   512.56kB  2.34%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%   512.56kB  2.34%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%   512.56kB  2.34%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%   512.56kB  2.34%  crypto/x509.(*Certificate).Verify
         0     0%   100%   512.56kB  2.34%  crypto/x509.initSystemRoots
         0     0%   100%   512.56kB  2.34%  crypto/x509.loadSystemRoots
         0     0%   100%   512.56kB  2.34%  crypto/x509.systemRootsPool
         0     0%   100%  2048.45kB  9.33%  encoding/json.(*Decoder).Decode
         0     0%   100%  1024.03kB  4.67%  encoding/json.(*decodeState).array
         0     0%   100%  1024.03kB  4.67%  encoding/json.(*decodeState).literal
         0     0%   100%  1024.03kB  4.67%  encoding/json.(*decodeState).literalStore
         0     0%   100%  2560.73kB 11.67%  encoding/json.(*decodeState).object
         0     0%   100%  2560.73kB 11.67%  encoding/json.(*decodeState).unmarshal
         0     0%   100%  2560.73kB 11.67%  encoding/json.(*decodeState).value
         0     0%   100%   512.28kB  2.33%  encoding/json.Unmarshal
         0     0%   100%      514kB  2.34%  github.com/openshift/origin/pkg/apps/cmd.init
         0     0%   100%      514kB  2.34%  github.com/openshift/origin/pkg/apps/generated/internalclientset.init
         0     0%   100%      514kB  2.34%  github.com/openshift/origin/pkg/apps/generated/internalclientset/scheme.init
         0     0%   100%      514kB  2.34%  github.com/openshift/origin/pkg/apps/generated/internalclientset/scheme.init.1
         0     0%   100%      514kB  2.34%  github.com/openshift/origin/pkg/apps/generated/internalclientset/typed/apps/internalversion.init
         0     0%   100%   609.50kB  2.78%  github.com/openshift/origin/pkg/auth/server/selectprovider.init
         0     0%   100%  1545.15kB  7.04%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%  1025.63kB  4.67%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%  1025.63kB  4.67%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100% 10249.02kB 46.70%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%     1122kB  5.11%  github.com/openshift/origin/pkg/cmd/server/admin.init
         0     0%   100%   512.50kB  2.34%  github.com/openshift/origin/pkg/cmd/server/kubernetes/master.init
         0     0%   100%   518.02kB  2.36%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.(*NodeConfig).RunKubelet.func1
         0     0%   100%   512.50kB  2.34%  github.com/openshift/origin/pkg/cmd/server/origin/rest.init
         0     0%   100%  5087.36kB 23.18%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%  1027.13kB  4.68%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0%   100%  1024.03kB  4.67%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0%   100%   518.02kB  2.36%  github.com/openshift/origin/pkg/cmd/util/docker.init
         0     0%   100%   513.12kB  2.34%  github.com/openshift/origin/pkg/image/apis/image/install.Install
         0     0%   100%   513.12kB  2.34%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.Install
         0     0%   100%   513.12kB  2.34%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init
         0     0%   100%   513.12kB  2.34%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init.1
         0     0%   100%   513.12kB  2.34%  github.com/openshift/origin/pkg/image/generated/internalclientset/typed/image/internalversion.init
         0     0%   100%  1036.04kB  4.72%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0%   100%  1036.04kB  4.72%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0%   100%   518.02kB  2.36%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0%   100%   518.02kB  2.36%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0%   100%   518.02kB  2.36%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).(github.com/openshift/origin/pkg/network/proxy.watchNetNamespaces)-fm
         0     0%   100%   518.02kB  2.36%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).watchNetNamespaces
         0     0%   100%   512.31kB  2.33%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0%   100%   513.31kB  2.34%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0%   100%   513.31kB  2.34%  github.com/openshift/origin/pkg/oc/cli/cmd.NewCmdDelete
         0     0%   100%  1545.15kB  7.04%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0%   100%   513.12kB  2.34%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0%   100%  1024.42kB  4.67%  github.com/openshift/origin/pkg/templateservicebroker/cmd/server.init
         0     0%   100%  1024.42kB  4.67%  github.com/openshift/origin/pkg/templateservicebroker/openservicebroker/api.init
         0     0%   100%  1024.42kB  4.67%  github.com/openshift/origin/pkg/templateservicebroker/openservicebroker/server.init
         0     0%   100%  1024.42kB  4.67%  github.com/openshift/origin/pkg/templateservicebroker/servicebroker.init
         0     0%   100%   512.50kB  2.34%  github.com/openshift/origin/pkg/util/restoptions.init
         0     0%   100%   513.31kB  2.34%  github.com/openshift/origin/vendor/github.com/PuerkitoBio/purell.init
         0     0%   100%  1036.05kB  4.72%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).Insert
         0     0%   100%  1036.05kB  4.72%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).flush
         0     0%   100%  1036.05kB  4.72%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).insert
