83.19MB of 83.19MB total (  100%)
Dropped 1545 nodes (cum <= 0.42MB)
      flat  flat%   sum%        cum   cum%
   14.50MB 17.43% 17.43%    14.50MB 17.43%  runtime.rawstringtmp
   10.50MB 12.63% 30.06%    18.51MB 22.25%  runtime.mapassign
    8.01MB  9.63% 39.69%     8.01MB  9.63%  runtime.hashGrow
    7.51MB  9.02% 48.71%     9.01MB 10.83%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    6.59MB  7.93% 56.64%     6.59MB  7.93%  bytes.makeSlice
    5.03MB  6.05% 62.69%     5.03MB  6.05%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    4.05MB  4.87% 67.55%     4.05MB  4.87%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.50MB  3.01% 70.56%     2.50MB  3.01%  runtime.makemap
       2MB  2.40% 72.96%        2MB  2.40%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    1.06MB  1.28% 74.24%     1.06MB  1.28%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumesForPod
    1.01MB  1.22% 75.46%     1.01MB  1.22%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.20% 76.66%     1.50MB  1.80%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*persistentVolumes).Get
       1MB  1.20% 77.86%        1MB  1.20%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
       1MB  1.20% 79.07%     1.50MB  1.80%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
       1MB  1.20% 80.27%        1MB  1.20%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/validation/field.NewPath
       1MB  1.20% 81.47%        1MB  1.20%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setCpuStats
    0.79MB  0.95% 82.42%     0.79MB  0.95%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.60MB  0.72% 83.14%     0.60MB  0.72%  runtime.stringtoslicebyte
    0.52MB  0.62% 83.76%     0.52MB  0.62%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.50MB   0.6% 84.36%     0.50MB   0.6%  strings.NewReplacer
    0.50MB   0.6% 84.97%     0.50MB   0.6%  net/http.(*Transport).dialConn
    0.50MB   0.6% 85.57%     0.50MB   0.6%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB   0.6% 86.17%     0.50MB   0.6%  regexp/syntax.(*compiler).quest
    0.50MB   0.6% 86.77%     1.53MB  1.83%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*Scheme).AddKnownTypeWithName
    0.50MB   0.6% 87.37%     0.50MB   0.6%  encoding/pem.Decode
    0.50MB   0.6% 87.98%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
    0.50MB   0.6% 88.58%        1MB  1.20%  github.com/openshift/origin/vendor/github.com/lestrrat/go-jsschema.New
    0.50MB   0.6% 89.18%        1MB  1.20%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    0.50MB   0.6% 89.78%        1MB  1.20%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB   0.6% 90.38%     0.50MB   0.6%  reflect.unsafe_New
    0.50MB   0.6% 90.98%     0.50MB   0.6%  runtime.malg
    0.50MB   0.6% 91.58%     0.50MB   0.6%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodStatus
    0.50MB   0.6% 92.19%     0.50MB   0.6%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/config.newSourceApiserverFromLW.func1
    0.50MB   0.6% 92.79%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/google/cadvisor/cache/memory.(*InMemoryCache).AddStats.func1
    0.50MB   0.6% 93.39%     0.50MB   0.6%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Capabilities).Unmarshal
    0.50MB   0.6% 93.99%        4MB  4.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListContainersResponse).Unmarshal
    0.50MB   0.6% 94.59%     8.50MB 10.22%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).GetPods
    0.50MB   0.6% 95.19%     4.50MB  5.41%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apis/meta/v1.(*ObjectMeta).Unmarshal
    0.50MB   0.6% 95.79%     0.50MB   0.6%  runtime.acquireSudog
    0.50MB   0.6% 96.39%     2.50MB  3.01%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.newDockerContainerHandler
    0.50MB   0.6% 96.99%     0.50MB   0.6%  github.com/openshift/origin/vendor/golang.org/x/net/trace.newFamily.func1
    0.50MB   0.6% 97.60%     0.50MB   0.6%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB   0.6% 98.20%        4MB  4.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
    0.50MB   0.6% 98.80%        1MB  1.20%  runtime.systemstack
    0.50MB   0.6% 99.40%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.New
    0.50MB   0.6%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/golang/groupcache/lru.(*Cache).Add
         0     0%   100%     4.26MB  5.12%  bytes.(*Buffer).ReadFrom
         0     0%   100%     0.79MB  0.95%  bytes.(*Buffer).Write
         0     0%   100%     1.54MB  1.86%  bytes.(*Buffer).WriteString
         0     0%   100%     2.34MB  2.81%  bytes.(*Buffer).grow
         0     0%   100%     0.50MB   0.6%  crypto/tls.(*Conn).Handshake
         0     0%   100%     0.50MB   0.6%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%     0.50MB   0.6%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%     0.50MB   0.6%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%     0.50MB   0.6%  crypto/x509.(*Certificate).Verify
         0     0%   100%     0.50MB   0.6%  crypto/x509.initSystemRoots
         0     0%   100%     0.50MB   0.6%  crypto/x509.loadSystemRoots
         0     0%   100%     0.50MB   0.6%  crypto/x509.systemRootsPool
         0     0%   100%        5MB  6.01%  encoding/json.(*Decoder).Decode
         0     0%   100%        3MB  3.61%  encoding/json.(*decodeState).array
         0     0%   100%        2MB  2.40%  encoding/json.(*decodeState).literal
         0     0%   100%        2MB  2.40%  encoding/json.(*decodeState).literalStore
         0     0%   100%     5.50MB  6.62%  encoding/json.(*decodeState).object
         0     0%   100%     5.50MB  6.62%  encoding/json.(*decodeState).unmarshal
         0     0%   100%     5.50MB  6.62%  encoding/json.(*decodeState).value
         0     0%   100%     0.50MB   0.6%  encoding/json.Unmarshal
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/apps/cmd.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/apps/generated/internalclientset.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/apps/generated/internalclientset/scheme.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/apps/generated/internalclientset/scheme.init.1
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/apps/generated/internalclientset/typed/apps/internalversion.init
         0     0%   100%     0.60MB  0.72%  github.com/openshift/origin/pkg/auth/server/selectprovider.init
         0     0%   100%     1.51MB  1.81%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100%    10.01MB 12.03%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%     1.10MB  1.32%  github.com/openshift/origin/pkg/cmd/server/admin.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/cmd/server/kubernetes/master.init
         0     0%   100%     0.51MB  0.61%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.(*NodeConfig).RunKubelet.func1
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/cmd/server/origin/rest.init
         0     0%   100%     4.97MB  5.97%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%        1MB  1.21%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0%   100%        3MB  3.61%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0%   100%     0.51MB  0.61%  github.com/openshift/origin/pkg/cmd/util/docker.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/image/apis/image/install.Install
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.Install
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init.1
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/image/generated/internalclientset/typed/image/internalversion.init
         0     0%   100%     1.01MB  1.22%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0%   100%     1.01MB  1.22%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0%   100%     0.51MB  0.61%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0%   100%     0.51MB  0.61%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0%   100%     0.51MB  0.61%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).(github.com/openshift/origin/pkg/network/proxy.watchNetNamespaces)-fm
         0     0%   100%     0.51MB  0.61%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).watchNetNamespaces
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/oc/cli/cmd.NewCmdDelete
         0     0%   100%     1.51MB  1.81%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/pkg/templateservicebroker/cmd/server.init
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/pkg/templateservicebroker/openservicebroker/api.init
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/pkg/templateservicebroker/openservicebroker/server.init
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/pkg/templateservicebroker/servicebroker.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/pkg/util/restoptions.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/PuerkitoBio/purell.init
         0     0%   100%     1.01MB  1.22%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).Insert
         0     0%   100%     1.01MB  1.22%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).flush
         0     0%   100%     1.01MB  1.22%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).insert
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/chai2010/gettext-go/gettext.(*domainManager).Bind
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/chai2010/gettext-go/gettext.(*domainManager).bindDomainTranslators
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/chai2010/gettext-go/gettext.BindTextdomain
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/chai2010/gettext-go/gettext.newMoTranslator
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/chai2010/gettext-go/gettext/mo.LoadData
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerInspect
         0     0%   100%        3MB  3.61%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/jsonreference.init
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.(*Schema).UnmarshalJSON
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.MustLoadSwagger20Schema
         0     0%   100%     0.50MB   0.6%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.Swagger20Schema
         0     0%   100%        1MB  1.20%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.init
         0     0%   100%     7.50MB  9.02%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0%   100%     7.50MB  9.02%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
