90.83s of 109.62s total (82.86%)
Dropped 1348 nodes (cum <= 0.55s)
      flat  flat%   sum%        cum   cum%
    13.73s 12.53% 12.53%     24.39s 22.25%  runtime.scanobject
    12.95s 11.81% 24.34%     13.64s 12.44%  syscall.Syscall
     5.85s  5.34% 29.68%      5.85s  5.34%  runtime.heapBitsForObject
     5.52s  5.04% 34.71%      5.54s  5.05%  runtime.greyobject
     4.51s  4.11% 38.83%     16.65s 15.19%  runtime.mallocgc
     4.51s  4.11% 42.94%      4.51s  4.11%  runtime.memclrNoHeapPointers
     3.94s  3.59% 46.53%      3.99s  3.64%  encoding/json.stateInString
     3.22s  2.94% 49.47%      6.22s  5.67%  encoding/json.(*decodeState).scanWhile
     3.11s  2.84% 52.31%      3.20s  2.92%  syscall.Syscall6
     2.71s  2.47% 54.78%      6.78s  6.19%  encoding/json.(*Decoder).readValue
     2.62s  2.39% 57.17%      2.62s  2.39%  runtime.memmove
     1.87s  1.71% 58.88%      1.94s  1.77%  encoding/json.unquoteBytes
     1.72s  1.57% 60.45%      7.08s  6.46%  runtime.mapassign
     1.59s  1.45% 61.90%      1.59s  1.45%  runtime.heapBitsSetType
     1.49s  1.36% 63.25%      1.73s  1.58%  runtime.mapiternext
     1.48s  1.35% 64.60%     23.83s 21.74%  encoding/json.(*decodeState).object
     1.16s  1.06% 65.66%      1.16s  1.06%  runtime.aeshashbody
        1s  0.91% 66.58%         1s  0.91%  runtime.futex
     0.86s  0.78% 67.36%      0.91s  0.83%  encoding/json.stateEndValue
     0.63s  0.57% 67.93%      0.82s  0.75%  path.Clean
     0.63s  0.57% 68.51%      0.63s  0.57%  runtime.(*mSpanList).remove
     0.62s  0.57% 69.07%      1.81s  1.65%  runtime.evacuate
     0.61s  0.56% 69.63%      1.79s  1.63%  runtime.typedmemmove
     0.58s  0.53% 70.16%      0.58s  0.53%  runtime.memeqbody
     0.50s  0.46% 70.62%      2.88s  2.63%  runtime.gentraceback
     0.46s  0.42% 71.04%      1.48s  1.35%  runtime.pcvalue
     0.44s   0.4% 71.44%     35.65s 32.52%  runtime.systemstack
     0.41s  0.37% 71.81%     21.59s 19.70%  runtime.gcDrain
