65.06s of 79.74s total (81.59%)
Dropped 1198 nodes (cum <= 0.40s)
      flat  flat%   sum%        cum   cum%
     9.99s 12.53% 12.53%     17.25s 21.63%  runtime.scanobject
     9.73s 12.20% 24.73%     10.12s 12.69%  syscall.Syscall
     4.12s  5.17% 29.90%      4.12s  5.17%  runtime.heapBitsForObject
     3.77s  4.73% 34.63%      3.77s  4.73%  runtime.greyobject
     3.40s  4.26% 38.89%      3.40s  4.26%  runtime.memclrNoHeapPointers
     3.37s  4.23% 43.12%     11.66s 14.62%  runtime.mallocgc
     2.84s  3.56% 46.68%      2.93s  3.67%  encoding/json.stateInString
     2.36s  2.96% 49.64%      2.41s  3.02%  syscall.Syscall6
     2.29s  2.87% 52.51%      5.42s  6.80%  encoding/json.(*Decoder).readValue
     2.13s  2.67% 55.18%      4.08s  5.12%  encoding/json.(*decodeState).scanWhile
     1.96s  2.46% 57.64%      1.96s  2.46%  runtime.memmove
     1.52s  1.91% 59.54%      5.15s  6.46%  runtime.mapassign
     1.29s  1.62% 61.16%      1.29s  1.62%  runtime.heapBitsSetType
     1.19s  1.49% 62.65%      1.24s  1.56%  encoding/json.unquoteBytes
        1s  1.25% 63.91%     16.78s 21.04%  encoding/json.(*decodeState).object
     0.87s  1.09% 65.00%      1.11s  1.39%  runtime.mapiternext
     0.85s  1.07% 66.06%      0.85s  1.07%  runtime.aeshashbody
     0.71s  0.89% 66.96%      0.71s  0.89%  runtime.futex
     0.64s   0.8% 67.76%      1.49s  1.87%  runtime.evacuate
     0.47s  0.59% 68.35%     16.25s 20.38%  runtime.gcDrain
     0.45s  0.56% 68.91%      0.49s  0.61%  runtime.unlock
     0.43s  0.54% 69.45%      1.26s  1.58%  runtime.typedmemmove
     0.39s  0.49% 69.94%      0.59s  0.74%  path.Clean
     0.38s  0.48% 70.42%      0.55s  0.69%  runtime.mapaccess2_faststr
     0.34s  0.43% 70.84%      2.06s  2.58%  runtime.gentraceback
     0.34s  0.43% 71.27%      0.99s  1.24%  runtime.pcvalue
     0.32s   0.4% 71.67%      0.68s  0.85%  runtime.bulkBarrierPreWrite
     0.32s   0.4% 72.07%      1.05s  1.32%  runtime.writebarrierptr_prewrite1
     0.31s  0.39% 72.46%      0.80s  1.00%  reflect.(*rtype).Name
     0.31s  0.39% 72.85%     25.97s 32.57%  runtime.systemstack
     0.30s  0.38% 73.23%      1.06s  1.33%  runtime.sweepone
     0.27s  0.34% 73.56%      0.90s  1.13%  syscall.ByteSliceFromString
     0.26s  0.33% 73.89%      0.55s  0.69%  runtime.step
     0.25s  0.31% 74.20%      0.50s  0.63%  reflect.(*rtype).String
     0.25s  0.31% 74.52%      0.54s  0.68%  runtime.mapaccess1
     0.24s   0.3% 74.82%      1.64s  2.06%  encoding/json.(*decodeState).indirect
     0.23s  0.29% 75.11%      3.21s  4.03%  runtime.slicebytetostring
     0.20s  0.25% 75.36%      2.70s  3.39%  runtime.rawstringtmp
     0.18s  0.23% 75.58%      0.46s  0.58%  runtime.scanblock
     0.17s  0.21% 75.80%      3.56s  4.46%  encoding/json.(*decodeState).literalStore
     0.17s  0.21% 76.01%      0.66s  0.83%  runtime.gcmarkwb_m
     0.16s   0.2% 76.21%      1.70s  2.13%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.16s   0.2% 76.41%      0.56s   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.16s   0.2% 76.61%      2.03s  2.55%  runtime.(*mcentral).cacheSpan
     0.16s   0.2% 76.81%      0.85s  1.07%  runtime.concatstrings
     0.16s   0.2% 77.01%      3.59s  4.50%  runtime.newobject
     0.16s   0.2% 77.21%      2.50s  3.14%  runtime.rawstring
     0.15s  0.19% 77.40%      0.66s  0.83%  runtime.(*mspan).sweep
     0.14s  0.18% 77.58%      0.69s  0.87%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.14s  0.18% 77.75%      0.49s  0.61%  runtime.shade
     0.14s  0.18% 77.93%      0.45s  0.56%  strings.genSplit
     0.11s  0.14% 78.07%      2.04s  2.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.11s  0.14% 78.20%      1.72s  2.16%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.11s  0.14% 78.34%      0.59s  0.74%  reflect.(*rtype).ptrTo
     0.10s  0.13% 78.47%      0.48s   0.6%  strings.Replace
     0.09s  0.11% 78.58%      0.48s   0.6%  reflect.(*rtype).typeOff
     0.09s  0.11% 78.69%      0.68s  0.85%  runtime.convT2E
     0.09s  0.11% 78.81%      0.75s  0.94%  runtime.findrunnable
     0.09s  0.11% 78.92%      4.25s  5.33%  runtime.makeslice
     0.09s  0.11% 79.03%      0.75s  0.94%  runtime.writebarrierptr_prewrite1.func1
     0.08s   0.1% 79.13%      6.02s  7.55%  encoding/json.(*decodeState).literal
     0.08s   0.1% 79.23%         1s  1.25%  reflect.New
     0.08s   0.1% 79.33%      0.47s  0.59%  reflect.Value.Addr
     0.08s   0.1% 79.43%      0.59s  0.74%  reflect.deepValueEqual
     0.08s   0.1% 79.53%      0.84s  1.05%  runtime.scanframeworker
     0.07s 0.088% 79.62%      0.40s   0.5%  reflect.Zero
     0.06s 0.075% 79.70%     17.06s 21.39%  encoding/json.(*decodeState).value
     0.06s 0.075% 79.77%      0.98s  1.23%  runtime.schedule
     0.06s 0.075% 79.85%      0.41s  0.51%  runtime.selectgoImpl
     0.05s 0.063% 79.91%      0.40s   0.5%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.05s 0.063% 79.97%      0.44s  0.55%  reflect.MakeSlice
     0.05s 0.063% 80.04%      2.22s  2.78%  reflect.Value.SetMapIndex
     0.05s 0.063% 80.10%      1.02s  1.28%  reflect.makeString
     0.05s 0.063% 80.16%      1.97s  2.47%  runtime.gcDrainN
     0.05s 0.063% 80.22%      5.52s  6.92%  syscall.Lstat
     0.04s  0.05% 80.27%      1.04s  1.30%  bufio.(*Scanner).Scan
     0.04s  0.05% 80.32%     16.97s 21.28%  encoding/json.(*decodeState).array
     0.04s  0.05% 80.37%      0.46s  0.58%  encoding/json.cachedTypeFields
     0.04s  0.05% 80.42%      4.52s  5.67%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.04s  0.05% 80.47%      2.02s  2.53%  reflect.mapassign
     0.04s  0.05% 80.52%      2.37s  2.97%  runtime.(*mcache).nextFree
     0.04s  0.05% 80.57%      1.62s  2.03%  runtime.newarray
     0.04s  0.05% 80.62%      2.39s  3.00%  syscall.openat
     0.03s 0.038% 80.66%      7.60s  9.53%  os.(*File).readdir
     0.03s 0.038% 80.70%      6.02s  7.55%  os.Lstat
     0.03s 0.038% 80.74%      1.41s  1.77%  reflect.cvtBytesString
     0.03s 0.038% 80.78%      1.15s  1.44%  reflect.unsafe_New
     0.03s 0.038% 80.81%      0.97s  1.22%  runtime.hashGrow
     0.03s 0.038% 80.85%      1.12s  1.40%  runtime.mcall
     0.02s 0.025% 80.88%      1.46s  1.83%  bytes.(*Buffer).ReadFrom
     0.02s 0.025% 80.90%      3.03s  3.80%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readString
     0.02s 0.025% 80.93%      1.46s  1.83%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.containerToRuntimeAPISandbox
     0.02s 0.025% 80.95%      0.56s   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.getJSONObjectFromLabel
     0.02s 0.025% 80.98%      1.58s  1.98%  io/ioutil.readAll
     0.02s 0.025% 81.00%      1.49s  1.87%  os.(*File).read
     0.02s 0.025% 81.03%      1.87s  2.35%  runtime.(*mheap).alloc
     0.02s 0.025% 81.05%      0.50s  0.63%  runtime.funcspdelta
     0.02s 0.025% 81.08%      0.71s  0.89%  runtime.writebarrierptr
     0.02s 0.025% 81.10%      1.80s  2.26%  syscall.Read
     0.02s 0.025% 81.13%      2.37s  2.97%  syscall.Stat
     0.02s 0.025% 81.15%      1.78s  2.23%  syscall.read
     0.01s 0.013% 81.16%     22.16s 27.79%  encoding/json.(*Decoder).Decode
     0.01s 0.013% 81.18%     17.11s 21.46%  encoding/json.(*decodeState).unmarshal
