101.89s of 120.70s total (84.42%)
Dropped 1295 nodes (cum <= 0.60s)
      flat  flat%   sum%        cum   cum%
    14.41s 11.94% 11.94%     15.12s 12.53%  syscall.Syscall
    14.21s 11.77% 23.71%     25.77s 21.35%  runtime.scanobject
     6.26s  5.19% 28.90%      6.26s  5.19%  runtime.heapBitsForObject
        6s  4.97% 33.87%      6.01s  4.98%  runtime.greyobject
     5.57s  4.61% 38.48%      5.57s  4.61%  runtime.memclrNoHeapPointers
     5.27s  4.37% 42.85%     19.94s 16.52%  runtime.mallocgc
     4.65s  3.85% 46.70%      4.70s  3.89%  encoding/json.stateInString
     3.90s  3.23% 49.93%      4.01s  3.32%  syscall.Syscall6
     3.36s  2.78% 52.72%      6.62s  5.48%  encoding/json.(*decodeState).scanWhile
     3.01s  2.49% 55.21%      7.36s  6.10%  encoding/json.(*Decoder).readValue
     2.79s  2.31% 57.52%      2.79s  2.31%  runtime.memmove
     2.13s  1.76% 59.29%      8.32s  6.89%  runtime.mapassign
     1.92s  1.59% 60.88%      2.01s  1.67%  encoding/json.unquoteBytes
     1.65s  1.37% 62.25%     26.41s 21.88%  encoding/json.(*decodeState).object
     1.65s  1.37% 63.61%      1.65s  1.37%  runtime.heapBitsSetType
     1.51s  1.25% 64.86%      1.94s  1.61%  runtime.mapiternext
     1.27s  1.05% 65.92%      1.27s  1.05%  runtime.aeshashbody
     1.14s  0.94% 66.86%      1.14s  0.94%  runtime.(*mSpanList).remove
     1.06s  0.88% 67.74%      1.06s  0.88%  runtime.futex
     0.72s   0.6% 68.33%      1.89s  1.57%  runtime.evacuate
     0.71s  0.59% 68.92%      0.75s  0.62%  encoding/json.stateEndValue
     0.71s  0.59% 69.51%      3.22s  2.67%  runtime.gentraceback
     0.67s  0.56% 70.07%      0.89s  0.74%  path.Clean
     0.64s  0.53% 70.60%      0.64s  0.53%  runtime.memeqbody
     0.62s  0.51% 71.11%      2.01s  1.67%  runtime.typedmemmove
     0.60s   0.5% 71.61%     22.84s 18.92%  runtime.gcDrain
     0.60s   0.5% 72.10%     39.59s 32.80%  runtime.systemstack
     0.59s  0.49% 72.59%      0.61s  0.51%  runtime.lock
     0.59s  0.49% 73.08%      1.55s  1.28%  runtime.sweepone
     0.56s  0.46% 73.55%      0.62s  0.51%  runtime.unlock
