49.96s of 61.29s total (81.51%)
Dropped 1231 nodes (cum <= 0.31s)
      flat  flat%   sum%        cum   cum%
     7.74s 12.63% 12.63%     13.05s 21.29%  runtime.scanobject
     7.34s 11.98% 24.60%      7.62s 12.43%  syscall.Syscall
     3.09s  5.04% 29.65%      3.09s  5.04%  runtime.greyobject
     2.82s  4.60% 34.25%      2.82s  4.60%  runtime.memclrNoHeapPointers
     2.81s  4.58% 38.83%      9.16s 14.95%  runtime.mallocgc
     2.71s  4.42% 43.25%      2.71s  4.42%  runtime.heapBitsForObject
     2.17s  3.54% 46.79%      2.19s  3.57%  encoding/json.stateInString
     2.08s  3.39% 50.19%      2.14s  3.49%  syscall.Syscall6
     1.74s  2.84% 53.03%      1.74s  2.84%  runtime.memmove
     1.58s  2.58% 55.60%      3.09s  5.04%  encoding/json.(*decodeState).scanWhile
     1.36s  2.22% 57.82%      3.46s  5.65%  encoding/json.(*Decoder).readValue
     1.11s  1.81% 59.63%      4.22s  6.89%  runtime.mapassign
     1.02s  1.66% 61.30%      1.06s  1.73%  encoding/json.unquoteBytes
     0.85s  1.39% 62.69%      0.85s  1.39%  runtime.heapBitsSetType
     0.73s  1.19% 63.88%     12.86s 20.98%  encoding/json.(*decodeState).object
     0.68s  1.11% 64.99%      0.68s  1.11%  runtime.aeshashbody
     0.65s  1.06% 66.05%      0.82s  1.34%  runtime.mapiternext
     0.46s  0.75% 66.80%      0.46s  0.75%  runtime.futex
     0.45s  0.73% 67.53%      1.20s  1.96%  runtime.evacuate
     0.42s  0.69% 68.22%      0.43s   0.7%  runtime.unlock
     0.37s   0.6% 68.82%      0.50s  0.82%  path.Clean
     0.36s  0.59% 69.41%      0.40s  0.65%  encoding/json.stateEndValue
     0.32s  0.52% 69.93%     12.14s 19.81%  runtime.gcDrain
     0.30s  0.49% 70.42%      1.73s  2.82%  runtime.gentraceback
     0.30s  0.49% 70.91%      0.45s  0.73%  runtime.mapaccess2_faststr
     0.27s  0.44% 71.35%      0.82s  1.34%  runtime.pcvalue
     0.27s  0.44% 71.79%     19.57s 31.93%  runtime.systemstack
     0.26s  0.42% 72.21%         1s  1.63%  runtime.typedmemmove
     0.26s  0.42% 72.64%      0.67s  1.09%  syscall.ByteSliceFromString
     0.24s  0.39% 73.03%      0.46s  0.75%  reflect.(*rtype).String
     0.22s  0.36% 73.39%      0.68s  1.11%  reflect.(*rtype).Name
     0.19s  0.31% 73.70%      0.44s  0.72%  runtime.scanblock
     0.18s  0.29% 73.99%      2.52s  4.11%  runtime.slicebytetostring
     0.18s  0.29% 74.29%      0.42s  0.69%  runtime.step
     0.18s  0.29% 74.58%      0.71s  1.16%  runtime.sweepone
     0.17s  0.28% 74.86%      0.46s  0.75%  runtime.bulkBarrierPreWrite
     0.17s  0.28% 75.13%      1.98s  3.23%  runtime.rawstring
