4.58s of 5.57s total (82.23%)
Dropped 458 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.22s 21.90% 21.90%      1.32s 23.70%  syscall.Syscall
     0.56s 10.05% 31.96%      0.81s 14.54%  runtime.scanobject
     0.42s  7.54% 39.50%      0.45s  8.08%  syscall.Syscall6
     0.29s  5.21% 44.70%      0.29s  5.21%  runtime.memclrNoHeapPointers
     0.17s  3.05% 47.76%      0.68s 12.21%  runtime.mallocgc
     0.15s  2.69% 50.45%      0.15s  2.69%  encoding/json.stateInString
     0.15s  2.69% 53.14%      0.15s  2.69%  runtime.futex
     0.13s  2.33% 55.48%      0.13s  2.33%  runtime.greyobject
     0.12s  2.15% 57.63%      0.12s  2.15%  runtime.heapBitsForObject
     0.10s  1.80% 59.43%      0.10s  1.80%  runtime.memmove
     0.08s  1.44% 60.86%      0.08s  1.44%  runtime.heapBitsSetType
     0.07s  1.26% 62.12%      0.19s  3.41%  encoding/json.(*Decoder).readValue
     0.06s  1.08% 63.20%      0.06s  1.08%  runtime.readvarint
     0.05s   0.9% 64.09%      0.05s   0.9%  runtime.reentersyscall
     0.05s   0.9% 64.99%      0.06s  1.08%  runtime.unlock
     0.04s  0.72% 65.71%      0.04s  0.72%  runtime.duffcopy
     0.04s  0.72% 66.43%      0.04s  0.72%  runtime.lock
     0.04s  0.72% 67.15%      0.12s  2.15%  runtime.pcvalue
     0.04s  0.72% 67.86%      0.09s  1.62%  strings.FieldsFunc
     0.04s  0.72% 68.58%      0.04s  0.72%  syscall.RawSyscall
     0.03s  0.54% 69.12%      0.33s  5.92%  encoding/json.(*decodeState).object
     0.03s  0.54% 69.66%      0.03s  0.54%  path.Clean
     0.03s  0.54% 70.20%      0.07s  1.26%  runtime.exitsyscall
     0.03s  0.54% 70.74%      0.83s 14.90%  runtime.gcDrain
     0.03s  0.54% 71.27%      0.12s  2.15%  runtime.mapassign
     0.02s  0.36% 71.63%      0.12s  2.15%  encoding/json.(*decodeState).scanWhile
     0.02s  0.36% 71.99%      0.07s  1.26%  runtime.entersyscall
     0.02s  0.36% 72.35%      0.03s  0.54%  runtime.exitsyscallfast
     0.02s  0.36% 72.71%      0.03s  0.54%  runtime.findfunc
     0.02s  0.36% 73.07%      0.10s  1.80%  runtime.findrunnable
     0.02s  0.36% 73.43%      0.19s  3.41%  runtime.gentraceback
     0.02s  0.36% 73.79%      0.05s   0.9%  runtime.growslice
     0.02s  0.36% 74.15%      0.44s  7.90%  runtime.makeslice
     0.02s  0.36% 74.51%      0.06s  1.08%  runtime.newarray
     0.02s  0.36% 74.87%      0.05s   0.9%  runtime.typedmemmove
     0.02s  0.36% 75.22%      0.12s  2.15%  syscall.ByteSliceFromString
     0.02s  0.36% 75.58%      0.04s  0.72%  syscall.ParseDirent
     0.01s  0.18% 75.76%      0.09s  1.62%  bufio.(*Scanner).Scan
     0.01s  0.18% 75.94%      0.35s  6.28%  encoding/json.(*decodeState).value
     0.01s  0.18% 76.12%      0.04s  0.72%  encoding/json.(*encodeState).string
     0.01s  0.18% 76.30%      0.03s  0.54%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).insert
     0.01s  0.18% 76.48%      0.06s  1.08%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
     0.01s  0.18% 76.66%      0.09s  1.62%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamKeyValue
     0.01s  0.18% 76.84%      0.41s  7.36%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamUint
     0.01s  0.18% 77.02%      0.03s  0.54%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCpuUsageBreakdown
     0.01s  0.18% 77.20%      0.41s  7.36%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getMemoryData
     0.01s  0.18% 77.38%      0.04s  0.72%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).RoundTrip
     0.01s  0.18% 77.56%      0.04s  0.72%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.01s  0.18% 77.74%      0.03s  0.54%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.01s  0.18% 77.92%      0.06s  1.08%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/remote.(*RemoteRuntimeService).ListPodSandbox
     0.01s  0.18% 78.10%      1.13s 20.29%  io/ioutil.ReadDir
     0.01s  0.18% 78.28%      0.06s  1.08%  net.(*netFD).Write
     0.01s  0.18% 78.46%      0.10s  1.80%  net/http.(*Transport).RoundTrip
     0.01s  0.18% 78.64%      0.07s  1.26%  net/http.ReadResponse
