33.11s of 41.16s total (80.44%)
Dropped 1123 nodes (cum <= 0.21s)
      flat  flat%   sum%        cum   cum%
     5.30s 12.88% 12.88%      8.52s 20.70%  runtime.scanobject
     5.28s 12.83% 25.70%      5.59s 13.58%  syscall.Syscall
     1.90s  4.62% 30.32%      1.90s  4.62%  runtime.greyobject
     1.88s  4.57% 34.89%      1.88s  4.57%  runtime.memclrNoHeapPointers
     1.54s  3.74% 38.63%      1.54s  3.74%  runtime.heapBitsForObject
     1.48s  3.60% 42.23%      5.45s 13.24%  runtime.mallocgc
     1.45s  3.52% 45.75%      1.46s  3.55%  syscall.Syscall6
     1.39s  3.38% 49.13%      1.40s  3.40%  encoding/json.stateInString
     1.11s  2.70% 51.82%      2.51s  6.10%  encoding/json.(*Decoder).readValue
        1s  2.43% 54.25%      1.98s  4.81%  encoding/json.(*decodeState).scanWhile
     0.97s  2.36% 56.61%      0.97s  2.36%  runtime.memmove
     0.70s  1.70% 58.31%      2.62s  6.37%  runtime.mapassign
     0.59s  1.43% 59.74%      0.60s  1.46%  encoding/json.unquoteBytes
     0.59s  1.43% 61.18%      0.68s  1.65%  runtime.mapiternext
     0.52s  1.26% 62.44%      0.52s  1.26%  runtime.heapBitsSetType
     0.47s  1.14% 63.58%      7.99s 19.41%  encoding/json.(*decodeState).object
     0.42s  1.02% 64.60%      0.42s  1.02%  runtime.futex
     0.40s  0.97% 65.57%      0.40s  0.97%  runtime.aeshashbody
     0.29s   0.7% 66.28%      1.42s  3.45%  runtime.gentraceback
     0.29s   0.7% 66.98%      0.67s  1.63%  runtime.pcvalue
     0.27s  0.66% 67.64%      0.68s  1.65%  runtime.evacuate
     0.26s  0.63% 68.27%      8.30s 20.17%  runtime.gcDrain
     0.25s  0.61% 68.88%      0.54s  1.31%  reflect.(*rtype).Name
     0.22s  0.53% 69.41%      1.08s  2.62%  runtime.rawstring
     0.22s  0.53% 69.95%      0.69s  1.68%  runtime.typedmemmove
     0.20s  0.49% 70.43%      0.49s  1.19%  syscall.ByteSliceFromString
     0.19s  0.46% 70.89%      0.22s  0.53%  path.Clean
     0.19s  0.46% 71.36%      0.35s  0.85%  runtime.step
     0.18s  0.44% 71.79%     13.14s 31.92%  runtime.systemstack
     0.15s  0.36% 72.16%      0.24s  0.58%  runtime.mapaccess2_faststr
     0.14s  0.34% 72.50%      0.29s   0.7%  reflect.(*rtype).String
     0.13s  0.32% 72.81%      0.25s  0.61%  runtime.mapaccess1
     0.13s  0.32% 73.13%      0.33s   0.8%  runtime.mapiterinit
     0.13s  0.32% 73.45%      0.44s  1.07%  runtime.sweepone
     0.12s  0.29% 73.74%      0.83s  2.02%  encoding/json.(*decodeState).indirect
     0.12s  0.29% 74.03%      0.31s  0.75%  runtime.bulkBarrierPreWrite
     0.12s  0.29% 74.32%      0.27s  0.66%  runtime.scanblock
     0.12s  0.29% 74.61%      1.40s  3.40%  runtime.slicebytetostring
     0.12s  0.29% 74.90%      0.39s  0.95%  runtime.writebarrierptr_prewrite1
     0.09s  0.22% 75.12%      0.67s  1.63%  reflect.deepValueEqual
     0.09s  0.22% 75.34%      1.12s  2.72%  runtime.(*mcentral).cacheSpan
     0.09s  0.22% 75.56%      0.25s  0.61%  runtime.gcmarkwb_m
     0.09s  0.22% 75.78%      1.63s  3.96%  runtime.newobject
     0.09s  0.22% 76.00%      0.33s   0.8%  runtime.selectgoImpl
     0.07s  0.17% 76.17%      0.28s  0.68%  runtime.convT2E
     0.07s  0.17% 76.34%      0.27s  0.66%  runtime.writebarrierptr
     0.06s  0.15% 76.48%      2.79s  6.78%  encoding/json.(*decodeState).literal
     0.06s  0.15% 76.63%      1.76s  4.28%  encoding/json.(*decodeState).literalStore
     0.06s  0.15% 76.77%      1.14s  2.77%  runtime.rawstringtmp
     0.05s  0.12% 76.90%      8.21s 19.95%  encoding/json.(*decodeState).value
     0.05s  0.12% 77.02%      0.99s  2.41%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.05s  0.12% 77.14%      0.44s  1.07%  reflect.New
     0.05s  0.12% 77.26%      0.79s  1.92%  reflect.Value.Convert
     0.05s  0.12% 77.38%      0.37s   0.9%  runtime.concatstrings
     0.05s  0.12% 77.50%      0.37s   0.9%  runtime.findrunnable
     0.04s 0.097% 77.60%      0.35s  0.85%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.04s 0.097% 77.70%      0.27s  0.66%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.04s 0.097% 77.79%      0.23s  0.56%  reflect.(*rtype).ptrTo
     0.04s 0.097% 77.89%      1.01s  2.45%  reflect.Value.SetMapIndex
     0.04s 0.097% 77.99%      0.68s  1.65%  reflect.cvtBytesString
     0.04s 0.097% 78.09%      1.38s  3.35%  runtime.(*mcache).nextFree
     0.04s 0.097% 78.18%      0.26s  0.63%  runtime.(*mspan).sweep
     0.04s 0.097% 78.28%      2.02s  4.91%  runtime.makeslice
     0.03s 0.073% 78.35%      0.81s  1.97%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.03s 0.073% 78.43%      0.28s  0.68%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*desiredStateOfWorld).GetVolumesToMount
     0.03s 0.073% 78.50%      3.67s  8.92%  os.(*File).readdir
     0.03s 0.073% 78.57%      0.46s  1.12%  reflect.makeString
     0.03s 0.073% 78.64%      0.68s  1.65%  runtime.gcDrainN
     0.03s 0.073% 78.72%      1.01s  2.45%  runtime.newarray
     0.03s 0.073% 78.79%      0.51s  1.24%  runtime.scanstack.func1
     0.03s 0.073% 78.86%      0.52s  1.26%  runtime.schedule
     0.03s 0.073% 78.94%      0.28s  0.68%  runtime.writebarrierptr_prewrite1.func1
     0.02s 0.049% 78.98%      2.30s  5.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
     0.02s 0.049% 79.03%      3.15s  7.65%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet.(*Kubelet).HandlePodCleanups
     0.02s 0.049% 79.08%      2.22s  5.39%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.(*podContainerManagerImpl).GetAllPodsFromCgroups
     0.02s 0.049% 79.13%      5.05s 12.27%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.(*dockerService).ListContainers
     0.02s 0.049% 79.18%      0.43s  1.04%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/populator.(*desiredStateOfWorldPopulator).findAndRemoveDeletedPods
     0.02s 0.049% 79.23%      0.35s  0.85%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.02s 0.049% 79.28%      2.40s  5.83%  io/ioutil.ReadFile
     0.02s 0.049% 79.32%      1.14s  2.77%  runtime.(*mcache).refill
