69.32MB of 69.32MB total (  100%)
Dropped 1483 nodes (cum <= 0.35MB)
      flat  flat%   sum%        cum   cum%
   16.50MB 23.80% 23.80%    16.50MB 23.80%  runtime.rawstringtmp
   10.48MB 15.12% 38.93%    10.48MB 15.12%  runtime.hashGrow
       8MB 11.55% 50.47%    18.49MB 26.67%  runtime.mapassign
    6.01MB  8.66% 59.14%     6.51MB  9.38%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    5.30MB  7.65% 66.79%     5.30MB  7.65%  bytes.makeSlice
    4.05MB  5.84% 72.62%     4.05MB  5.84%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    3.02MB  4.35% 76.98%     3.02MB  4.35%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    1.50MB  2.16% 79.14%     1.50MB  2.16%  runtime.makemap
    1.01MB  1.46% 80.60%     1.01MB  1.46%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.44% 82.04%     1.50MB  2.16%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
    0.79MB  1.14% 83.18%     0.79MB  1.14%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.60MB  0.86% 84.04%     0.60MB  0.86%  runtime.stringtoslicebyte
    0.52MB  0.76% 84.80%     0.52MB  0.76%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumesForPod
    0.52MB  0.74% 85.54%     0.52MB  0.74%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.51MB  0.73% 86.28%     0.51MB  0.73%  runtime.allgadd
    0.51MB  0.73% 87.01%     0.51MB  0.73%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).generateContainerConfig
    0.50MB  0.73% 87.73%     0.50MB  0.73%  strings.NewReplacer
    0.50MB  0.72% 88.45%     0.50MB  0.72%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.72% 89.18%     0.50MB  0.72%  regexp/syntax.(*compiler).quest
    0.50MB  0.72% 89.90%     1.53MB  2.20%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*Scheme).AddKnownTypeWithName
    0.50MB  0.72% 90.62%     0.50MB  0.72%  encoding/pem.Decode
    0.50MB  0.72% 91.34%        1MB  1.44%  github.com/openshift/origin/vendor/github.com/lestrrat/go-jsschema.New
    0.50MB  0.72% 92.06%        1MB  1.44%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*persistentVolumes).Get
    0.50MB  0.72% 92.79%        1MB  1.44%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    0.50MB  0.72% 93.51%     0.50MB  0.72%  reflect.unsafe_New
