77.06s of 94.40s total (81.63%)
Dropped 1274 nodes (cum <= 0.47s)
      flat  flat%   sum%        cum   cum%
    11.71s 12.40% 12.40%        21s 22.25%  runtime.scanobject
    11.51s 12.19% 24.60%     12.12s 12.84%  syscall.Syscall
     4.98s  5.28% 29.87%      4.99s  5.29%  runtime.greyobject
     4.87s  5.16% 35.03%      4.87s  5.16%  runtime.heapBitsForObject
     4.08s  4.32% 39.35%      4.08s  4.32%  runtime.memclrNoHeapPointers
     3.89s  4.12% 43.47%     13.64s 14.45%  runtime.mallocgc
     3.45s  3.65% 47.13%      3.49s  3.70%  encoding/json.stateInString
     2.89s  3.06% 50.19%      2.94s  3.11%  syscall.Syscall6
     2.55s  2.70% 52.89%      5.09s  5.39%  encoding/json.(*decodeState).scanWhile
     2.27s  2.40% 55.30%      5.23s  5.54%  encoding/json.(*Decoder).readValue
     2.17s  2.30% 57.60%      2.17s  2.30%  runtime.memmove
     1.53s  1.62% 59.22%      6.15s  6.51%  runtime.mapassign
     1.44s  1.53% 60.74%      1.52s  1.61%  encoding/json.unquoteBytes
     1.39s  1.47% 62.21%      1.62s  1.72%  runtime.mapiternext
     1.38s  1.46% 63.68%      1.38s  1.46%  runtime.heapBitsSetType
     1.07s  1.13% 64.81%      1.07s  1.13%  runtime.aeshashbody
     1.01s  1.07% 65.88%     20.01s 21.20%  encoding/json.(*decodeState).object
     0.92s  0.97% 66.85%      0.92s  0.97%  runtime.futex
     0.54s  0.57% 67.43%      0.60s  0.64%  encoding/json.stateEndValue
     0.52s  0.55% 67.98%      0.78s  0.83%  path.Clean
     0.52s  0.55% 68.53%      1.51s  1.60%  runtime.evacuate
     0.49s  0.52% 69.05%      0.99s  1.05%  syscall.ByteSliceFromString
     0.43s  0.46% 69.50%      2.39s  2.53%  runtime.gentraceback
     0.43s  0.46% 69.96%      1.53s  1.62%  runtime.typedmemmove
     0.41s  0.43% 70.39%     19.54s 20.70%  runtime.gcDrain
     0.37s  0.39% 70.78%      0.97s  1.03%  reflect.(*rtype).Name
     0.36s  0.38% 71.17%      0.62s  0.66%  runtime.mapaccess2_faststr
     0.35s  0.37% 71.54%      0.72s  0.76%  runtime.bulkBarrierPreWrite
     0.34s  0.36% 71.90%      1.11s  1.18%  runtime.pcvalue
     0.34s  0.36% 72.26%      1.15s  1.22%  runtime.sweepone
     0.33s  0.35% 72.61%      1.64s  1.74%  encoding/json.(*decodeState).indirect
     0.33s  0.35% 72.96%      0.60s  0.64%  reflect.(*rtype).String
     0.32s  0.34% 73.29%     30.43s 32.24%  runtime.systemstack
     0.27s  0.29% 73.58%      0.78s  0.83%  runtime.mapiterinit
     0.27s  0.29% 73.87%      3.58s  3.79%  runtime.slicebytetostring
     0.26s  0.28% 74.14%      0.63s  0.67%  runtime.mapaccess1
     0.26s  0.28% 74.42%      2.97s  3.15%  runtime.rawstring
     0.25s  0.26% 74.68%      0.76s  0.81%  runtime.gcmarkwb_m
     0.25s  0.26% 74.95%      4.34s  4.60%  runtime.newobject
     0.25s  0.26% 75.21%      0.56s  0.59%  runtime.scanblock
     0.25s  0.26% 75.48%      0.59s  0.62%  runtime.step
     0.24s  0.25% 75.73%      0.51s  0.54%  runtime.shade
     0.23s  0.24% 75.97%      0.89s  0.94%  runtime.concatstrings
     0.22s  0.23% 76.21%      0.97s  1.03%  runtime.convT2E
     0.22s  0.23% 76.44%      1.05s  1.11%  runtime.writebarrierptr_prewrite1
     0.21s  0.22% 76.66%      4.25s  4.50%  encoding/json.(*decodeState).literalStore
     0.19s   0.2% 76.86%      0.64s  0.68%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.19s   0.2% 77.07%      0.49s  0.52%  reflect.Value.Set
     0.19s   0.2% 77.27%      0.50s  0.53%  syscall.ParseDirent
     0.18s  0.19% 77.46%      1.94s  2.06%  runtime.(*mcentral).cacheSpan
     0.17s  0.18% 77.64%      3.14s  3.33%  runtime.rawstringtmp
     0.15s  0.16% 77.80%      2.27s  2.40%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
